source,reqs
0000_gammaj_PURE,"This is the Software Requirements Specification for GAMMA-Js Web Store. This Web Store is designed to allow new online store owners a quick and easy means to setup and perform sales and other core business over the internet. This document will outline all of the functions, capabilities and requirements for Version 1 of GAMMA-Js Web Store. Version 1 is planned for implementation on a “plug and play” USB Key. Future versions will be based on other network appliances."
0000_gammaj_PURE,"This document is intended to flush out the requirements by the customer GAMMA-J. The customer can review this document to ensure their needs along with the needs of their users are being met in their new Web Store program. The development team will also use this document for guidance on overall design and implementation of the Web Store system. The test and verification team can reference this to ensure the requirements are being meet for the customer. Finally, the tech writer will use this to assist with user documentation. This document is designed to be review from beginning to end; however, readers who are new to technical documentation may want to refer to Appendix E: Data Dictionary first."
0000_gammaj_PURE,"According to GAMMA-Js Functional Needs Statement this Web Store will: Manage customer accounts Manage an online store inventory Confirm Orders Have an unambiguous interface to assist in browsing the categories and products Use Secure Socket Layer (SSL) for security Have an availability of 99.999% Allow an optional mirror site for reliability and backups Feature interface for future software enhancement via “Plug-ins” The initial inventory will be 100 items. Expandable with unique codes, the owners can purchase to expand the inventory. The minimum total inventory will be 20,000 items. Since this will be a “Plug and Play device”, no software installation will be necessary. This software will contain all of the basic needs to manage an online store. Advanced needs can be added in the future via “plug-ins.” More detail on the functionality of the Web Store can be found in part 3. System Features and in the function Needs statement."
0000_gammaj_PURE,"This document draws insight from the Web Store System Overview, Functional Needs Statement, and Stakeholder Goals List."
0000_gammaj_PURE,Web Store is a new system designed for users new to the online E-commerce. This will be a plug and play device with its own CPU and operating system. The Web Store will be a quick and easy means to setup and operate an online Web Store. The Figure 2.1 is a context diagram showing external system interfaces.
0000_gammaj_PURE,"Account Management (AM) (High Priority): AM allows users to create, edit, and view accounts information. It also allows the user to login/out of the system. Search Engine (SE) (Medium Priority): SE is the tool that assists the user in finding a specific item in the database. It can receive search criteria, find search criteria, and return the results of the search. Product Management (PM) (High Priority): PM allows sales personnel to manage the product line shown on the web site. Shopping Cart (SC) (Medium Priority): SC is temporary storage for customers shopping on the web. Items from the inventory can be reserved in a virtual cart until the customer decides to purchase them. Purchasing and Payment (PP) (High Priority): PP is used to approve and transfer payment from buyers when purchasing items in the cart."
0000_gammaj_PURE,"System Administrator: Is generally the owner that takes care of maintenance for the Web Store system. The administrator will be in charge of assigning privileges of accounts. Suggested more than one individual can have administrator privilege to ensure advisability. Full documentation will be provided to the Administrator to assist with this process. Sales Personnel: Is generally the owner of the Web Store tasked with updating inventory and product line descriptions. Once added, sales personnel can add, delete and change descriptions, pictures, prices, and when ready flag items for customers to buy. Customer: A customer is an individual wishing to purchase inventory from GAMMA-Js Web Store. The Web store will have a variety of clientele depending upon the inventory loaded on the Key. When creating a new account on Web Store it will default as a customer account. Later if the account needs to be upgraded the administrator can accomplish this via the administrator interface."
0000_gammaj_PURE,"Web Store shall operate with the following internet browsers: Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5."
0000_gammaj_PURE,"Web Store shall operate on an Intel based system with Slackware Linux 2.6 and Apache Web Server. The operating system is designed by the Yoggie Corporation. Although maintenance documentation will be supplied and the operating system will be tested, the developers of this Web Store are not responsible for the functionality of the operating system."
0000_gammaj_PURE,The system shall use SQL based database to store inventory information.
0000_gammaj_PURE,USB interface and divers are provided by Yoggie Corporation.
0000_gammaj_PURE,Must use a SQL based database. SQL standard is the most widely used database format. Restricting to SQL allows easy of use and compatibility for Web Store.
0000_gammaj_PURE,"Compatibility is only tested and verified for Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5. Other versions may not be 100% compatible. Also other browsers such as Mozilla or Firefox may not be 100% compatible."
0000_gammaj_PURE,Shall install online help for users via the web interface
0000_gammaj_PURE,"Shall deliver Operations and Maintenance manual, Users Guide book, and Installation Instructions for the Administrator."
0000_gammaj_PURE,"Assume the delivery of development, test and evaluate samples of the USB system from Yoggie."
0000_gammaj_PURE,Assume Yoggie will freeze the baseline of the USB system after delivery.
0000_gammaj_PURE,"Customers will be able to create accounts to store their profiles, contact information, purchase history, and confirm orders. This is a high priority system feature. Security methods will ensure that customer accounts remain confidential and resistant to tampering."
0000_gammaj_PURE,Web Browser initiates request to Web Server via HTTPS Web Server parses request Web Server submits request to Service Service picks up request Service runs task Service returns results Web Server checks for completion Web Server returns results to Web Browser Web Browser displays results
0000_gammaj_PURE,"Customers will be able to create accounts to store their customer profiles, configure contact information, view their purchase history, and confirm orders. Customers will be able to register, log in, and log out of their accounts. Furthermore, Customer profiles will also include payment information, such as the ability to store credit card information, and address information."
0000_gammaj_PURE,Inventory management will allow for the placement of products into multi-tiered categories. This is a medium priority system feature.
0000_gammaj_PURE,"Products will be stored in multi-tiered categories; a category can contain sub categories or products. The inventory management will allow for administrators to update the categories, the products placed in categories, and the specific product details."
0000_gammaj_PURE,Customers will be able to add and store products for purchase within the shopping cart. This feature is a medium priority system feature.
0000_gammaj_PURE,"Customers will also be able to add products into the shopping cart. The shopping cart will clearly display the number of items in the cart, along with the total cost. The customer will also be able to add to or remove products from the shopping cart prior to checkout and order confirmation."
0000_gammaj_PURE,Order confirmation will allow the customer to review their order after checkout prior to confirmation. This is a medium priority system feature.
0000_gammaj_PURE,"Customers will be able to confirm the order after checkout. If the order is incorrect, the customer will be able to revise and update their order. The customer will then receive a confirmation email with the specific order details."
0000_gammaj_PURE,The interface will be presented to the customer in a web browser. The interface must remain consistent among various web browsers and be intuitive to the customer. This is a medium priority system feature.
0000_gammaj_PURE,"Customers will be presented with an unambiguous interface to assist in browsing the categories and products. Customers will be able to search for products matching their search criteria. The interface will be compatible with all major web browsers such as Internet Explorer, Mozilla Navigator, Mozilla Firefox, Opera, and Safari."
0000_gammaj_PURE,The system will feature an API to allow customers to build custom plug-ins to be able to meet their needs. This is a high priority system feature as it ensures the flexibility of the system to be tailored to specific needs.
0000_gammaj_PURE,Web Browser initiates request to Web Server via HTTPS Web Server parses request Web Server submits request to API Service API Service picks up request API Service submits request to Plug-in Plug-in picks up request Plug-in runs tasks Plug-in returns results API Service validates results API Service returns results Web Server checks for completion Web Server returns results to Web Browser Web Browser displays results
0000_gammaj_PURE,The system will implement an Application Interface to allow for various plug-ins to interact with the system. The plug-in API will be well documented and specifications will be provided to plug-in developers.
0000_gammaj_PURE,"SI-1.1: The order database of WebOrder will communicate with the account system through a programmatic interface for the billing operations. SI-1.2: Through programmatic interface, WebOrder will transmit information of items ordered by customers to the Inventory management system. SI-1.3: Plug-ins interface"
0000_gammaj_PURE,CI-1: The WebOrder system shall send an e-mail confirmation to the customer that the items they ordered will be delivered to the shipping address along with tracking number. CI-2: The WebOrder system shall send an e-mail to System Administrator regarding any technical queries from customers or sales people.
0000_gammaj_PURE,Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.
0000_gammaj_PURE,The system shall be able to handle 1000 customers logged in concurrently at the same time.
0000_gammaj_PURE,The system shall be able to retrieve 200 products per second.
0000_gammaj_PURE,The system shall be able to add product to shopping cart in less than 2ms.
0000_gammaj_PURE,The system shall be able to search for a specified product in less than 1 second.
0000_gammaj_PURE,The system shall be able to email customer and vendor in less than 1 second.
0000_gammaj_PURE,The system shall be able to validate credit card in less than 2 seconds.
0000_gammaj_PURE,The system shall be able to acquire shipping charges in less than 2 seconds.
0000_gammaj_PURE,The system shall be able to restore 1000 records per second.
0000_gammaj_PURE,The system will do periodic backups through a live internet connection.
0000_gammaj_PURE,The system shall validate credit cards against fraud.
0000_gammaj_PURE,The system shall encrypt all sensitive information via https.
0000_gammaj_PURE,The system shall encrypt all customer data in database.
0000_gammaj_PURE,The system shall auto detect IP DOS attacks and block IP automatically.
0000_gammaj_PURE,The system shall detect consecutive failed login attempts.
0000_gammaj_PURE,The system shall be protected by open source firewall called Firestarter. http://www.fs-security.com/
0000_gammaj_PURE,The system shall have an availability of 99.99%.
0000_gammaj_PURE,The system shall perform searches via Dijkstra's shortest path algorithm.
0000_gammaj_PURE,"For returning customers, the system shall validate 'existing' credit card in system after each log in."
0000_gammaj_PURE,The system shall automatically compress image files that are too large in size.
0000_gammaj_PURE,The system will employ on demand asynchronous loading for faster execution of pages.
0000_gammaj_PURE,The system shall validate email address existence.
0000_gammaj_PURE,The system shall be easy to use
0000_gammaj_PURE,The system shall be easy to learn
0000_gammaj_PURE,"The system shall utilize help bubbles to assist managers, customers, and administrators"
0000_gammaj_PURE,The system shall employ easy to locate buttons
0000_gammaj_PURE,The system shall prompt customer with friend easy to read error messages.
0000_gammaj_PURE,The system shall utilize consistent symbols and colors for clear notifications.
0000_gammaj_PURE,The system shall utilize interchangeable plugins.
0000_gammaj_PURE,The system shall be easily updatable for fixes and patches.
0000_gammaj_PURE,"The system shall create logs of all changes, updates, or fixes that are done to the site."
0000_gammaj_PURE,The system shall be easy to upgrade.
0000_gammaj_PURE,The system shall be extremely portable via the usb drive.
0000_gammaj_PURE,The system shall be easy to migrate or backed up via another usb drive.
0000_gammaj_PURE,The system should be able to run under debug mode.
0000_gammaj_PURE,The system should be able to run test credit card transactions.
0000_gammaj_PURE,The system should be able to run test shipping orders.
0000_gammaj_PURE,The system should be able to create test environment of weborder system.
0000_gammaj_PURE,The system hardware shall be fixed and patched via an internet connection.
0000_gammaj_PURE,Yoggie shall coordinate on future enhancement and features with our organization.
0000_gammaj_PURE,The system shall adhere to the following hardware requirements: 4GB Flash ram chip 128MB SDRAM Intel XScale PXA270 520-MHz chipset OS: Apache web server Database: MySQL
0000_gammaj_PURE,Register a new customer account with the system.
0000_gammaj_PURE,Customer Weborder System
0000_gammaj_PURE,Customer must be able to access the web order system via a web browser with HTTPS.
0000_gammaj_PURE,"Customer clicks button or link to ""Register"""
0000_gammaj_PURE,"Customer first clicks on the button or link to initiate registration process. System prompts the customer to fill out his/her first name, last name, billing address, shipping address, email address, and their password. Customer enters fields. System validates the customer's information. System creates a new account for the Customer. System creates a session cookie. System displays an account home page to Customer."
0000_gammaj_PURE,A1. System recognizes Customer's cookie. A2. Go to Step 7 (Basic Scenario).
0000_gammaj_PURE,The Customer registers and creates a new customer account with the system.
0000_gammaj_PURE,Login to a customer account with the system.
0000_gammaj_PURE,Customer account must already be registered.
0000_gammaj_PURE,"Customer clicks button or link to ""Login"""
0000_gammaj_PURE,Customer clicks on the button or link to initiate the login process. 2. System prompts the customer for his/her email and password. System verifies the information. System creates session cookie. System displays account home page to the Customer
0000_gammaj_PURE,A1. System recognizes the Customer's cookie A2. Go to Step 5 (Basic Scenario). B1. Customer enters incorrect login information. B2. System prompts the Customer to resend login details to the email account. B3. Customer confirms. B4. System sends an email to the registered email address. B5. Go to Step 1 (Basic Scenario).
0000_gammaj_PURE,The Customer is logged into the system.
0000_gammaj_PURE,Edit the customer account details.
0000_gammaj_PURE,Customer must be logged-in on the system.
0000_gammaj_PURE,"Customer clicks on the button or link to ""Edit Account"""
0000_gammaj_PURE,Customer clicks the button or link to initiate the process to edit the account. 2. System displays the account home page to the Customer. Customer clicks the button or link in order to edit the account details. System verifies the changes. System stores new account information.
0000_gammaj_PURE,The Customer has changed the account details.
0000_gammaj_PURE,Logout the customer account on the system.
0000_gammaj_PURE,"Customer clicks on the button or link to ""Logout"""
0000_gammaj_PURE,Customer clicks the button or link in order to initiate logout process. System terminates the session cookie. System displays the home page.
0000_gammaj_PURE,The Customer is logged out of the system.
0000_gammaj_PURE,Customer adds item(s) in the cart
0000_gammaj_PURE,The customer must be logged-in on the system.
0000_gammaj_PURE,"Customer clicks the button or link to ""Add To Cart""."
0000_gammaj_PURE,Customer clicks the button or link in order to add to the cart with specified quantity. 2. System adds the item(s) to the cart. System prompts the Customer to edit the quantity or remove the item from cart. Customer confirms the items in the cart. System stores cookie with cart details. Customer returns to product listings.
0000_gammaj_PURE,A1. Customer terminates the web browser window after adding item(s) to cart. A2. Customer returns to weborder interface. A3. System recognizes cookie and goes to step 6 (Basic Scenario) with existing items in cart.
0000_gammaj_PURE,The Customer has added item(s) to the shopping cart.
0000_gammaj_PURE,Customer places and confirms an order for the checkout process.
0000_gammaj_PURE,Customer must be logged-in on the system. Customer must have item(s) in the shopping cart.
0000_gammaj_PURE,"Customer clicks button or link to ""Ckeckout"""
0000_gammaj_PURE,Customer clicks the button or link to initiate the checkout process. System calculates order of items in the shopping cart. System appends cookie with flag for checkout process. System presents the customer with the account details and payment methods. 5. Customer confirms account details and payment methods. Customer confirms order. System stores order confirmation and order details. System sends email confirmation to the Customer. System appends cookie with flag for completed checkout process.
0000_gammaj_PURE,A1. Customer terminates order web browser during order the checkout process. A2. Customer returns to weborder interface. A3. System recognizes cookie and goes to step 4 (Basic Scenario).
0000_gammaj_PURE,The Customer has placed and confirmed an order.
0000_gammaj_PURE,Login to an Administrator account with the system.
0000_gammaj_PURE,Administrator Weborder System
0000_gammaj_PURE,Administrator account must already be registered.
0000_gammaj_PURE,"Administrator clicks button or link to ""Login"""
0000_gammaj_PURE,Administrator clicks button or link to initiate login process. System prompts the Administrator for email and password. System verifies information. System creates session cookie. System displays account home page to Administrator
0000_gammaj_PURE,A1. System recognizes Administrator 's cookie A2. Go to Step 5 (Basic Scenario). B1. Administrator enters incorrect login information. B2. System prompts Administrator to resend login details to email account. B3. Administrator confirms. B4. System sends email to registered email address. B5. Go to Step 1 (Basic Scenario).
0000_gammaj_PURE,The Administrator is logged into the system.
0000_gammaj_PURE,Logout the Administrator account on the system.
0000_gammaj_PURE,Administrator must be logged-in on the system.
0000_gammaj_PURE,"Administrator clicks button or link to ""Logout"""
0000_gammaj_PURE,Administrator clicks button or link to initiate logout process. System terminates the session cookie. System displays home page.
0000_gammaj_PURE,The Administrator is logged out of the system.
0000_gammaj_PURE,"Register a new customer, sales person, or administrator account with the system"
0000_gammaj_PURE,Administrator must be able to access the weborder system via a web browser with HTTPS.
0000_gammaj_PURE,"Administrator clicks button or link to ""Add Users"""
0000_gammaj_PURE,"Administrator clicks the button or link to initiate Add user process. System prompts the Administrator to fill out first name, last name, username, email address, password, and privileges of the user. System validates new user information. System creates a new account for the new user with desired privileges. System displays account home page to Administrator."
0000_gammaj_PURE,A new customer account is created within the system.
0000_gammaj_PURE,Remove a user from the system.
0000_gammaj_PURE,"Administrator clicks button or link to “Remove User"""
0000_gammaj_PURE,Administrator clicks button or link to initiate the remove user process. System prompts the Administrator to select a user by searching or viewing a list of users. System displays user information. System confirms deletion of selected user. System displays account home page to Administrator.
0000_gammaj_PURE,An account has been deleted within the system.
0000_gammaj_PURE,Alter properties such as passwords and privileges of the user.
0000_gammaj_PURE,"Administrator clicks button or link to “Change User Properties"""
0000_gammaj_PURE,Administrator clicks the button or link to initiate change user properties process. System prompts the Administrator to select a user by searching or viewing a list of users. System displays the user information. System alters the user properties. System displays the account home page to Administrator.
0000_gammaj_PURE,An account has been altered within the system.
0000_gammaj_PURE,Install a new plug-in to the application.
0000_gammaj_PURE,"Administrator clicks the button or link to ""Install Plug-ins """
0000_gammaj_PURE,Administrator clicks the button or link to initiate Plug-in installation process. System prompts the Administrator to upload the Plug-in module. System installs plug-in and validates changes. System displays plug-in options to the Administrator.
0000_gammaj_PURE,A new plug-in is installed in the application.
0000_gammaj_PURE,Remove a plug-in from the application.
0000_gammaj_PURE,"Administrator clicks the button or link to ""Install Plug-ins"""
0000_gammaj_PURE,Administrator clicks the button or link to initiate Plug-in deletion process. System prompts the Administrator to select the desired Plug-in module. System removes the plug-in and validates changes.
0000_gammaj_PURE,A plug-in is removed from the application.
0000_gammaj_PURE,Make changes to an installed plug-in.
0000_gammaj_PURE,"Administrator clicks button or link to ""Manage Plug-ins """
0000_gammaj_PURE,Administrator clicks the button or link to initiate Plug-in Options process. System prompts the Administrator to select the desired Plug-in module. System displays all plug-in options to the Administrator. System confirms changes with the Administrator.
0000_gammaj_PURE,A plug-ins options have successfully been changed.
0000_gammaj_PURE,Install patches or software updates to the web store.
0000_gammaj_PURE,"Administrator clicks the button or link to ""Install Patch"""
