source,reqs
2000_nasax38_PURE,"Whenever a power-on reset occurs, System Initialization shall [SRS194] perform the following functions."
2000_nasax38_PURE,"As part of System Initialization , the Boot ROM shall [SRS234] be configured to, after completing IBIT, call the manufacturer-supplied VxWorks Board Support Package (BSP) initialization software followed by a call to the FTSS System Initialization software."
2000_nasax38_PURE,System Initialization shall [SRS014] initiate the watchdog timer.
2000_nasax38_PURE,"System Initialization shall [SRS292] enable and reset the processor’s watchdog timer such that, in the absence of a fault, the watchdog timer does not expire and reset the processor.."
2000_nasax38_PURE,System Initialization shall [SRS008] synchronize the FCP virtual group in the presence of a power on skew of 2.5 seconds.
2000_nasax38_PURE,"System Initialization shall [SRS010] configure the FCP virtual group to use all available synchronized processors, if at least 3 of the 5 FCRs are active."
2000_nasax38_PURE,The scheduler shall [SRS017] provide an API call to install a task into a rate group. The API call is invoked during system initialization.
2000_nasax38_PURE,The scheduler shall [SRS196] support up to 20 tasks per rate group.
2000_nasax38_PURE,The scheduler shall [SRS018] provide an API call to install a rate group into a vehicle mode at system initialization.
2000_nasax38_PURE,The scheduler shall [SRS197] support up to 3 rate groups per vehicle mode.
2000_nasax38_PURE,The scheduler shall [SRS195] support up to 5 vehicle modes.
2000_nasax38_PURE,The FTSS software shall [SRS002] provide the identical services in all vehicle modes.
2000_nasax38_PURE,The scheduler shall [SRS019] provide an API call for an FCP application task to alert the scheduler of a vehicle mode change.
2000_nasax38_PURE,The scheduler shall [SRS020] complete the change from one vehicle mode to the next within 1.02 seconds. There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it takes during the next minor frame 0 to switch tasking.
2000_nasax38_PURE,The scheduler shall [SRS021] process vehicle mode changes during minor frame 49.
2000_nasax38_PURE,"The scheduler shall [SRS022] execute cyclic tasks, providing an API call to allow the application to block until its next iteration."
2000_nasax38_PURE,The scheduler shall [SRS024] execute as the highest priority FTSS or application task in the system.
2000_nasax38_PURE,The scheduler shall [SRS025] keep a minor frame count from 0 to 49.
2000_nasax38_PURE,"The scheduler shall [SRS027] give tasks priority values according to their rate - the higher the rate, the higher the priority."
2000_nasax38_PURE,"The scheduler shall [SRS028] detect 50 Hz, 10 Hz and 1 Hz rate group over-runs."
2000_nasax38_PURE,The scheduler shall [SRS029] report rate group over-runs to the application via an API service for incorporation in the telemetry data stream.
2000_nasax38_PURE,The scheduler shall [SRS216] provide an API call to specify which task was running within the rate group which over-ran.
2000_nasax38_PURE,The scheduler shall [SRS030] provide a mechanism to inform a task when it did not complete during the previous frame and restart it at the beginning of the task.
2000_nasax38_PURE,The scheduler shall [SRS181] set the 50 Hz interval timer to a count down value so as to cause the next minor frame interrupt at 20 msec from the previous interrupt congruently in all operational FCPs.
2000_nasax38_PURE,The scheduler shall [SRS032] issue a 50 Hz interrupt to the ICPs by means of a VMEbus IRQ5 interrupt.
2000_nasax38_PURE,The scheduler shall [SRS191] issue the 50 Hz interrupt to all the ICPs with a skew no greater than 330 microseconds.
2000_nasax38_PURE,"The scheduler shall [SRS033] send the minor frame number, vehicle mode, mission elapsed time (MET), and separation elapsed time (SEP) to the ICP prior to the 50 Hz interrupt. Note: The NE unique identifier (NE ID) is available to the ICPs via the ftss_my_icp() API call."
2000_nasax38_PURE,"The scheduler shall [SRS034] take no longer than 1 millisecond to execute scheduler and Time Services FTSS overhead tasks in each rate group. This means that the time from the 50 Hz timer interrupt to the start of the first task in the 50 Hz rate group will be less than or equal to 1 millisecond, assuming 27 packets of data need to be delivered."
2000_nasax38_PURE,The FTSS software shall [SRS278] provide an API call that provides the application program the minor frame number.
2000_nasax38_PURE,"Upon the occurrence of an exception of either kind (hardware or software), the FCP shall [SRS172] make the error type available to the application, via an API service, for incorporation in the telemetry stream and include all context data relevant to the exception, namely the contents of the Machine State Register (MSR), and the machine status Save/Restore Registers (SRR0 & SRR1)."
2000_nasax38_PURE,The scheduler shall [SRS031] provide a mechanism for a task optionally to define a user written software-exception-handling routine that runs in the context of the task.
2000_nasax38_PURE,"For hardware exceptions and reserved exceptions, the FTSS shall [SRS276] make the error type and its context data available to the application, then return from the exception handler to the task that was running when the exception occurred."
2000_nasax38_PURE,"For software exceptions occurring within the FTSS, the FTSS shall [SRS277] make the error type and its context data available to the application, then restart the offending task at its beginning."
2000_nasax38_PURE,"For other software exceptions, regardless of whether or not a user written exception handling routine is invoked, if an exception occurs, the scheduler shall [SRS173], after making available the error type and context data to the application, resume processing (after the exception-handling routine runs, if provided) at the initialization point of the offending task."
2000_nasax38_PURE,"For software exceptions occurring during Startup, FTSS shall [SRS301] issue a VME reset to the FCR in which the exception occurred."
2000_nasax38_PURE,"Communication services shall [SRS047] provide ""synchronous"" message passing services in the form of ""message queues""."
2000_nasax38_PURE,"Communication services shall [SRS048] provide ""immediate"" message passing services in the form of ""pipes"". ""Pipes"" provide fast data throughput between virtual groups or within a virtual group when minimal data latency is necessary."
2000_nasax38_PURE,"Communication services shall [SRS049] provide the capability to ""broadcast"" messages to all virtual groups."
2000_nasax38_PURE,"Communication services shall [SRS050] restrict the use of ""immediate"" message passing services between virtual groups (from FCP to ICP) to tasks running in the highest rate group on the FCP. This restriction does NOT apply to the ICPs since they are running as simplex VGs."
2000_nasax38_PURE,Communication services shall [SRS051] detect message passing between application tasks living on the same virtual group and bypass the usage of the network element.
2000_nasax38_PURE,Communication services shall [SRS052] route messages to the proper virtual group(s) and socket.
2000_nasax38_PURE,Communication services shall [SRS053] deliver messages in the same order at each member of a virtual group.
2000_nasax38_PURE,Communication services shall [SRS054] perform synchronous message passing at rate group frame boundaries. This ensures that all redundant instantiations of a given rate group task have consistent messages throughout the rate group frame.
2000_nasax38_PURE,Communication services shall [SRS235] detect a babbling NE or ICP within 20 milliseconds of the receipt of the first erroneous packet.
2000_nasax38_PURE,FTSS shall [SRS255] mask out a babbling NE or ICP within 40 milliseconds after it is detected.
2000_nasax38_PURE,"Synchronous message passing sockets shall [SRS055] queue outgoing messages until they are transmitted at frame boundaries. The ""create"" and ""open"" API calls for synchronous sockets allow the application to specify the maximum message size and how many incoming messages the socket may buffer."
2000_nasax38_PURE,"If there is insufficient space to enqueue a message for transmission, Communication services shall [SRS059] return an error to the corresponding task. Sockets are non- blocking and place the burden of polling on the application task."
2000_nasax38_PURE,Communication services shall [SRS062] provide a message queue communication mechanism that guarantees message delivery between a sending and receiving task.
2000_nasax38_PURE,"Communication services shall [SRS063] provide an API for ""message queue"" communication."
