source,reqs
2001_hats_PURE,"Any operation requiring the user to supply a file name shall allow the user either to select the files from a list derived from files in the currently open application or to key in a file name, a relative path name, or a complete path name."
2001_hats_PURE,"For any operation where the user is prompted to select from a list, the user shall be able to cancel the operation."
2001_hats_PURE,"When collecting generated output files from HATS-SML, the HATS-GUI shall overwrite any file whose name is generated automatically. For example, given a transformation language program X.tlp, the file X.tlp.parsed is generated when the parser is executed. If X.tlp.parsed existed prior to executing the parser, it shall be overwritten without prompting the user."
2001_hats_PURE,Output pretty-printed text files and SDTs shall only be displayed when the user requests.
2001_hats_PURE,The main interface shall be menu driven. A summary of the menus available is given below in Table 5. Items in the first row of Table 5 are top-level menu items. Items in following rows are second-level menu items.
2001_hats_PURE,The File menu shall contain menu items related to manipulating individual files and for closing the HATS-GUI application.
2001_hats_PURE,The Application menu shall contain items related to manipulating entire applications.
2001_hats_PURE,The Configure menu shall contain items related to modifying the configuration of the application. [SRSreq 10] The Run menu shall contain items related to executing the HATS-SML programs.
2001_hats_PURE,The View menu shall contain items related to viewing HATS-SML output.
2001_hats_PURE,The File/Select menu item shall provide an interface for selecting files within the currently open application.
2001_hats_PURE,The File/Edit menu item shall provide an interface for starting an editor as an external process. The editor shall be started according to information in the application configuration.
2001_hats_PURE,The File/Save-as menu item shall provide an interface for saving a previously selected file under a different name.
2001_hats_PURE,The File/Delete menu item shall provide an interface for deleting a selected file. The HATS-GUI shall prompt the user to confirm deletion prior to completing this action.
2001_hats_PURE,The File/Exit menu item shall provide an interface for exiting the HATS-GUI.
2001_hats_PURE,The Application/Select menu item shall provide an interface for selecting and opening an application.
2001_hats_PURE,The Application/Close menu item shall provide an interface for closing an application.
2001_hats_PURE,The Application/Save menu item shall provide an interface for saving application configuration information.
2001_hats_PURE,The Application/Save-as menu item shall provide an interface for saving an application and its associated files under a different name.
2001_hats_PURE,The Application/Delete menu item shall provide an interface for deleting an application and all the files in the application directory. The HATS-GUI shall prompt the user to confirm deletion prior to completing this action.
2001_hats_PURE,The Configure/Editors menu item shall provide an interface for the user to enter editor configuration information. This information shall be used when editors are started as processes.
2001_hats_PURE,The Configure/Node Display menu item shall provide an interface for configuring the display of nodes.
2001_hats_PURE,The HATS-GUI shall allow the user to specify the number of levels of nodes to expand during SDT viewing.
2001_hats_PURE,"The HATS-GUI shall allow the user to select the colors for types of displayed nodes in a displayed graph. At a minimum, the system shall provide eight colors (red, yellow, white, black, green, blue, orange, and violet) for displayed nodes."
2001_hats_PURE,"The HATS-GUI shall allow the user to select the shapes for types of displayed nodes in a displayed graph. At a minimum, the system shall provide two shapes, rectangles and ellipses, for displayed nodes."
2001_hats_PURE,The Configure/File Associations menu item shall provide an interface for associating files in an application. File associations are shown in Table 6.
2001_hats_PURE,The Configure/HATS-SML menu item shall provide an interface for the user to enter implementation-dependent information for starting HATS-SML processes.
2001_hats_PURE,The Run/Generate Parser menu item shall provide an interface for generating a parser program. [SRSreq 30] The Run/Parse Target menu item shall provide an interface for selecting and parsing target programs.
2001_hats_PURE,The Run/Parse Program menu item shall provide an interface for selecting and parsing transformation language programs.
2001_hats_PURE,The Run/Execute Transforms menu item shall provide an interface for selecting and executing transformation language programs.
2001_hats_PURE,The Run/Pretty-print menu item shall provide an interface for selecting SDTs and pretty-print style files and formatting the SDT according to the style.
2001_hats_PURE,"The View/SDT menu item shall provide an interface for viewing, navigating through, and searching SDTs output from the execution of transformation programs."
2001_hats_PURE,The View/Text menu item shall provide an interface for viewing and searching pretty-printed text. [SRSreq 36] The View/Standard Error menu item shall provide an interface for viewing error strings collected from HATS-SML.
2001_hats_PURE,The View/Standard Output menu item shall provide an interface for viewing debugging information collected from HATS-SML.
2001_hats_PURE,The View/Select Text menu item shall provide an interface for selecting pretty-printed text or text strings associated with SDT displays.
2001_hats_PURE,The View/Copy Text menu item shall provide an interface for copying selected text into an operating system buffer.
2001_hats_PURE,"The HATS-GUI shall interface with HATS-SML (version 2.0) in order to parse transformation language programs, execute transformation language programs, and create output SDTs, error messages, pretty-printed text, and parsed transformation language programs. The interface shall consist of starting HATS-SML programs and passing command line arguments and capturing data written to the standard output and standard error streams of the HATS-SML processes. The HATS-SML programs and their command line arguments are described in Appendix D."
2001_hats_PURE,"The GUI shall allow the user to create, modify, copy, or delete applications or files regardless of the current status of HATS-SML."
2001_hats_PURE,"If the HATS-GUI attempts to start a HATS-SML program and fails, the HATS-GUI shall notify the user by displaying the following message: “Unable to start HATS-SML.” The HATS-GUI shall provide any other details related to the failure that are available from the Host OS. Examples of information available from an operating system include indications that a specified file does ot exist, that a file cannot be opened due to file protection violations, or that errors occurred during I/O operations."
2001_hats_PURE,"The HATS-GUI shall be able to communicate with Sun Solaris, Linux, and Windows 2000. [SRSreq 44] Data sets shall be saved as files using file names with the appropriate extensions. See Table 3 for description of the files and extensions."
2001_hats_PURE,The user shall be able to initiate processes from an interface provided by the HATS-GUI. The HATS-GUI shall optionally pass command line arguments to the process. Command sequences for initiating processes are part of the application configuration.
2001_hats_PURE,"After initiating processes for editing files, the HATS-GUI is not responsible for communications with the process other than passing command line arguments."
2001_hats_PURE,The HATS-GUI shall interact with the HOST OS to find files in directories. (This capability is necessary for the HATS-GUI to display file lists.)
2001_hats_PURE,The HATS-GUI shall interact with the HOST OS to compare time stamps for files. Time stamps indicate the date and time of the most recent update to a file. These time stamps must be reported with a precision of one second or less.
2001_hats_PURE,"The HATS-GUI shall allow a user to create an application minimally consisting of a lexical specification file, a grammar file, a user-defined functions file, and application configuration information. The user shall be able to name this application."
2001_hats_PURE,All files associated with a given application shall be stored in one directory.
2001_hats_PURE,The directory in which application files are stored shall be named with the application name. [SRSreq 53] There shall be exactly one file describing the lexical specification of inputs associated with an application. It shall have the file extension .spec.
2001_hats_PURE,There shall be exactly one file describing the grammar of inputs associated with an application. It shall have the file extension .grm.
2001_hats_PURE,There shall be exactly one file describing the interpretation of function symbols associated with an application. This file shall be written in ML and have the file extension .lib.
2001_hats_PURE,"The HATS-GUI shall suggest a file name for the user whenever it prompts the user to enter a file name. The HATS-GUI shall suggest the same file name for files copied to a different directory. The HATS-GUI shall suggest a file name with a sequentially numbered extension for files copied to the same directory. For example, if NatLang.txt exists, a suggested file name would be NatLang.txt.2."
2001_hats_PURE,An application shall have associated with it an application configuration. The application configuration elements are given in Table 6.
2001_hats_PURE,"The HATS-GUI shall display output written to the standard output and standard error streams in a tab-selectable window. Text in this window shall be cleared prior to executing individual HATS- SML programs, unless the programs are contained in a program script. In the case of a script, the window contents shall be cleared prior to executing the script. Refer to section 3.2.3.2 for a discussion of the execution of script files."
2001_hats_PURE,The system shall open a new window when the user selects to display output. [SRSreq 63] Display windows opened by the system shall have buttons for closing the windows.
2001_hats_PURE,A navigation window shall be available. Navigation windows are discussed in section 3.2.3.3.4.
2001_hats_PURE,"Each active display window shall have a mouse cursor, which indicates the location of the pointing device in the window."
2001_hats_PURE,Each display window shall have a keyboard cursor to track the current location in the display. [SRSreq 67] The keyboard cursor shall be movable by the arrow keys.
2001_hats_PURE,The keyboard cursor shall be set to the location of the mouse cursor when the pointing device is clicked.
2001_hats_PURE,"When a user selects the File/Select menu item, the HATS-GUI shall provide the user with a list of files in the currently open application and allow the user to select a file. This file becomes the currently selected file. If no application is currently open, the HATS-GUI will prompt the user to select and open an application, then prompt the user to select a file."
2001_hats_PURE,"When a user selects the File/Save As menu item, the HATS-GUI shall prompt the user to enter a new name. A new file shall be created in the currently open application with the newly entered file name. The contents of the selected file shall be written into the new file, and the new file shall become the currently selected file."
2001_hats_PURE,"When a user selects the File/Delete menu item, the HATS-GUI shall prompt the user to confirm the deletion operation. If the user confirms, the currently selected file shall be deleted. No file shall be currently selected at the end of this operation."
2001_hats_PURE,"When a user selects the File/Edit menu item, the HATS-GUI shall request that the operating system start a process and load that process with the editor specified by the application configuration. The name of a selected file shall be passed to the editor as a command line argument. The editor started by the HATS-GUI shall be the editor associated with the file in the application configuration, or if there is no editor associated with the file, then the editor associated with the file type of the file in the application configuration. If no editor is associated with either the file or the file type, then the default editor shall be used. If no default editor has been selected, then the HATS-GUI shall present a list of the configured editors and allow the user to select an editor. If no editors have been configured, then the HATS-GUI shall inform the user that an editor must be configured before starting an editor."
2001_hats_PURE,"When a user selects the File/Exit menu option, the HATS-GUI shall request the host operating system to kill all currently active HATS-SML processes started by the HATS-GUI and halt the HATS-GUI process. If changes have been made to the configuration but have not been saved, the user shall be prompted to save the configuration. If the user agrees, the configuration shall be saved. If the user does not agree, the configuration shall not be saved."
2001_hats_PURE,"When a user selects the Application/Select menu item, the HATS-GUI shall display a list of directory names in the current working directory, allow a user to navigate the directory structure, and allow a user to select a previously created application. This application becomes the currently selected application."
2001_hats_PURE,"When a user selects the Application/Close menu item, the HATS-GUI shall close the currently selected application. No application is currently selected at the end of this operation. If changes have been made to the configuration but have not been saved, the user shall be prompted to save the configuration. If the user agrees, the configuration shall be saved. If the user does not agree, the configuration shall not be saved."
2001_hats_PURE,"When a user selects the Application/Save menu item, the HATS-GUI shall save all application configuration information to nonvolatile storage."
2001_hats_PURE,"When a user selects the Application/Save As menu item, the HATS-GUI shall prompt the user for a new application name. The HATS-GUI shall create a new directory at the same level as the currently selected application. All files in the application directory, including all subdirectories, shall be copied to the new directory, and the new directory shall become the currently selected application."
2001_hats_PURE,"When a user selects the Application/Delete menu item, the HATS-GUI shall prompt the user to confirm the deletion operation. If the user confirms, all files in the application directory shall be deleted and the application directory itself shall be deleted. No application is currently selected at the end of this operation."
2001_hats_PURE,"When deleting an application directory, if the application directory contains a subdirectory, the system shall confirm the deletion of the subdirectory with the user before continuing. If the user does not confirm the deletion of the subdirectory, the application director shall not be deleted."
2001_hats_PURE,"When a user selects the Configure menu options, the HATS-GUI shall provide a list of elements in the application configuration, allow the user to select an element, then prompt the user for a value for the configuration element. The application configuration elements are given in Section"
