source,reqs
2005_clarushigh_PURE,"The Clarus system shall collect, quality control, and disseminate environmental data."
2005_clarushigh_PURE,The Clarus system shall be able to access in-situ environmental observations from data collectors.
2005_clarushigh_PURE,The Clarus system shall be able to access remotely sensed environmental observations from data collectors.
2005_clarushigh_PURE,The Clarus system shall calculate derived environmental data from observations.
2005_clarushigh_PURE,The Clarus system shall be able to receive roadway weather measurements derived from VII data.
2005_clarushigh_PURE,The Clarus system shall allow access to new surface transportation related observed environmental data.
2005_clarushigh_PURE,The Clarus system shall accept environmental data derived from images.
2005_clarushigh_PURE,The Clarus system shall accept surface condition data derived from surface images.
2005_clarushigh_PURE,The Clarus system shall accept atmospheric condition data derived from atmospheric images.
2005_clarushigh_PURE,"The Clarus system shall accept weather hazard reports containing the hazard type, location, and timeframe."
2005_clarushigh_PURE,"The Clarus system shall acquire and disseminate National Weather Service (NWS) watches, warnings, and advisories."
2005_clarushigh_PURE,The Clarus system shall be able to retrieve environmental data directly from environmental sensor stations.
2005_clarushigh_PURE,The Clarus system shall minimize the time for data acquisition.
2005_clarushigh_PURE,The Clarus system shall process data as they are received.
2005_clarushigh_PURE,The Clarus system shall collect pavement-related observations.
2005_clarushigh_PURE,The Clarus system shall accept environmental data from railway systems or in situ ESS along tracks.
2005_clarushigh_PURE,The Clarus system shall accept environmental data from railroad vehicles.
2005_clarushigh_PURE,The Clarus system shall accept environmental data from (roadway) vehicles.
2005_clarushigh_PURE,The Clarus system shall accept environmental data from maintenance and construction vehicles.
2005_clarushigh_PURE,The Clarus system shall accept environmental data from service patrol vehicles.
2005_clarushigh_PURE,The Clarus system shall accept environmental data from transit vehicles.
2005_clarushigh_PURE,The Clarus system shall accept environmental data from emergency vehicles.
2005_clarushigh_PURE,The Clarus system shall be able to receive weather data from weather service providers.
2005_clarushigh_PURE,The Clarus system shall implement continuous quality control processes.
2005_clarushigh_PURE,The Clarus system shall provide environmental data quality flags.
2005_clarushigh_PURE,The Clarus system shall provide notification of data quality conditions to data collectors.
2005_clarushigh_PURE,The Clarus system shall detect out of range values.
2005_clarushigh_PURE,The Clarus system shall not modify original observations.
2005_clarushigh_PURE,The Clarus system shall apply appropriate quality checks based on the completeness of received sensor station metadata.
2005_clarushigh_PURE,The Clarus system shall allow human intervention to override automatically applied quality assessment.
2005_clarushigh_PURE,The Clarus system shall record the methods applied when deriving quality control information.
2005_clarushigh_PURE,The Clarus system shall be able to implement quality control rules for each environmental parameter.
2005_clarushigh_PURE,The Clarus system shall be able to implement quality control rules for specific environmental situations.
2005_clarushigh_PURE,The Clarus system shall be able to implement quality control rules specific to observation locations.
2005_clarushigh_PURE,The Clarus system shall be able to base its quality control process on values from multiple observations.
2005_clarushigh_PURE,The Clarus system shall be able to base its quality control process on historical environmental data.
2005_clarushigh_PURE,The Clarus system shall be able to use multiple algorithms for its quality control process.
2005_clarushigh_PURE,The Clarus system shall be able to detect data submission errors.
2005_clarushigh_PURE,The Clarus system shall be able to provide sensor equipment data in response to a request.
2005_clarushigh_PURE,The Clarus system shall minimize the time for data dissemination.
2005_clarushigh_PURE,The Clarus system shall be able to disseminate data based on spatial queries.
2005_clarushigh_PURE,The Clarus system shall maintain a dynamic library of data for at least seven days.
2005_clarushigh_PURE,The Clarus program shall alert users to system modifications.
2005_clarushigh_PURE,The Clarus system shall not require approval to request environmental data.
2005_clarushigh_PURE,The Clarus system shall enable system administrators to manage security groups.
2005_clarushigh_PURE,The Clarus system shall be able to restrict environmental data publication based on source.
2005_clarushigh_PURE,The Clarus system shall record statistics about its operation.
2005_clarushigh_PURE,The Clarus system shall log data transactions.
2005_clarushigh_PURE,The Clarus system baseline data types shall be defined by the NTCIP ESS 1204 standard for data collection.
2005_clarushigh_PURE,"The Clarus system data definitions shall be consistent with the ITE TM 1.03 standard, Functional Level Traffic Management Data Dictionary (TMDD)."
2005_clarushigh_PURE,"The Clarus system shall acquire, process, and disseminate atmospheric data."
2005_clarushigh_PURE,"The Clarus system shall acquire, process, and disseminate surface data."
2005_clarushigh_PURE,"The Clarus system shall acquire, process, and disseminate hydrologic data."
2005_clarushigh_PURE,"The Clarus system shall acquire, process, and disseminate atmospheric metadata."
2005_clarushigh_PURE,"The Clarus system shall acquire, process, and disseminate surface metadata."
2005_clarushigh_PURE,"The Clarus system shall acquire, process, and disseminate hydrologic metadata."
2005_clarushigh_PURE,"The Clarus system shall accept only observations that include location, timeframe, and source metadata."
2005_clarushigh_PURE,The Clarus system shall accept only observations of known measurement types and units.
2005_clarushigh_PURE,"The Clarus system shall acquire, process, and disseminate environmental sensor station metadata."
2005_clarushigh_PURE,"The Clarus system shall be able to acquire, process, and disseminate environmental data from across North America."
2005_clarushigh_PURE,The Clarus system shall accept data through a Clarus standard interface.
2005_clarushigh_PURE,The Clarus system shall be able to communicate with environmental sensor stations using the NTCIP ESS 1204 standard for data collection.
2005_clarushigh_PURE,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.
2005_clarushigh_PURE,The Clarus system shall be able to communicate with an individual ESS through its native interface.
2005_clarushigh_PURE,The Clarus system shall be able to collect environmental data that are manually entered.
2005_clarushigh_PURE,The Clarus system shall transfer data as efficiently as possible.
2005_clarushigh_PURE,The Clarus system shall employ industry standards to minimize implementation impact to users and providers.
2005_clarushigh_PURE,The Clarus system shall allow service providers to select specific desired data sets.
2005_clarushigh_PURE,The Clarus system shall respond to queries for environmental data from the available data.
2005_clarushigh_PURE,The Clarus system shall enable environmental data queries by timestamp.
2005_clarushigh_PURE,The Clarus system shall enable environmental data queries by location reference.
2005_clarushigh_PURE,The Clarus system shall enable environmental data queries by quality.
2005_clarushigh_PURE,The Clarus system shall enable environmental data queries by source.
2005_clarushigh_PURE,The Clarus system shall provide a user interface for system administration.
2005_clarushigh_PURE,The Clarus system shall manage system user privileges according to the Clarus data sharing agreements.
2005_clarushigh_PURE,The Clarus system shall allow users to create a data subscription request.
2005_clarushigh_PURE,The Clarus system shall be able to be hosted at one or more physical locations.
2005_clarushigh_PURE,The Clarus system shall use hardware that implements industry accepted standard interfaces.
2005_clarushigh_PURE,The Clarus system shall use software that implements industry accepted standard interfaces.
2005_clarushigh_PURE,The Clarus system shall be able to operate on redundant hardware.
2005_clarushigh_PURE,The Clarus system shall disseminate data in response to a scheduled request.
2005_clarushigh_PURE,The Clarus system shall disseminate data in response to polling.
2005_clarushigh_PURE,The Clarus system shall disseminate data in response to a change notification request.
2005_clarushigh_PURE,The Clarus system shall be able to notify subscribers when data sets become available.
2005_clarushigh_PURE,The Clarus system shall disseminate data using standard Internet protocols.
2005_clarushigh_PURE,All HTML coding shall meet FHWA requirements for web sites.
2005_clarushigh_PURE,The Clarus system shall support modular components.
2005_clarushigh_PURE,"The Clarus system shall be able to use latitude, longitude, and elevation (standard GPS) coordinates to specify location to the nearest fifty feet."
2005_clarushigh_PURE,The Clarus system shall use Coordinated Universal Time (UTC) for all timestamps.
2005_clarushigh_PURE,The Clarus system shall have a minimum of one system administrator.
2005_clarushigh_PURE,The Clarus system shall be able to mitigate communication denial-of-service attacks.
2005_clarushigh_PURE,The Clarus system shall be able to automatically recover from an unexpected shutdown.
2005_clarushigh_PURE,The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.
2005_clarushigh_PURE,The Clarus system shall be able to publish environmental data at three times the volume rate that it collects it.
2005_clarushigh_PURE,The Clarus system shall be able to prioritize data handling for time-critical data.
2005_clarushigh_PURE,The Clarus system shall support 470 million current observations.
2005_clarushigh_PURE,The Clarus system shall be able to collect data from sources within 5 minutes of them becoming available.
2005_clarushigh_PURE,The Clarus system shall be able to receive all reported environmental data during a fifteen minute time interval.
2005_clarushigh_PURE,The Clarus system shall be able to complete an automated quality control check of environmental data within ten seconds of data receipt.
2005_clarushigh_PURE,The Clarus system shall be able to publish new data within twenty minutes of data receipt.
2005_clarushigh_PURE,The Clarus system shall respond to a request for information within one minute.
2005_clarushigh_PURE,The Clarus system shall be able to handle three hundred simultaneous requests for environmental element data.
2005_clarushigh_PURE,The Clarus system shall be able to support six hundred concurrent users.
2005_clarushigh_PURE,The Clarus system shall be able to support six thousand registered users.
2005_clarushigh_PURE,The Clarus system shall accept data only from approved sources.
2005_clarushigh_PURE,The Clarus program shall establish data sharing agreements with all participating sources of environmental data.
2005_clarushigh_PURE,The Clarus program shall maintain continuous 24x7 operations.
2005_clarushigh_PURE,The Clarus program shall provide an environment that has uninterruptible power for the Clarus system.
2005_clarushigh_PURE,The Clarus program shall provide an environment that has redundant communication for the Clarus system.
2005_clarushigh_PURE,The Clarus program shall provide network management tools.
2005_clarushigh_PURE,The Clarus program shall provide setup support.
2005_clarushigh_PURE,The Clarus program shall provide for customer service.
2005_clarushigh_PURE,The Clarus program shall provide a trained support staff.
2005_clarushigh_PURE,The Clarus program shall define data quality assurance methods and criteria.
2005_clarushigh_PURE,The Clarus program shall define quality control rules for environmental observations.
2005_clarushigh_PURE,The Clarus program shall define data retention standards.
2005_clarushigh_PURE,The Clarus program shall provide documentation of Clarus standards.
2005_clarushigh_PURE,The Clarus program standards shall accommodate contributions of new sensor technologies to the Clarus system.
2005_clarushigh_PURE,The Clarus program standards shall support multiple methods of data delivery to users.
2005_clarushigh_PURE,The Clarus program shall maintain a comprehensive Clarus system test environment.
2005_clarushigh_PURE,The Clarus program shall test all software changes in the designated test environment before deployment to production.
2005_clarushigh_PURE,The Clarus program shall test all hardware changes in the designated test environment before deployment to production.
2005_clarushigh_PURE,The Clarus program shall operate the Clarus system according to its published IT Security Plan.
2005_clarushigh_PURE,"The Clarus program shall operate according to Government IT security requirements as outlined in OMB Circular A-130, Management of Federal Information Resources, Appendix III, Security of Federal Automated Information Resources."
2005_clarushigh_PURE,"The Clarus program shall operate according to Government IT security requirements as outlined in the National Institute of Standards and Technology (NIST) Guidelines, Departmental Information Resource Management Manual, and associated guidelines."
2005_clarushigh_PURE,"The Clarus program shall operate according to Government IT security requirements as outlined in DOT Order 1630.2B, Personnel Security Management."
2005_clarushigh_PURE,Weather service providers shall be able to use Clarus data to provide localized special weather products.
2005_clarushigh_PURE,Public agency maintenance and construction personnel shall be able to use the Clarus system to obtain environmental conditions.
2005_clarushigh_PURE,Rail system personnel shall be able to use the Clarus system to obtain environmental conditions.
2005_clarushigh_PURE,Traffic management personnel shall be able to use the Clarus system to obtain environmental conditions.
2005_clarushigh_PURE,Transit personnel shall be able to use the Clarus system to obtain environmental conditions.
2005_clarushigh_PURE,The freight community shall be able to use the Clarus system to obtain environmental conditions.
2005_clarushigh_PURE,Emergency management and public safety personnel shall be able to use the Clarus system to obtain environmental conditions.
2005_clarushigh_PURE,The Clarus program shall maintain information about data providers.
2005_clarushigh_PURE,The Clarus program shall maintain metadata about each data provider's network.
2005_clarushigh_PURE,The Clarus program shall maintain information about data provider redistribution restrictions.
2005_clarushigh_PURE,The Clarus program shall maintain information about service providers.
2005_clarushigh_PURE,The Clarus program shall maintain information about service provider communications.
2005_clarushigh_PURE,The Clarus program shall maintain information about service provider access to data.
2005_clarushigh_PURE,The Clarus program shall allow potential weather element data providers to request permission to submit weather information.
