source,reqs
2005_claruslow_PURE,The Clarus system shall implement quality checking processes as soon as data become available.
2005_claruslow_PURE,The CAS shall be able to configure schedules for executing QChS.
2005_claruslow_PURE,The Clarus system shall record the methods applied when deriving quality checking information.
2005_claruslow_PURE,The CAS shall record the quality checking methods used.
2005_claruslow_PURE,The Clarus system shall be able to implement quality checking rules for each environmental parameter.
2005_claruslow_PURE,The CAS shall be able to configure the quality checking rules for each environmental parameter.
2005_claruslow_PURE,The CAS shall enable administrators to manage quality checking rules.
2005_claruslow_PURE,The Clarus system shall be able to implement quality checking rules for specific environmental situations.
2005_claruslow_PURE,The CAS shall be able to configure quality checking rules for specific environmental situations.
2005_claruslow_PURE,The Clarus system shall be able to implement quality checking rules specific to observation locations.
2005_claruslow_PURE,The CAS shall be able to configure quality checking rules specific to observation locations.
2005_claruslow_PURE,The Clarus system shall be able to base its quality checking process on historical environmental data.
2005_claruslow_PURE,The CAS shall be able to configure historical environmental data to be used by quality checking processes.
2005_claruslow_PURE,The Clarus system shall be able to use multiple algorithms for its quality checking process.
2005_claruslow_PURE,The CAS shall be able to configure multiple algorithms to be used in the quality checking process.
2005_claruslow_PURE,The Clarus system shall allow access to new surface transportation-related environmental data.
2005_claruslow_PURE,The CAS shall be configurable to allow new observation types to be implemented as they become available.
2005_claruslow_PURE,The Clarus system shall enable administrators to manage security groups.
2005_claruslow_PURE,The CAS system shall enable administrators to manage security group members.
2005_claruslow_PURE,The CAS shall have an administrator security group.
2005_claruslow_PURE,The CAS shall have a quality manager security group.
2005_claruslow_PURE,The Clarus system shall be able to restrict environmental data publication based on source.
2005_claruslow_PURE,The CAS shall be able to record data sharing restrictions.
2005_claruslow_PURE,The Clarus system shall record statistics about its operation.
2005_claruslow_PURE,The CAS shall record statistics about the system operation.
2005_claruslow_PURE,The Clarus system shall log data transactions.
2005_claruslow_PURE,The CAS shall log data transactions.
2005_claruslow_PURE,"The Clarus system shall acquire, process, and disseminate environmental metadata."
2005_claruslow_PURE,The CAS shall manage contributor metadata.
2005_claruslow_PURE,The CAS shall manage collector metadata.
2005_claruslow_PURE,The CAS shall manage quality checking schedules.
2005_claruslow_PURE,The CAS shall manage environmental data collection schedules.
2005_claruslow_PURE,The CAS shall manage ESS metadata.
2005_claruslow_PURE,The Clarus system shall manage environmental data and metadata according to the Clarus data sharing agreements.
2005_claruslow_PURE,The CAS shall manage data sharing rules based on contributor data sharing agreements.
2005_claruslow_PURE,"The Clarus system shall collect, quality check, and disseminate environmental data."
2005_claruslow_PURE,The CAUI shall be able to initiate CS on demand.
2005_claruslow_PURE,The Clarus system shall provide environmental data quality flags.
2005_claruslow_PURE,The CAUI shall enable a quality manager to apply manual flags to a set of observations from an individual ESS.
2005_claruslow_PURE,The CAUI shall enable a quality manager to apply manual flags to a set of observations.
2005_claruslow_PURE,The CAUI shall enable a quality manager to apply manual flags to a set of observations over a fixed time range.
2005_claruslow_PURE,The CAUI shall enable a quality manager to apply manual flags to a set of observations over a time range with an open ended future time.
2005_claruslow_PURE,The Clarus system shall allow human quality checks of environmental data.
2005_claruslow_PURE,The CAUI shall allow a quality manager to apply a manual quality flag to environmental data.
2005_claruslow_PURE,The CAUI shall allow manual quality flags to be entered.
2005_claruslow_PURE,The Clarus system shall be able to implement quality checking rules specific to each environmental parameter.
2005_claruslow_PURE,The CAUI shall enable quality checking rules to be configured specific to each environmental parameter.
2005_claruslow_PURE,The Clarus system shall enable administrators to manage security groups.
2005_claruslow_PURE,The CAUI shall enable administrators to manage security group members.
2005_claruslow_PURE,"The Clarus system shall acquire, process, and disseminate environmental metadata."
2005_claruslow_PURE,The CAUI shall enable administrators to acquire environmental metadata.
2005_claruslow_PURE,The CAUI shall enable administrators to manage environmental metadata.
2005_claruslow_PURE,The Clarus system shall provide a user interface for administration.
2005_claruslow_PURE,The CAUI shall enable administrators to manage contributor metadata.
2005_claruslow_PURE,The CAUI shall enable administrators to manage collector metadata.
2005_claruslow_PURE,The CAUI shall enable administrators to manage quality checking schedules.
2005_claruslow_PURE,The CAUI shall enable administrators to manage environmental data collection schedules.
2005_claruslow_PURE,The Clarus system shall manage environmental data and metadata according to the Clarus data sharing agreements.
2005_claruslow_PURE,The CAUI shall enable administrators to manage contributor data sharing agreements.
2005_claruslow_PURE,The CAUI shall enable administrators to assign system privileges.
2005_claruslow_PURE,"The Clarus system shall collect, quality check, and disseminate environmental data."
2005_claruslow_PURE,CS shall collect environmental data based on its configured schedule.
2005_claruslow_PURE,CS shall be able to transform extracted environmental data into the internal storage format.
2005_claruslow_PURE,CS shall be able to store transformed environmental data in the QEDC.
2005_claruslow_PURE,CS shall be able to convert observation units into the Clarus standard unit specification.
2005_claruslow_PURE,CS shall be able to be initiated on a schedule.
2005_claruslow_PURE,CS shall be able to be initiated on demand.
2005_claruslow_PURE,The Clarus system shall be able to detect data submission errors.
2005_claruslow_PURE,CS shall log when a data submission error occurs.
2005_claruslow_PURE,The Clarus system shall be able to access in-situ environmental observations from data collectors.
2005_claruslow_PURE,CS shall be able to collect in-situ environmental observations from data collectors.
2005_claruslow_PURE,The Clarus system shall be able to access remotely sensed environmental observations from data collectors.
2005_claruslow_PURE,CS shall be able to retrieve remotely sensed environmental observations from data collectors.
2005_claruslow_PURE,The Clarus system shall be able to receive roadway weather measurements derived from VII data.
2005_claruslow_PURE,CS shall be able to retrieve roadway weather measurements derived from VII data.
2005_claruslow_PURE,The Clarus system shall allow access to new surface transportation-related observed environmental data.
2005_claruslow_PURE,CS shall be able to be implemented to collect new observation types as they become available.
2005_claruslow_PURE,The Clarus system shall accept environmental data derived from images.
2005_claruslow_PURE,CS shall accept surface condition data derived from surface images.
2005_claruslow_PURE,CS shall accept atmospheric condition data derived from atmospheric images.
2005_claruslow_PURE,The Clarus system shall be able to retrieve environmental data directly from environmental sensor station collectors.
2005_claruslow_PURE,CS shall be able to retrieve environmental data directly from environmental sensor station collectors.
2005_claruslow_PURE,The Clarus system shall minimize the time for data acquisition.
2005_claruslow_PURE,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.
2005_claruslow_PURE,The Clarus system shall process data as they are received.
2005_claruslow_PURE,CS shall process environmental data as they are received.
2005_claruslow_PURE,The Clarus system shall collect pavement-related observations.
2005_claruslow_PURE,CS shall be able to collect pavement-related observations.
2005_claruslow_PURE,The Clarus system shall accept environmental data from railway systems or in-situ ESS along tracks.
2005_claruslow_PURE,CS shall be able to collect environmental data from railway systems from railway collectors.
