source,reqs
2005_pontis_PURE,The user shall be able to view the data stored in the Physical Inventory tables through the Pontis graphical user interface (GUI).
2005_pontis_PURE,The user shall be able to switch between predefined structure lists.
2005_pontis_PURE,"The user shall be able to select structures by structure ID, district, county, administrative area (geographic group), ownership, custodianship, functional class, NHS status, on/off system, inspector, bridge group, inspection due dates, and all or some environment and elements. The query shall be restricted depending on the user privilege."
2005_pontis_PURE,"The user shall be able to find structures based on the structure ID, structure name, feature intersected, facility carried, route number, LRS Inventory Route, KM/mile posts, structure types, design types and materials, and by searching the notes fields. The query shall be restricted depending on the user privilege."
2005_pontis_PURE,The user shall be able to enter a WHERE clause of the SQL query in the Find and the Filter window and run a query against the bridges in the database. The query will be verified by the application and SQL errors will be reported to the user for correction. This capability shall be an application privilege. Bridge-level security of the user shall be applied automatically.
2005_pontis_PURE,"The user shall be able to select a structure by directly typing in the structure ID in GUI, with the display scrolling to that structure. Bridge-level security of the user shall be applied automatically."
2005_pontis_PURE,The system shall display the data in the appropriate unit of measurement as configured for the application. This will be a permanent modal setting for the application. This setting shall be configurable (as stipulated in Requirement 22.1).
2005_pontis_PURE,"The user shall be able to select bridges on a supported map display and generate a bridge list for use within Pontis, for example, to perform a simulation analysis or to generate an inspection roster."
2005_pontis_PURE,The user shall be able to view the data stored in the Project Planning tables through the GUI.
2005_pontis_PURE,The user shall be able to switch between predefined project lists.
2005_pontis_PURE,"The user shall be able to filter and select projects by structure ID, project ID, program, action type, project status, review status, treatment, program year, and project end date."
2005_pontis_PURE,"The user shall be able to find projects by project ID, project name, project status, structure ID, and program."
2005_pontis_PURE,"The user shall be able to filter and select work candidates by structure ID, project ID, program, action type, project status, review status, treatment, program year, and project end date."
2005_pontis_PURE,The user shall be able to enter a WHERE clause of the SQL query in the Find and the Filter window and run a query against the projects in the database. The query will be verified by the application and SQL errors will be reported to the user for correction. This capability shall be an application privilege. Bridge-level security of the user shall be applied automatically.
2005_pontis_PURE,"The user shall be able to select a project by directly typing in the project ID in the GUI, with the display scrolling to that structure. Bridge or project level security of the user shall be applied automatically."
2005_pontis_PURE,"The user shall be able to select projects (work) on a supported map display and generate a project/bridge list for use within Pontis, for example, to display results of a simulation analysis or to generate a STIP display."
2005_pontis_PURE,"The user shall be able to select and execute predefined reports to view bridge data, project data, preservation model data, program simulation results, and configuration data. The existing Pontis reports shall form the basis for the predefined reports to be provided in Pontis 5.0."
2005_pontis_PURE,The user shall be able to create reports in a .NET compliant report generator other than InfoMaker and review these reports from within the Pontis GUI.
2005_pontis_PURE,The system shall provide the ability to integrate current selections with a .NET compliant report generator other than InfoMaker. AASHTO may provide users with a list of suggested report generators to replace PowerBuilder/InfoMaker.
2005_pontis_PURE,The system shall provide the ability to incorporate PDF files into standard Pontis reports.
2005_pontis_PURE,"The system shall provide the ability to save reports in PDF, HTML, and XML formats."
