source,reqs
2007_ertms_PURE,"This document defines the functional requirements for ERTMS/ETCS (EUROPEAN RAIL TRAFFIC MANAGEMENT SYSTEM / EUROPEAN TRAIN CONTROL SYSTEM). The document primarily defines the operational requirements and therefore contains only a few technical terms. For consistency reasons, all functional requirements not implemented in the SRS 2.3.0 have been removed from this version."
2007_ertms_PURE,"In the requirements of this document: (M) = Mandatory:The requirement shall be respected in every ETCS application. The applicable requirements stated in ETCS SRS and lower level mandatory specifications shall be respected. (O) = Optional:It is not mandatory to implement this function in every ETCS application. If implemented, the applicable requirements stated in ETCS SRS and lower level mandatory specifications shall be respected. Note that the CCS TSI may define specific conditions, where implementation of O functions may be required for safety reasons."
2007_ertms_PURE,ETCS shall provide the driver with information to allow him to drive the train safely.
2007_ertms_PURE,ETCS shall be able to supervise train and shunting movements.
2007_ertms_PURE,If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.
2007_ertms_PURE,ETCS is required to be functional to a maximum train speed of 500 km/h.
2007_ertms_PURE,"The following definitions shall apply for the ETCS application levels: Level 0: ETCS active for limited train control function; trackside not fitted with any train control system or fitted with a train control system for which no STM is available onboard. Level 1: Basic track to train information via intermittent transmission media, e.g. balises. This information can be supported by infill, transmitted via balise, loop or radio. Level 2: Basic track to train and train to track information via continuous transmission media, i.e. radio. The train detection is provided by trackside. Level 3: Same as level 2 except that train integrity is provided by onboard and therefore trackside. train detection is optional. Level STM (Specific Transmission Module): Track to train information provided by national system. Onboard functions provided by national system (STM) in co-operation with onboard ETCS."
2007_ertms_PURE,It shall be possible to implement one or more of the ETCS application levels on a line.
2007_ertms_PURE,"Trains equipped for ERTMS/ETCS application level 3 shall be able to run on lines equipped with ERTMS/ETCS application level 3, 2, 1 and 0, trains equipped for ERTMS/ETCS application level 2 shall be able to run on lines equipped with ERTMS/ETCS application level 2, 1 and 0 and trains equipped for ERTMS/ETCS application level 1 shall be able to run on lines equipped with ERTMS/ETCS application level 1 and 0."
2007_ertms_PURE,The current application level shall be indicated on the DMI.
2007_ertms_PURE,"The driver shall acknowledge the level transitions, if requested from trackside. If the driver does not acknowledge after the transition the brake shall be applied. If the driver acknowledges afterwards, the brake can be released"
