source,reqs
2007_nde_PURE,"The System shall provide the capability to operate in an Open Mode, within which authorized customers shall be allowed read-only access to requested Data Products. This is the nominal system mode."
2007_nde_PURE,"The System shall provide the capability to operate in a Degraded System Mode, within which the system generates a subset of products based upon priority and availability of system resources."
2007_nde_PURE,The System shall provide the capability to notify customers upon the NPOESS Ground System entering and leaving a Degraded Operations Mode.
2007_nde_PURE,"The System shall provide the capability to operate in a Restricted Access Mode, within which only users meeting certain criteria will be authorized access to the data. Criteria will be defined in the TBD Data Denial Plan."
2007_nde_PURE,The System shall provide the capability to send an electronic notification to authorized users when they receive restricted access data.
2007_nde_PURE,The System shall be capable of defining Data Products for Ingest.
2007_nde_PURE,"The System shall be capable of integrating System Elements including Scientific Algorithms, Product Tailoring Tools, Data Format Translation Tools, and other pre-defined transformation utilities."
2007_nde_PURE,The System shall provide the capability to support functional and performance tests of system elements without impacting operational product generation.
2007_nde_PURE,The System shall be capable of maintaining records of at least 30 days (configurable) worth of Ingest history.
2007_nde_PURE,The System shall provide the capability to control the execution of Scientific Algorithms.
2007_nde_PURE,The System shall be capable of generating Data Products.
2007_nde_PURE,The System shall provide the capability for an authorized user to adjust Product Generation priorities.
2007_nde_PURE,The System shall be capable of rendering Platte Carre projections.
2007_nde_PURE,The System shall be capable of rendering Mercator projections.
2007_nde_PURE,The System shall be capable of rendering Polar Stereographic projections.
2007_nde_PURE,The System shall be capable of aggregating Data Products up to and including one orbit.
2007_nde_PURE,The System shall be capable of producing time-averaged Data Products.
2007_nde_PURE,The System shall be capable of generating NOAA-Unique and Tailored Data Products with Government-specified grid spacing.
2007_nde_PURE,The System shall be capable of reformatting Data Products into BUFR.
2007_nde_PURE,The System shall be capable of reformatting Data Products into GRIB2.
2007_nde_PURE,The System shall be capable of reformatting Data Products into GeoTIFF.
2007_nde_PURE,The System shall be capable of reformatting Data Products into HDF5.
2007_nde_PURE,The System shall be capable of reformatting Data Products into netCDF.
2007_nde_PURE,The System shall be capable of compressing Data Products with the GZIP algorithm.
2007_nde_PURE,The System shall be capable of compressing Data Products with the ZIP algorithm.
2007_nde_PURE,The System shall be capable of compressing Data Products with the RICE algorithm.
2007_nde_PURE,The System shall be capable of compressing images of Data Products with the JPEG algorithm.
2007_nde_PURE,The System shall be capable of compressing animated images of Data Products with the MPEG algorithm.
2007_nde_PURE,The System shall be capable of generating Data Products within a time frame not to exceed the maximum user-specified shelf-life of the Data Product.
2007_nde_PURE,The System shall be capable of making Data Products available to registered users.
2007_nde_PURE,"The System shall provide an online capability for registered users to request subscriptions to xDRs, Ancillary, NOAA-Unique, and Tailored Data Products."
2007_nde_PURE,"The System shall provide an online capability for the Government to approve subscription requests for xDRs, Ancillary, NOAA-Unique, and Tailored Data Products."
2007_nde_PURE,The System shall be capable of distributing NOAA-Unique Data Products to the CLASS Long-Term Archive (LTA).
2007_nde_PURE,The System shall provide a list of files distributed to CLASS.
2007_nde_PURE,The System shall provide the capability to receive an electronic delivery acknowledgement message from CLASS.
2007_nde_PURE,The System shall be capable of delivering NDE Data Products to registered user's computer systems.
2007_nde_PURE,The System shall be capable of notifying registered users of the status of their orders.
2007_nde_PURE,The System shall be capable of notifying registered users of the status of the System.
2007_nde_PURE,The System shall ensure that NDE information is accessible only to those authorized to have access.
2007_nde_PURE,The System shall be capable of registering Users for the purpose of controlling their access to System Elements and Data Products.
2007_nde_PURE,"The System shall provide a mechanism for reporting performance related to resource utilization, communications, product latencies, and hardware."
2007_nde_PURE,The System shall provide an automatic failover capability that will re-create a fully functioning configuration from a failed configuration.
2007_nde_PURE,"In the event of a failure of the Operational Environment during the NPOESS missions, the System Test Environment shall be capable of delivering products to the operational community within the same throughput and latency parameters as the operational system."
2007_nde_PURE,The System shall be capable of monitoring the integrity of all data received from external sources.
2007_nde_PURE,The System shall provide the capability for an authorized user to define data input integrity checks.
2007_nde_PURE,"The System shall be capable of executing and recording the results of data input integrity checks, and initiate actions based on those results."
2007_nde_PURE,The System shall be capable of making products available for distribution according to customer-specified latencies.
2007_nde_PURE,"The System shall have the capability to monitor, record statistics, and deliver reports on its performance."
2007_nde_PURE,The System shall be capable of retaining logs of all performance data for no less than 90 consecutive calendar days.
2007_nde_PURE,"The System shall provide the capability to generate custom reports from data collected during data receipt, processing, and distribution."
2007_nde_PURE,The System shall be capable of receiving data and products from IDPS.
2007_nde_PURE,The System shall be capable of requesting and accepting all xDRs generated by the IDPS.
2007_nde_PURE,The System shall be capable of receiving SARSAT Telemetry from the IDPS.
2007_nde_PURE,The System shall be capable of receiving A-DCS data and telemetry from the IDPS.
2007_nde_PURE,The System shall provide an operator console capable of utilizing IDPS client software for submitting subscriptions for Data Products to the IDPS.
2007_nde_PURE,The System shall be capable of automatically submitting Ad Hoc Requests to the IDPS for retransmission of Data Products.
2007_nde_PURE,The System shall be capable of receiving Data Delivery Reports (DDRs) from the IDPS.
2007_nde_PURE,The System shall be capable of receiving Ancillary Data Products from the Environmental Satellite Processing Center (ESPC).
2007_nde_PURE,The System shall be capable of ingesting and processing archived data.
2007_nde_PURE,The System shall provide an operator console capable of requesting Data Products from the Comprehensive Large Array-data Stewardship System (CLASS).
2007_nde_PURE,The System shall be capable of receiving Data Products delivered from CLASS.
2007_nde_PURE,The System shall be capable of sending a Data Receipt to CLASS for each Data Product received from CLASS.
2007_nde_PURE,"ESPC Operations shall provide an interface between NDE and the NPOESS Mission Management Center (MMC) such that 100% of the NDE inquiries to the MMC and NDE replies to MMC requests are received by the MMC in a time not to exceed that specified in the ICD, and that 100% of the notifications and inquiries from the MMC to NDE are received by NDE in a time not to exceed that specified by the ICD."
2007_nde_PURE,The System shall provide an operator console capable of interfacing with the NPOESS trouble ticketing system.
2007_nde_PURE,The System shall provide an operator console capable of interfacing with the ESPC trouble ticketing system.
2007_nde_PURE,The System shall be capable of executing tasks according to a schedule.
2007_nde_PURE,The System shall be capable of executing tasks initiated by events.
2007_nde_PURE,The System shall be capable of executing 99% of its scheduled tasks in any consecutive 30 day period.
2007_nde_PURE,The System shall be capable of executing 99% of its event driven tasks in any consecutive 30 day period.
2007_nde_PURE,The System shall be capable of adjusting the priorities of scheduled and event-driven tasks.
2007_nde_PURE,The System shall have the capacity to store 4 Terabytes (TBs) of data for testing purposes.
2007_nde_PURE,"The System shall be capable of reporting on all ingested, generated, and distributed data according to the (Federal Geographic Data Committee (FGDC) Content Standard for Digital Geospatial Metadata (CSDGM), Vers. 2 (FGDC-STD-001-1998)"
2007_nde_PURE,The System shall be capable of storing product quality information in the metadata of products created.
2007_nde_PURE,The System shall be capable of retaining Data Products for a configurable period of time not to exceed 96 hours.
2007_nde_PURE,The System shall be capable of accepting technology updates without System downtime.
2007_nde_PURE,The System shall be capable of adding additional capacity without redesign of it's infrastructure.
2007_nde_PURE,"The System shall comply with ESPC (DoC/NOAA/NESDIS) procedures and policies as stated in the NOAA IT Security Manual 212-1300, Version 3.3, dated May 15, 2007."
2007_nde_PURE,"The System shall be capable of generating backups for all NDE data, procedures, and software."
2007_nde_PURE,The System shall be capable of implementing automated backup procedures.
2007_nde_PURE,The System shall be capable of returning to nominal operations following a restoration from system backups.
2007_nde_PURE,The System shall be capable of protecting the integrity of NDE data in the event of human errors.
2007_nde_PURE,The System shall be capable of protecting the integrity of NDE data in the event of computer to computer transmission errors.
2007_nde_PURE,The System shall be capable of protecting the integrity of NDE data from software bugs.
2007_nde_PURE,The System shall be capable of protecting the integrity of NDE data in the event of a hardware malfunction such as a disk crash.
2007_nde_PURE,The System shall be capable of protecting the integrity of NDE data in the event of a natural disaster.
2007_nde_PURE,The NDE System can be accessed only with the authorization of the Government.
2007_nde_PURE,"The System shall be constructed using existing hardware where it is possible, practical, and approved by the Government. Inventory will be provided to the Contractor by OSDPD IT Lead."
2007_nde_PURE,"The System shall be constructed using existing software where it is possible, practical, and approved by the Government. Inventory will be provided to the Contractor by OSDPD IT Lead."
2007_nde_PURE,"The System shall be constructed using COTS and Open Source software where it is possible, practical, and approved by the Government."
2007_nde_PURE,The NDE System Elements shall be designed to be reused in other Satellite Data Processing applications.
2007_nde_PURE,The NDE System shall be designed so that Scientific Algorithms are invoked as objects.
2007_nde_PURE,"The System shall provide the capability for operators to log and track events (i.e., MMC Service Requests, MMC Service Request Responses)."
2007_nde_PURE,The System shall provide the capability for operators to update a summary log for the purposes of tracking the occurrence of significant events or activities.
2007_nde_PURE,"The System shall provide the capability for operators to sort and search on summary log events for the purposes of identifying, troubleshooting, and reporting on significant activities."
2007_nde_PURE,The System shall be capable of reporting on summary log events.
2007_nde_PURE,The System shall provide the capability for operators to quiesce and restart the System. This capability should be designed to minimize interruptions of service.
2007_nde_PURE,The System shall implement operational quality monitoring procedures that will detect and report to operators and management the acceptability of xDR metadata according to configurable thresholds.
2007_nde_PURE,The System shall implement operational quality monitoring procedures that will detect and report to operators and management the acceptability of output product metadata according to configurable thresholds.
2007_nde_PURE,"The System shall be capable of changing system status to reflect the condition of NPOESS (i.e., Degraded Operations, Restricted Access)."
2007_nde_PURE,The System shall provide the capability for operators to forward NDE System Elements to CLASS for permanent archive.
2007_nde_PURE,The NDE Ingest capability shall not be interrupted for more than 2 hours in any consecutive 24 hour period and no more than 4 hours in any consecutive 30 day period.
2007_nde_PURE,The NDE Product Generation capability shall not be interrupted for more than 2 hours in any consecutive 24 hour period and no more than 4 hours in any consecutive 30 day period.
2007_nde_PURE,The NDE Distribution capability shall not be interrupted for more than 2 hours in any consecutive 24 hour period and no more than 4 hours in any consecutive 30 day period.
2007_nde_PURE,The NDE Operations Monitoring capability shall not be interrupted for more than 2 hours in any consecutive 24 hour period and no more than 4 hours in any consecutive 30 day period.
2007_nde_PURE,"The Development and Maintenance Environment shall be available to at least 25 developers 85% of the time during normal business hours over any consecutive twelve month period. Normal business hours are 8am to 4pm Eastern Time, Monday through Friday."
2007_nde_PURE,The System shall be capable of accessing data delivered by IDPS within no more than ten seconds of notification from IDPS.
2007_nde_PURE,The System shall deliver SARSAT Telemetry data from IDPS to US Mission Control Center (USMCC) within 1 minute of their receipt.
2007_nde_PURE,The System shall deliver A-DCS Telemetry data from IDPS to the US Global Processing Center within 1 minute of their receipt.
2007_nde_PURE,The System shall deliver A-DCS Data Products from IDPS to the US Global Processing Center within 1 minute of their receipt.
2007_nde_PURE,"During the NPP mission, the System shall be capable of supporting product volumes of 4 Terrabytes per day of input and 8 Terabytes per day of output."
2007_nde_PURE,"During the NPOESS-C1 mission, the System shall be capable of supporting product volumes of 8 Terabytes per day of input and 16 Terrabytes per day of output."
2007_nde_PURE,"During the NPOESS-C2 mission, the System shall be capable of supporting product volumes of 8 Terabytes per day of input and 16 Terabytes per day of output."
2007_nde_PURE,The System shall be compliant with the OMB Federal Enterprise Architecture (FEA) according to the documents dated December 2006.
