source,reqs
0000_mss_WEB,The candidate has to declare that the vehicles supplied will be purchased from official importer or other legal entity explicitly authorized by the manufacturer to supply and maintain the vehicles offered and which has a service base in the country for the specific model.
0000_mss_WEB,"Vehicles should meet technical standards in EU or equivalent, confirmed by certificate of conformity with type approval or declaration upon delivery. If the vehicles require additional post-manufacturing equipment, a declaration that required transformations have taken place should be submitted with the quotation."
0000_mss_WEB,Year of manufacturing of the vehicle should be not older than 6 months.
0000_mss_WEB,"During the warranty period, the contractor will provide at their own expense the mandatory warranty technical maintenance of the vehicle covering the labor costs and all spare parts, oils and consumables."
0000_mss_WEB,Warranty against corrosion – no less than standard warranty period given by manufacturer.
0000_mss_WEB,Manufacturer’s recommended service interval not less than 10.000km.
0000_mss_WEB,"Total acceptable weight of vehicle may not exceed 3,5t"
0000_mss_WEB,"Total weight of the vehicle integrated with an electro–optical system and a crew (2 people, 100 kg each), ready to go, may not exceed 90% of the total acceptable weight of vehicle."
0000_mss_WEB,The axes of the vehicle shall be loaded in a balanced way (approx. 50:50) so that the roadworthiness of the vehicle is not worsened.
0000_mss_WEB,Technical requirements for the body of the vehicle
0000_mss_WEB,The vehicle shall have a pickup body with the hard top cover technical compartment.
0000_mss_WEB,The hard top cover shall be not higher than 300 mm above the cabin roof lever.
0000_mss_WEB,The vehicle shall have a frame construction.
0000_mss_WEB,Length of the vehicle may not exceed 5500 mm.
0000_mss_WEB,Height of the vehicle may not exceed 2000 mm when antennas are folded.
0000_mss_WEB,Axle base may not be narrower than 3000 mm.
0000_mss_WEB,The vehicle shall have power–assisted left–hand steering.
0000_mss_WEB,Steering column shall have height and length adjustable.
0000_mss_WEB,In the cabin vehicle shall have 2 rotatable (180°) comfort seats with armrests.
0000_mss_WEB,Seats shall be ergonomically designed. They shall be firmly fixed in the vehicle floor.
0000_mss_WEB,"The seats shall provide: Smooth adjustment in height,"
0000_mss_WEB,"The seats shall provide: Smooth adjustment of the distance from the operator’s console,"
0000_mss_WEB,"The seats shall provide: Smooth adjustment of the angle of which the backrest can be leant,"
0000_mss_WEB,"The seats shall provide: Smooth rotation,"
0000_mss_WEB,"The seats shall provide: Smooth regulation of the shape of the backrest in its lumbar part,"
0000_mss_WEB,"The seats shall provide: Electric regulation is allowed,"
0000_mss_WEB,The seats shall provide: Heating of the seats is allowed.
0000_mss_WEB,The operators shall be able to adjust his seats while sitting on it.
0000_mss_WEB,The body shall have separate compartments i.e. driver’s/operator’s and technical one/ones.
0000_mss_WEB,The operators compartment shall guarantee sufficient space for the necessary operating and observing elements and an ergonomic working conditions for two operators for at most 12 hours
0000_mss_WEB,"The operator’s compartment and the technical compartment, where the technical equipment is located shall be separated from each other with a rigid, sound–isolated partition."
0000_mss_WEB,Flooring in the operator compartment shall be made with dark rubber;
0000_mss_WEB,The body shall have a separate door leading into the technical compartment/compartments.
0000_mss_WEB,"Admissible level of noise in the operator compartments, while observation is in progress, may not be higher than 60 dBA."
0000_mss_WEB,The design of the body shall prevent emitting the operator’s/technical compartment lighting outside i.e. tinted windows.
0000_mss_WEB,The body shall be designed in a way that prevents identification of the vehicle as a carrier of the sensors.
0000_mss_WEB,There shall be some drawers or other kind of “soft” lockers for documentation.
0000_mss_WEB,"The device installed in MSS, being in operation, cannot be heard from the distance longer than 50m."
0000_mss_WEB,"The vehicle shall have a water–cooled, four–stroke diesel engine."
0000_mss_WEB,Engine power not less than 125 kW.
0000_mss_WEB,Max. engine torque not less than 350 Nm.
0000_mss_WEB,Engine swept capacity not less than 2000 cm3.
0000_mss_WEB,Capacity of the fuel tank shall be not less than 80 dm3.
0000_mss_WEB,Mileage with the full of fuel tank shall allow to overcome distance minimum 500 km.
