source,reqs
2003_hp_ird_web,During all mission phases (including LEOP and transfer to L2) there shall be no requirement for the MOC to send telecommands in nominal or contingency cases with a response time of less than 3 minutes.
2003_hp_ird_web,Situations in which the MOC is expected to react within a short time (< 30 minutes) shall be well identified and agreed by ESA.
2003_hp_ird_web,"Situations in which the MOC is required to react within a short time (< 30 minutes) shall be unambiguously recognisable in the telemetry available to the MOC, without the need for complex processing (such as historical data processing)."
2003_hp_ird_web,"HK Telemetry shall be continuously generated and recorded in all modes of operations, including Survival Mode. However, when a Subsystem or Instrument - which nominally generates or relays HK Telemetry - is in a specific non-nominal mode (as : processor halted / reset) , this requirement does not apply to the concerned Subsystem or instrument."
2003_hp_ird_web,"The S/C and on-board users shall always be able to receive, process and distribute all the uplinked command packets at the maximum uplink rate, regardless of packet sizes. CTRL-6. No slowing down of the commanding rate shall be imposed by on-board"
2003_hp_ird_web,No slowing down of the commanding rate shall be imposed by on-board limitations in hardware or software for handling the incoming telecommands by any subsystem or instrument.
2003_hp_ird_web,Execution of hazardous functions shall be implemented by means of two independent telecommands. TC-2. Execution of vital functions (agreed by ESA) shall be implemented by a
2003_hp_ird_web,Execution of vital functions (agreed by ESA) shall be implemented by a nominal and a redundant telecommand.
2003_hp_ird_web,Redundant telecommands shall be differently routed from the related nominal telecommand.
2003_hp_ird_web,A telecommand packet shall contain one and only one telecommand function.
2003_hp_ird_web,It shall be possible to command the spacecraft or any subsystem or instrument into each of their pre-defined operation modes by means of a single telecommand
2003_hp_ird_web,It shall be possible to command all on-board devices individually from the ground.
2003_hp_ird_web,A telecommand that does not conform to the packet telecommand standard and/or is not recognised as a valid telecommand shall be rejected at the earliest possible stage in the on-board acceptance and execution process.
2003_hp_ird_web,"The on-board reception, processing and execution of telecommands shall not affect any other independent on-board process."
2003_hp_ird_web,Changes to on-board data or software parameters shall be implemented via a dedicated telecommand and not via a multi-purpose software load telecommand. TC-10. Readouts of loaded on-board data or software parameters shall be
2003_hp_ird_web,Readouts of loaded on-board data or software parameters shall be requested via a dedicated telecommand and not via a multi-purpose software dump telecommand.
2003_hp_ird_web,The telecommand history (including content) of on-board issued commands shall be kept on-board for interrogation (and/or deletion) by ground. 2.1.3 Telemetry
2003_hp_ird_web,"The MOC shall be provided throughout the mission with the data, in raw form, required for the execution and analysis of all nominal operations and foreseen contingency operations for the spacecraft subsystems and instruments."
2003_hp_ird_web,The availability of telemetry information shall be compatible with the required response times which have been identified for any control loops implemented on ground.
2003_hp_ird_web,Telemetry data shall be provided to the ground such that complete and unambiguous assessment of the spacecraft and payload status and performance is possible without the need for reference to the telecommand history to interpret the data.
2003_hp_ird_web,"Telemetry shall be provided to allow complete and unambiguous verification of acceptance and execution of all telecommands sent from any source (sent from ground for immediate, delayed or time-tagged execution, and sent from on-board applications)."
2003_hp_ird_web,Telemetry shall always be provided to unambiguously identify the conditions required for execution of all possible configuration dependent telecommands.
2003_hp_ird_web,Status information in telemetry shall always be provided from direct measurements from operating units rather than from secondary effects. This is in particular essential for the status of all on-board relays.
2003_hp_ird_web,"All mission critical action shall be observable by at least two independently obtained measurements, collected on-board via independent routes. TM-8. All inputs to on-board autonomous processes, in particular On-Board Control"
2003_hp_ird_web,"All inputs to on-board autonomous processes, in particular On-Board Control Procedures, shall be accessible to the ground via telemetry."
2003_hp_ird_web,Information to indicate all actions of operational significance taken by on- board software shall be available in telemetry.
2003_hp_ird_web,"Software status telemetry shall include all commandable parameters such as monitoring and control thresholds, software tables, flags, global variables used by On-Board Controlrocedures, etc."
2003_hp_ird_web,The values of telemetry parameters shall be self-contained. TM-12. The value of a telemetry parameter shall be transmitted in contiguous bits
2003_hp_ird_web,The value of a telemetry parameter shall be transmitted in contiguous bits within one packet.
2003_hp_ird_web,"It shall be possible to store all telemetry generated on-board in the SSMM, including that currently defined for immediate transmission to ground, until deleted by ground. TM-14. Event packets (also from the monitoring service) and telecommand acceptance reports shall be stored regardless of the status of the SSMM."
2003_hp_ird_web,Event packets (also from the monitoring service) and telecommand acceptance reports shall be stored regardless of the status of the SSMM. This is to ensure that a minimum reporting capability is available in the absence of the SSMM so that the spacecraft performance during non- coverage periods can be assessed.
2003_hp_ird_web,"Any packet carrying engineering measurement and performance information for a unit shall also contain the information necessary to determine the validity of the data, e.g. the unit status."
2003_hp_ird_web,"If it is necessary to define synthetic parameters (i.e. parameters which are calculated using other parameters), all the contributing parameters should appear in the same packet."
2003_hp_ird_web,All packets shall include the time field in the data field header
2003_hp_ird_web,All event packets shall include a counter (in the data field) which permits the unambiguous identification of the type (severity) of events lost when event packets are found to be missing (from the packet source sequence count).
2003_hp_ird_web,All timing information used for on-board functions like time-tagging of telecommands and running of application software and for telemetry time- stamping shall be synchronised with a single on-board Central Time Reference.
2003_hp_ird_web,Timing information provided in telemetry shall allow the on-ground correlation of on-board time with UTC with an accuracy defined in AD - 3 and AD - 4.
2003_hp_ird_web,It shall be possible to establish by analysis the original on-board sampling time of any spacecraft status telemetry parameter appearing in the telemetry source packets.
2003_hp_ird_web,"After switch on or reset, any unit shall flag in each packet with the time field that the time has not yet been synchronised"
