source,reqs
2004_hp_srs_web,"The Herschel satellite shall accommodate the Herschel instruments and telescope and shall satisfy all performances and interface requirements as specified in the IID’s (AD4-1,AD4-2, AD4-3, AD4-4), and AD2-1. In addition, it shall deliver the instruments in an adequate Lissajous orbit around L2."
2004_hp_srs_web,"The Planck satellite shall accommodate the Planck instruments and telescope (including the primary, secondary reflectors and baffle) and shall satisfy all performances and interface requirements as specified in the IID’s (AD4-1,AD4-5, AD4-6) and AD2-2. In addition, it shall deliver the instruments in an adequate Lissajous orbit around L2."
2004_hp_srs_web,The Herschel spacecraft shall support the scientific observations of the Herschel instruments
2004_hp_srs_web,The Planck spacecraft shall support the scientific observations of the Planck instruments
2004_hp_srs_web,The spacecraft design shall enable the operational control by the ground segment during all mission phases and modes in both nominal and contingency situations.
2004_hp_srs_web,The spacecraft shall be able to support continuous communications with the ground during station visibility periods.
2004_hp_srs_web,"During all mission phases the spacecraft shall be able to receive telecommands and transmit housekeeping data in any attitude and orbit position , i.e. omni-directional coverage shall be provided."
2004_hp_srs_web,The spacecraft design shall support real time housekeeping data (spacecraft and payload)
2004_hp_srs_web,The spacecraft design shall support real time science + Real time housekeeping data
2004_hp_srs_web,The spacecraft design shall support real time housekeeping data + dump of on-board mass memory
2004_hp_srs_web,The spacecraft design shall support real time housekeeping +Real time science + dump of the on- board mass memory
2004_hp_srs_web,"Each spacecraft shall be equipped with a set of Visual Monitoring Camera(s) (VMC). The purpose being Public Relations effort, the performance (resolution, colour image, etc.), location and field of view shall be selected accordingly."
2004_hp_srs_web,Each spacecraft shall be equipped with a Radiation Monitor according to AD2-3. Its intended operation is also described in AD2-3.
2004_hp_srs_web,Each spacecraft shall be able to operate out of ground contact and follow a programme of operations loaded by the ground during the communication period (DTCP).
2004_hp_srs_web,"Both spacecraft shall be compatible with the facilities at the launch site. However Contractor., specific non-standard facility modifications/extension that might have to be implemented (e.g. for helium handling or dry nitrogen flushing) by the launcher authority shall be identified by the Contractor."
2004_hp_srs_web,"Both spacecraft shall be compatible with a direct ignition of the launcher upper stage, shall be supported by internal power and withstand the mechanical and thermal environment."
2004_hp_srs_web,"During the launch phase, both spacecraft shall be in a minimum power mode using on-board batteries. All instruments are switched off with the exception of the launch lock of the mechanical coolers for the Planck S/C. Command for cryogenic valve actuation, if necessary during launch, could be supplied by the launch vehicle."
2004_hp_srs_web,Both spacecraft shall be compatible with a daily launch window of 45 minutes.
2004_hp_srs_web,Both spacecraft shall be compatible with the combined duration of the yearly launch windows of at least 6 months.
2004_hp_srs_web,The spacecraft shall autonomously detect separation from the launch vehicle and reorient itself to achieve Sun-pointing of the solar arrays.
2004_hp_srs_web,The spacecraft shall autonomously detect correct Sun-acquisition and switch to the solar array power mode.
2004_hp_srs_web,"20 seconds after separation, the spacecraft shall provide telemetry data for spacecraft monitoring and check-out."
2004_hp_srs_web,The spacecraft shall provide attitude information for attitude reconstitution by the ground.
2004_hp_srs_web,Both spacecraft shall be compatible with the direction of the Delta- Velocity vector as defined by SGEN-060.
2004_hp_srs_web,The spacecraft propulsion system shall support all post-launch attitude and orbit manoeuvres required to correct for injection errors.
2004_hp_srs_web,All planned manoeuvres shall be possible without ground link.
2004_hp_srs_web,Both spacecraft shall be compatible with the operational Lissajous orbit around the 2nd Lagrangian Libration point in the Earth/Moon – Sun system.
2004_hp_srs_web,The Herschel spacecraft shall be compatible with a maximum Sun/Spacecraft/Earth angle of 40 degrees in its operational orbit.
2004_hp_srs_web,Both spacecraft shall be compatible with a maximum distance to Sun of 154E6 km.
2004_hp_srs_web,Both spacecraft propulsion systems shall support all orbit correction/ maintenance manoeuvres.
2004_hp_srs_web,To perform orbit maintenance the spacecraft design shall not require dedicated slew manoeuvres but maintain the attitude imposed by the execution of the nominal sky scanning law.
2004_hp_srs_web,The attitude constraints as defined in Section 4.2.7. shall be satisfied during the ?V and orbit maintenance manoeuvres.
2004_hp_srs_web,The attitude constraints and restrictions shall be respected at separation until the end of mission.
2004_hp_srs_web,The Herschel spacecraft shall be compatible with any of the following combination of sun aspect angles away from the +Z-axis during all observational modes: +/-30 degrees about the Y-axis and +/-1 degrees about the X-axis.
2004_hp_srs_web,The Planck spacecraft shall be compatible with a sun aspect angle of ± 10° from the -X-axis (around the spin axis) during all operation modes.
