source,reqs
2005_wise_mos_WEB,The MOS shall support a WISE mission life-time of 7 months.
2005_wise_mos_WEB,The MOS will be designed to support the goal of a WISE mission life-time of 13 months.
2005_wise_mos_WEB,The MOS shall be designed to complete a survey of the entire sky within 6 months of science operations.
2005_wise_mos_WEB,"The ground segment shall comply with the DSMS IT Security Policy, IND 800-12, JPL-D23140, and NASA Procedures and Guidelines for Security NPG 2810.1."
2005_wise_mos_WEB,"The WISE MOS shall follow standard JPL practices for the configuration management of documentation, operational products and software."
2005_wise_mos_WEB,After the start of System Level GDS testing  all GDS and MOS anomalies shall be reported and dispositioned using either the JPL AAMES or ISA institutional anomaly reporting systems .
2005_wise_mos_WEB,The MOS shall follow documented processes consistent with JPL Standards.
2005_wise_mos_WEB,The MOS software documentation shall follow JPL or IPAC Caltech standards as applicable.
2005_wise_mos_WEB,"The MOS shall update and maintain  documents including but not limited to the Command Dictionary, Telemetry Dictionary, and Flight Rules, inherited from the WISE development phase throughout the life of the mission."
2005_wise_mos_WEB,The MOS shall maintain the WISE fault tree throughout the operational mission.
2005_wise_mos_WEB,The ground segment shall as a goal design its normal mission operations processes based on a 40-hour workweek.
2005_wise_mos_WEB,"As a goal the, MOS shall automate real time operations to achieve unattended operations for up to 24 hours."
2005_wise_mos_WEB,"The MOS shall verify the proper functioning of capabilities added to the flight software post-launch, including interaction with existing flight software."
2005_wise_mos_WEB,All MOS processes shall include at least 20% operational margin (meaning 20% of the time allocated to do a process shall be margin).
2005_wise_mos_WEB,The MOS shall schedule the TDRSS tracking coverage during the mission
2005_wise_mos_WEB,"The Ground Segment shall comply with the WISE Safety and Mission Assurance Plan, Mission Operations Assurance Section"
2005_wise_mos_WEB,All data products and operations reporting shall contain Coordinated Universal Time (UTC) time-tagging with an absolute knowledge of +/-0.6 seconds.
2005_wise_mos_WEB,The WISE MOS shall use the International Celestial Reference System (ICRS) to describe the positions and motions of celestial bodies.
2005_wise_mos_WEB,The WISE MOS shall use standard SI engineering units for engineering data.
2005_wise_mos_WEB,The MOS shall apply the CCSDS data system standards as specified in the Flight- Ground ICD to the design and implementation of the WISE ground system.
2005_wise_mos_WEB,"The MOS shall conduct a training program for its operations staff, including at least one formal Operational Readiness Test to certify the readiness of the WISE operations teams to successfully execute IOC, mission critical events and science survey mission."
2005_wise_mos_WEB,"The WISE Ground System shall provide all command and control functions for operations of the satellite, including command generation and execution, scheduling, navigation and satellite performance analysis."
2005_wise_mos_WEB,"The WISE Ground System shall provide data system processing functions necessary to capture, process, store and distribute the WISE data including mission ground system interfaces."
2005_wise_mos_WEB,"The MOS shall design the Ground Data System with 50%  margin in the following areas: CPU utilization, storage space, and LAN loading (for data queries, etc)."
2005_wise_mos_WEB,All MOS interfaces shall be implemented according to the descriptions in the WISE MOS ICD.
2005_wise_mos_WEB,"Operations at JPL shall be conducted from a Mission Support Area which shall include all the workstations, LAN, and other connections needed by the various elements of the Flight Control Team."
2005_wise_mos_WEB,A MSA shall exist at BATC for spacecraft team support and at the WISE Science Data Center (WSDC) and UCLA for science team operations.
2005_wise_mos_WEB,The MOS shall provide an online repository for all operations products for the life of the project.
2005_wise_mos_WEB,"Mean Time Between Failures (MTBF) for the Science Processing MOS elements shall be greater than 1 week,  and Mean Time To Restore (MTTR)  shall be less than 1 day."
2005_wise_mos_WEB,The Mean Time Between Failures (MTBF) for real-time EOS elements shall be greater than 1 week and a Mean Time To Restore (MTTR) shall be less than 30 minutes.
2005_wise_mos_WEB,"The MOS shall provide for connectivity of all the portions of the distributed Ground Data System, including the telemetry and command system for ATLO, White Sands, JPL and BATC, and the WISE Science Data Center at IPAC/Caltech."
2005_wise_mos_WEB,"The MOS shall provide voice communication links between the JPL MSA, the BATC s/c support area, the WISE Science Data Center, and ATLO operations sites at BATC, Vandenberg launch site and White Sands TDRSS communications complex."
2005_wise_mos_WEB,"The MOS design shall accommodate the inclusion and maintenance of a flight system testbed during flight, including any training, procedures, and necessary data connectivity."
2005_wise_mos_WEB,"Following the occurrence of an flight-system anomaly, the MOS shall be capable of designing, generating, and executing the recovery response, and returning the spacecraft to nominal operations (for those failure modes that are recoverable) within 3  days."
2005_wise_mos_WEB,The MOS shall develop and maintain contingency plans and  recovery procedures for anomalies whose recovery response time would result in a significant threat to the achievement of level 1 requirements.
2005_wise_mos_WEB,The MOS shall as a goal develop and maintain validated command products for anomalies whose recovery response time would result in a significant threat to the achievement of level 1 requirements.
2005_wise_mos_WEB,The MOS shall have the capability to generate and radiate commands or sequences that respond to high-priority flight-system events or activities within 24  hours of the decision to send the commands.
2005_wise_mos_WEB,The MOS shall be able to clear all on-board fault indicators or counters by ground command.
2005_wise_mos_WEB,The MOS shall create science survey schedule requests specifying the necessary flight system maneuvers to implement the science survey 3 weeks prior to the next planned uplink opportunity.
2005_wise_mos_WEB,The MOS shall identify all instrument engineering activities for an uplink planning period and provide detailed scheduling instructions at least 10 days prior to planned execution.
2005_wise_mos_WEB,"The uplink command sequence implementation shall be a controlled process. The details shall be documented in OIAs, the WISE Operations Plan and Procedures."
2005_wise_mos_WEB,MOS shall generate sequences to control spacecraft and instrument activity.
2005_wise_mos_WEB,MOS shall maintain and uplink configuration files as necessary to respond to changes in spacecraft and instrument behavior.
2005_wise_mos_WEB,"The MOS shall be capable of updating, processing, uplinking, and tracking FSW updates and parameters."
2005_wise_mos_WEB,"The MOS shall generate an integrated timeline based on mission science survey plan, IER and spacecraft engineering requests that cover the period of a sequence under consideration. It shall identify time windows for all known science and s/c and instrument engineering activities, downlinks, guidelines and constraints for the sequence, and available resources (TDRSS)."
2005_wise_mos_WEB,"The MOS shall write and maintain a block dictionary containing all the information related to each spacecraft block. The document shall describe, as a minimum, each block in terms of its unique name, functions, parameters, composition, and sequence constraints including rules, utilization of spacecraft resources, and required support activities. Blocks can reside on the ground in the form of pre- validated sequences."
2005_wise_mos_WEB,The MOS shall generate and maintain a list of restricted commands.
2005_wise_mos_WEB,"The WISE MOS uplink system shall be capable of generating and transmititng all (real-time, restricted, sequence) commands specified in the WISE Command and Telemetry Dictionary."
2005_wise_mos_WEB,The MOS shall format commands according to the format definition in the Command and Telemetry Dictionary.
2005_wise_mos_WEB,The WISE MOS shall use the S-band Single Access Forward TDRSS channel for uplink communication with the flight-system.
2005_wise_mos_WEB,The MOS shall be capable of operating WISE with an uplink data rate consistent with the Flight Ground IRD.
2005_wise_mos_WEB,The WISE MOS Uplink system performance shall have no greater than 10^-5 Bit Error Rates (BER).
2005_wise_mos_WEB,The MOS shall design and check each sequence and each real-time command to ensure that flight rules and constraints are not violated.
2005_wise_mos_WEB,The MOS shall ensure that the maximum time between contacts with the flight- system does not exceed 3 days.
2005_wise_mos_WEB,The Sun shall never be allowed to shine into the flight system aperture shade. The dot product SHADE*SUN shall always be less than -sin(angular radius of the Sun). This applies to all operations after the cover is ejected.
2005_wise_mos_WEB,The earth shall not be allowed to shine into the flight system aperture shade. The earth avoidance angle shall be within 32 degrees off-Zenith in roll and pitch. This applies to all operations after the cover is ejected.
2005_wise_mos_WEB,The MOS shall operate the flight-system maintaining a power margin consistent with JPL D-17868.
2005_wise_mos_WEB,The MOS shall operate the WISE flight-system to maintain operational temperatures consistent with achieving the science requirements.
2005_wise_mos_WEB,The MOS shall manage the on-board mass data storage. It shall ensure that no more than 3 days of data accumulate on board at any time during the mission.
2005_wise_mos_WEB,The MOS shall ensure that adequate sequence memory is available before loading new sequences.
2005_wise_mos_WEB,The MOS shall schedule momentum dump opportunities and set momentum management thresholds.
2005_wise_mos_WEB,The MOS shall determine the ephemeris for the WISE Flight-system.
2005_wise_mos_WEB,"The MOS shall maintain on-board ephemeris information for WISE and solar system bodies to allow the flight-system to perform science operations, sun and earth avoidance and downlinks with the required pointing accuracy."
2005_wise_mos_WEB,"The MOS shall have the capability to model spacecraft pointing both as a predict, as well as a reconstruction."
2005_wise_mos_WEB,"The MOS shall expand the instrument, engineering, spacecraft sub-system and system-level activities included in sequences into commands and ground directives."
2005_wise_mos_WEB,"The MOS shall generate and make available sequence products necessary for sequence review, validation, and approval. The products shall allow the MOS teams to judge the correct implementation of a given survey plan, instrument or spacecraft engineering activity."
2005_wise_mos_WEB,The MOS shall validate all sequences and interactive real-time commands against validation criteria prior to radiation to the spacecraft. The preferred method of validation is simulation for first time or unique activities. The method of validation shall be documented in test/validation criteria prior to sequence validation.
2005_wise_mos_WEB,The MOS shall have the capability to radiate real-time commands.
2005_wise_mos_WEB,"For all real-time commands, the MOS shall plan to incorporate the necessary safeguards to prevent potentially catastrophic commands from being processed by direct input into the command  system, and develop detailed operational procedures to ensure all real-time commands receive analysis, verification, and proper approval before radiation to the spacecraft."
2005_wise_mos_WEB,"The MOS shall allow commanding of the spacecraft ""in the blind"" when the spacecraft is not in an attitude that provides downlink."
