source,reqs
2006_hgs_ird_web,The MOC shall make available all spacecraft and instrument telemetry data to the HSC.
2006_hgs_ird_web,The MOC shall make available telemetry data to the HSC as consolidated telemetry data.
2006_hgs_ird_web,The MOC shall make available telemetry data (spacecraft and instruments) to the HSC in a format from which the source telemetry packets generated on-board can be extracted.
2006_hgs_ird_web,The HSC shall request the MOC to make available consolidated telemetry data for a given operational period.
2006_hgs_ird_web,The MOC shall make available to the HSC the consolidated telemetry data separately for Event telemetry data per APID.
2006_hgs_ird_web,The MOC shall make available to the HSC the consolidated telemetry data separately for telecommand verification data per APID.
2006_hgs_ird_web,The MOC shall make available to the HSC the consolidated telemetry data separately for housekeeping telemetry data per APID.
2006_hgs_ird_web,The MOC shall make available to the HSC the consolidated telemetry data separately for spacecraft telemetry data.
2006_hgs_ird_web,The MOC shall indicate the availability of consolidated telemetry data on a time period basis.
2006_hgs_ird_web,The MOC shall push the consolidated telemetry data to the HSC.
2006_hgs_ird_web,The MOC shall make available to the HSC any sequence of any category of consolidated telemetry data from dump telemetry not later than 10 minutes after the last “bit” of this sequence has been received by the MOC.
2006_hgs_ird_web,The MOC shall make available the spacecraft orbit predicted data to the HSC.
2006_hgs_ird_web,The MOC shall notify the HSC of the availability of spacecraft predicted orbit data updates for a given operational period.
2006_hgs_ird_web,The HSC shall pull spacecraft predicted orbit data updates from the MOC.
2006_hgs_ird_web,The position and velocity of the spacecraft shall be predicted to an accuracy of not worse that 72.5 km and 1 m/s.
2006_hgs_ird_web,The MOC shall make available to the HSC the spacecraft attitude constraints algorithm (with test data) and data updates.
2006_hgs_ird_web,The MOC shall notify the HSC of the availability of spacecraft attitude constraint algorithm and data updates for a given operational period.
2006_hgs_ird_web,The HSC shall pull spacecraft attitude algorithm and data updates from the MOC.
2006_hgs_ird_web,The MOC shall make available to the HSC the spacecraft slew time and path predictor algorithm and data updates.
2006_hgs_ird_web,The MOC shall notify the HSC of the availability of spacecraft slew time and path predictor algorithm and data updates.
2006_hgs_ird_web,The HSC shall pull spacecraft slew time and path predictor algorithm and data updates from the MOC.
2006_hgs_ird_web,The MOC shall make available to the HSC the planning skeleton information for any given scheduling period.
2006_hgs_ird_web,The HSC shall poll the MOC to know of the availability of a new planning skeleton for a given scheduling period.
2006_hgs_ird_web,The HSC shall pull planning skeleton information from the MOC.
2006_hgs_ird_web,The MOC shall make available to the HSC the acceptance/ rejection status of a schedule.
2006_hgs_ird_web,The MOC shall make available to the HSC the mission timeline summary corresponding to any given operational period.
2006_hgs_ird_web,The HSC shall poll the MOC to know of the availability of a new mission timeline summary.
2006_hgs_ird_web,The HSC shall pull the new mission timeline summary from MOC.
2006_hgs_ird_web,The MOC shall make available the mission timeline summary before the uplink of the corresponding mission timeline to the spacecraft.
2006_hgs_ird_web,The MOC shall make available to the HSC the telecommand history information for any given operational period.
2006_hgs_ird_web,The telecommand history data shall include the necessary information for the HSC to be able to associate (when relevant) the telecommand to the instrument or spacecraft commanding requests in the corresponding observations schedule.
2006_hgs_ird_web,The HSC shall request the MOC to make available telecommand history data for a given operational period.
2006_hgs_ird_web,The MOC shall push the telecommand history data to the HSC.
2006_hgs_ird_web,The MOC shall make available to the HSC the telecommand history for a given operational period at the same time as the consolidated housekeeping telemetry for this period.
2006_hgs_ird_web,The MOC shall make available the spacecraft reconstituted orbit data to the HSC.
2006_hgs_ird_web,The MOC shall notify the HSC of the availability of new spacecraft reconstituted orbit data for a given operational period.
2006_hgs_ird_web,The HSC shall pull spacecraft reconstituted orbit data from the MOC.
2006_hgs_ird_web,The position and velocity of the spacecraft shall be reconstructed to an accuracy of not worse that 36.3 km and 1 m/s.
2006_hgs_ird_web,The MOC shall make available the spacecraft attitude data corresponding to a given operational period.
2006_hgs_ird_web,The HSC shall poll the MOC to know of the availability of new attitude history data for a given operational period .
2006_hgs_ird_web,The HSC shall pull attitude history data from the MOC.
2006_hgs_ird_web,The MOC shall make available the attitude history data for an OD not later than 8 hours after the actual reception by the MOC of the related telemetry packets.
2006_hgs_ird_web,The MOC shall make available to the HSC the time correlation data.
2006_hgs_ird_web,The time correlation data shall allow to correlate the spacecraft time and UTC time with a precision of better than 500 ms at any time of the spacecraft mission.
2006_hgs_ird_web,The HSC shall request the MOC to make available time correlation data for a given operational period.
2006_hgs_ird_web,The MOC shall push the  time correlation data to the HSC.
2006_hgs_ird_web,The MOC shall make available to the HSC the time correlation data for a given operational period at the same time as the spacecraft consolidated housekeeping telemetry for this period.
2006_hgs_ird_web,The MOC shall make available the instruments parameters OOL information for a given operational period.
2006_hgs_ird_web,The HSC shall request the MOC to make available OOL data for a given operational period.
2006_hgs_ird_web,The MOC shall push the OOL data to the HSC.
2006_hgs_ird_web,The MOC shall make available to the HSC the instrument parameters OOL for a given operational period at the same time as the instrument consolidated housekeeping telemetry for this period.
