source,reqs
2007_jwst_mrd_web,The International System of Units shall be used per IEEE/ASTM SI 10-2002: American National Standard for Use of the International System of Units (SI): The Modern Metric System.
2007_jwst_mrd_web,Hybrid SI/English units are permitted for engineering and manufacturing drawings.
2007_jwst_mrd_web,"Hybrid SI/standard astronomical units are permitted for Astronomer User’s Manuals, user interfaces (Graphical User Interfaces and files) consistent with the Astronomer's User Manuals, and for the following project documents:"
2007_jwst_mrd_web,Non-SI units are permitted for heritage Ground Software.
2007_jwst_mrd_web,Non-SI units are permitted in heritage hardware documentation
2007_jwst_mrd_web,The Launch Vehicle shall place the Observatory on a trajectory from which the Observatory can transfer itself to its operational orbit.
2007_jwst_mrd_web,The Observatory shall orbit the Second LaGrange Point (L2) of the Sun–Earth system.
2007_jwst_mrd_web,"The operational JWST System shall maintain the excursion of the orbit about L2 in the Z direction (defined in Figure 3-2) to less than or equal to 500,000 Km."
2007_jwst_mrd_web,"The operational JWST System shall maintain the excursion of the orbit about L2 in the Y direction (defined in Figure 3-2) to less than or equal to 800,000 Km."
2007_jwst_mrd_web,The operational JWST System shall maintain the orbit about L2 such that the Observatory does not enter an eclipse.
2007_jwst_mrd_web,"After separation from the Launch Vehicle, the Observatory shall obtain its operational orbit about L2 from the Launch Vehicle transfer orbits defined in the Application to Use Ariane (DUA) IRD (JWST-IRD-003674)."
2007_jwst_mrd_web,"The science mission lifetime, after commissioning, shall be a minimum of 5 years."
2007_jwst_mrd_web,The planned commissioning phase shall end no later than six months after launch.
2007_jwst_mrd_web,The operational JWST system shall deliver to the S&OC a minimum of 92.5% of all real-time telemetry.
2007_jwst_mrd_web,The operational JWST system shall archive a minimum of 97% of all data recorded on the Observatory.
2007_jwst_mrd_web,"The observatory system shall reach the sensitivity performance levels shown in the following table when observing a position on the celestial sphere that exhibits 1.2 times the minimum Zodiacal light background power as calculated in the NIRCam Sensitivity Calculations (JWST-CALC-003894), NIRSpec Sensitivity Calculations (JWST-CALC-003895), MIRI Sensitivity Calculations, (JWST-CALC-003896), and FGS-TF Sensitivity Calculations (JWST-CALC-003897)."
2007_jwst_mrd_web,"The contamination control of all Observatory components during fabrication, assembly, integration, and test shall be in accordance with the JWST Observatory Contamination Control Plan (JWST-PLAN-002028)."
2007_jwst_mrd_web,The JWST System shall image the OTE primary mirror to establish the optical alignment of the OTE to the NIRCam when commanded.
2007_jwst_mrd_web,"During a normal operations contact, the Observatory shall be capable of downlinking, and the Ground Segment capable of receiving 229 Gigabits of science data, which was compressed from 458 Gigabits."
2007_jwst_mrd_web,The operational JWST System shall have at least one two-way communication contact between the Observatory and Ground Segment in a 24 hour period.
2007_jwst_mrd_web,The operational JWST System shall be in continuous two-way communication from separation from the upper stage of the launch vehicle until the completion of Observatory Primary Mirror Phasing activities.
2007_jwst_mrd_web,The operational JWST System shall be in downlink communication from launch vehicle payload fairing separation until separation from the upper stage of the launch vehicle.
2007_jwst_mrd_web,"The Observatory and Ground Segment combined command bit error rate (BER) shall be less than 1E-7 after applying physical layer decoding, not including retransmission by higher layers."
2007_jwst_mrd_web,"The Observatory and Ground Segment combined telemetry BER for Ka-band and S- band downlink shall be less than 1E-7, after Reed-Solomon decoding corrections on the ground."
