source,reqs
2008_earthcare_web,The instruments shall be autonomous with respect to their internal operations.
2008_earthcare_web,The instruments shall be operated via the (packet utilisation) services defined in ND-33 and further detailed in AD-10 while they shall provide their data in standard CCSDS packets in accordance to ND- 21.
2008_earthcare_web,The housekeeping and science packets – and data if necessary - from all instruments shall be time stamped in accordance to mechanism defined under section 6.6.
2008_earthcare_web,"After instrument switch-on (IOV phase excepted), recovery from safe mode and after over-illumination by the sun (within the limits specified per instrument), nominal operational performance shall be achieved/resumed within a period of less than 1 day [TBC]."
2008_earthcare_web,All instrument mode changes (including sudden removal of primary power) shall be possible at any point in time without any damage or performance degradation at sub-sequent switch-on.
2008_earthcare_web,"All instruments shall be considered as non-essential loads. In case of EPS power contingency, they shall be switched off in accordance to EPS-GE-4; EPS warnings (via DHS or TBC DNEL) will be supplied to initiate a controlled instrument switch off."
2008_earthcare_web,Each instrument shall provide dedicated Instrument Packet Store(s) as part of the DHS on-board data storage and nominal transmission via High Rate Telemetry Data Downlink (X-band)
2008_earthcare_web,"Each instrument shall provide a common Ancillary/HK Satellite Packet Store as part of the DHS on-board data storage and nominal transmission via TTC Data Downlink (S-band) and, in parallel, upto a complete replica via the High Rate Telemetry Data Downlink (X-band)"
2008_earthcare_web,"The instrument science data stream shall include (in a dedicated ancillary field), a replica of the housekeeping information sent by S-band. The TM structure, at word level, shall be identical in housekeeping and science stream and the same encoding shall be used (analogue or digital)."
2008_earthcare_web,"Each instrument shall interface the spacecraft with a redundant set of electrical interfaces (i.e. all the interfaces used for powering, commanding, synchronizing, monitoring the instrument as well as for transferring its instrument science data) and shall be able to operate independently from either set."
2008_earthcare_web,"In case the instrument will be in charge of selecting which interface to use, the selection scheme shall be deterministic vis-à-vis the status of the nom./red. interfaces. In addition, such interface selected/used by the instrument shall be duly reported in the instrument telemetry."
2008_earthcare_web,Each instrument shall be nominally operated in cold redundancy. Hot redundancy from interface point-of- view shall be possible to an extent subject to Agency’s approval.
2008_earthcare_web,"Each instrument shall be designed in order to avoid any instrument failure propagation to the platform either by mechanical, thermal, electrical or electromagnetic effect. Instrument software failures shall also be isolated at Instrument level."
2008_earthcare_web,Each instrument shall be designed to avoid any failure propagation from one electrical interface to another one.
2008_earthcare_web,"Each instrument shall be designed to accept, from platform level, separate sources to be powered during instrument nominal operational modes and to power instrument (survival) heaters during non-operative and contingency situations."
2008_earthcare_web,Each instrument shall be designed to achieve full functionality and performance independently of the operational status of the other EarthCARE instruments.
2008_earthcare_web,Each instrument shall have at least one alignment cube to reference to satellite AOCS and to support instrument co-registration.
