source,reqs
2011_dot_WEB,The Core System shall be configured to a geographic boundary of its services for System Users.
2011_dot_WEB,The Core System subsystems shall send status to the Service Monitor Subsystem.
2011_dot_WEB,The Core System subsystems shall transition to degraded mode upon a failure.
2011_dot_WEB,The Core System subsystems shall accept requests from an authorized System Operator to transition the Core System subsystem's mode.
2011_dot_WEB,The Core System subsystems shall accept requests from an authorized System Operator to transition the Core System subsystem's state.
2011_dot_WEB,The Core System shall validate its configuration with interfacing Core Systems.
2011_dot_WEB,The Core System shall accept error messages from System Users.
2011_dot_WEB,The Core System shall validate trust credentials with System Users.
2011_dot_WEB,The Core System shall provide a history of System User's accesses to the Core System.
2011_dot_WEB,The Core System shall provide a list of available services to System Users.
2011_dot_WEB,The Core System shall identify misbehavior with System Users.
2011_dot_WEB,The Core System shall provide a backup capability with interfacing Core Systems.
2011_dot_WEB,The Core System shall provide data forwarding capability to System Users.
2011_dot_WEB,The Core System shall provide a secure storage capability to protect data.
2011_dot_WEB,The Core System shall accept System User's requests to receive data.
2011_dot_WEB,The Core System shall maintain a catalog of data providers.
2011_dot_WEB,The Core System shall accept requests to publish data from System Users.
2011_dot_WEB,The Core System shall validate user permissions with System Users.
2011_dot_WEB,The Core System shall manage information on data publishers.
2011_dot_WEB,The Core System shall provide an interface to an authorized System Operator to configure the Publisher/Subscriber data configuration.
2011_dot_WEB,The Core System shall provide an interface to an authorized System Operator to configure the source-to- point data configuration.
2011_dot_WEB,The Core System subsystems shall send state information to the Service Monitor Subsystem.
2011_dot_WEB,The Core System subsystems shall accept time of day from the Time Subsystem
2011_dot_WEB,The Core System shall receive misbehavior reports from System Users.
2011_dot_WEB,The Core System shall accept requests from an authorized System Operator to configure correlation processing.
2011_dot_WEB,The Core System shall send reports to an authorized System Operator identifying misbehavior of the Core System.
2011_dot_WEB,The Core System shall provide message distribution based on geographical location.
2011_dot_WEB,The Core System shall manage status of the Core System.
2011_dot_WEB,The Core System shall provide a list of available Core System services to other Core Systems.
2011_dot_WEB,The Core System shall manage the health of the Core System.
2011_dot_WEB,The Core System shall manage the Core System software configuration.
2011_dot_WEB,The Core System shall manage Core System hardware configuration.
2011_dot_WEB,The Core System shall manage transitions between states of the Core System.
2011_dot_WEB,The Core System shall receive time from an external source.
2011_dot_WEB,The Core System shall synchronize time to the Core System subsystems.
2011_dot_WEB,The Core System shall validate user permissions with Core System Personnel.
2011_dot_WEB,The Core System shall validate the System User's certificate(s).
2011_dot_WEB,The Core System shall validate messages from System Users.
2011_dot_WEB,The Core System shall manage IEEE 1609.2 Certificate Authority functions for System Users.
2011_dot_WEB,The Core System shall manage X.509 Certificate Authority functions for System Users.
2011_dot_WEB,The Core System shall provide an interface to an authorized System Operator to manage X.509 Certificate Authority functions.
2011_dot_WEB,The Core System shall provide an interface to an authorized System Operator to manage IEEE 1609.2 Certificate Authority functions.
2011_dot_WEB,The Core System shall provide an interface to an authorized System Operator to manage Certificate Authority (CA) locations.
2011_dot_WEB,The Core System shall manage 1609.2 Certificates to System Users.
2011_dot_WEB,The Core System shall synchronize status from other Core Systems it interfaces with every 5 minutes (TBD) to check availability.
2011_dot_WEB,The Core System subsystems shall send a message within 30 seconds[TBD] to all interfacing Core Systems upon any state change.
2011_dot_WEB,The Core System shall buffer forwarding data with a latency no greater than 500ms[TBD].
2011_dot_WEB,The Core System shall process up to [TBD] misbehavior reports per minute from System Users.
2011_dot_WEB,The Core System shall perform the misbehavior report correlation processing [TBD] times per hour.
2011_dot_WEB,The Core System geocast service shall support up to [TBD] geocast sessions at any given time.
2011_dot_WEB,The Core System geocast service shall support up to [TBD] megabits per second (Mbps) per geocast stream.
2011_dot_WEB,The Core System shall notify an authorized System Operator within 30 seconds upon a failure.
2011_dot_WEB,The time of day shall not drift (lagging or leading in time) from the external time source standard time reference by more than [TBD] 1 second per year.
2011_dot_WEB,The Core System shall synchronize the time of day with all the Core Subsystems every 10ms (TBD).
2011_dot_WEB,"Upon request, the Core System shall provide Core System Personnel registration information to other Core System subsystems with [TBD] seconds."
2011_dot_WEB,"Upon request, the Core System shall provide Core System Personnel user permissions information to other Core System subsystems with [TBD] seconds."
2011_dot_WEB,"Upon request from an authorized System Operator, the Core System shall provide System User registration information to other Core System subsystems within [TBD] seconds."
2011_dot_WEB,"Upon request from an authorized System Operator, the Core System shall provide System User permissions information to other Core System subsystems within [TBD] seconds."
2011_dot_WEB,The Core System shall process up to [TBD] 1609.2 Certificate Requests per second from System Users.
2011_dot_WEB,The Core System shall process up to [TBD] X.509 Certificate Requests per minute from System Users.
2011_dot_WEB,The Core System shall generate 1609.2 Certificate Revocation Lists (CRL) periodically at [TBD] rate.
2011_dot_WEB,The Core System shall generate X.509 Certificate Revocation Lists (CRL) periodically at [TBD] rate.
2011_dot_WEB,The Core System's subsystems shall periodically send their operational state to the Service Monitor Subsystem every 500ms. Note: this also represents a heartbeat.
2011_dot_WEB,The Core System shall interface with other Core Systems.
2011_dot_WEB,The Core System shall interface to System Users for data distribution.
2011_dot_WEB,The Core System shall interface to System Users for misbehavior management.
2011_dot_WEB,The Core System shall interface to System Users to provide status information.
2011_dot_WEB,The Core System shall interface to a real-time external time source to provide time synchronization with the Core System.
2011_dot_WEB,The Core System shall interface to an authorized System Operator Administrator to support user permission configuration.
2011_dot_WEB,The Core System shall interface to System Users.
2011_dot_WEB,The Core System shall interface to System Users for 1609.2 Certificates.
2011_dot_WEB,The Core System shall interface to System Users for X.509 Certificates.
2011_dot_WEB,The Core System shall provide internal interfaces to decoupled Core System services for a distributed system.
2011_dot_WEB,The Core System shall support an Internet interface to connect to System Users.
2011_dot_WEB,The Core System shall maintain a knowledge base of interfacing Core Systems.
2011_dot_WEB,The Core System shall maintain a registry of publisher information.
2011_dot_WEB,The Core System shall maintain a registry of data requester information.
2011_dot_WEB,The Core System shall maintain a registry of misbehavior information.
2011_dot_WEB,The Core System shall store Core System subsystems status.
2011_dot_WEB,The Core System shall store Core System subsystems states.
2011_dot_WEB,The Core System shall store interfacing Core System(s) status.
2011_dot_WEB,The Core System shall store System User's permission information.
2011_dot_WEB,The Core System shall store System User's Certificate information.
2011_dot_WEB,The Core System shall store Certificate Revocation Lists (CRL).
2011_dot_WEB,The Core System shall be enclosed in a secure facility for authorized personnel only.
2011_dot_WEB,The Core System shall validate user’s authorization upon entering the facility.
2011_dot_WEB,The Core System's facility shall be protected by physical access controls.
2011_dot_WEB,The Core System's facility shall log physical access attempts.
2011_dot_WEB,The Core System shall operate in an environmentally safe facility.
2011_dot_WEB,"The Core System's facility shall operate when exposed to a relative humidity up to 95%, including condensation."
2011_dot_WEB,The Core System's facility shall operate in ambient temperatures from 0*C (32*F) to 40*C (104*F).
2011_dot_WEB,The facility housing the Core System's equipment shall have an air-conditioning system capable of providing a relative humidity of 45-50%.
2011_dot_WEB,The facility housing the Core System's equipment shall not vary the relative humidity more than 10% per hour of operation.
2011_dot_WEB,The facility housing the Core System's equipment shall have heat and smoke detectors that meet or exceed all local fire code regulations.
2011_dot_WEB,The Core System shall operate in case of power failure.
2011_dot_WEB,The Core System shall provide sufficient backup power capacity capable of supporting the Core System up to 4 hours [TBD].
2011_dot_WEB,The facility housing the Core System's equipment shall allow for the network equipment racks to be electrically grounded.
2011_dot_WEB,The Core System shall be available in normal operational state 99.5% of the time (an average of less than one hour per week or 1.83 days per year).
2011_dot_WEB,The Core System's Mean Time To Repair (MTTR) shall not exceed 3.0 hours [TBD].
2011_dot_WEB,The Core System Mean Time Between Failures (MTBF) shall be greater than 1500 hours (62.5 days) [TBD].
2011_dot_WEB,The Core System shall transition to Training State when commanded by an authorized System Operator.
2011_dot_WEB,"During Training State, each Core System subsystems shall be allowed to display real-time log messages."
2011_dot_WEB,"During Training State, each Core System subsystems shall be allowed to provide debug messages."
2011_dot_WEB,"During Training State, the Core2Core Subsystem shall be disabled."
2011_dot_WEB,The Core System shall conform to the privacy principles as defined in the VII Privacy Policies Framework regarding the use of personal information.
2011_dot_WEB,"The IEEE 1609.x family of standards (including 1609.1, 1609.2, 1609.3 and 1609.4) shall serve as the interface standards for 5.9GHz DSRC."
2011_dot_WEB,The X.509 certificates shall provide the basis for Core and System User non-DSRC certificates.
2011_dot_WEB,The SAE 2735 standard shall serve as the basis for messages exchanges from Mobile Users.
2011_dot_WEB,The public sector transportation agencies shall use existing personnel to operate the Core System. Note: It was a consistent theme from public sector personnel that most existing public sector transportation agencies cannot afford additional personnel for the Core System.
2011_dot_WEB,"When a Core System service requires geo-referencing, the same geo-referencing capabilities shall be available to all System Users. Note: otherwise it will be difficult or impossible to coordinate location references, jeopardizing safety and mobility applications that depend on accurate positioning data."
2011_dot_WEB,"Service performance characteristics of the Core System shall be constrained by the communications technology with which users connect to Core System. Note: minimum performance standards can be set for usage by the Core System services, but is constrained by what is technically available at the time. Unless DSRC field infrastructure is deployed at a pace sufficient to keep up with Core System and Mobile User deployments, usage of existing communications infrastructure, particularly 3G and 4G cellular, may be required to deliver services."
2011_dot_WEB,External interfaces on Core System shall be defined as open standards.
2011_dot_WEB,IPv6 shall provide the basis for communications between System Users not communicating with DSRC. Note: IPv4 is being phased out and will not be supported.
2011_dot_WEB,The Core2Core Subsystem shall identify the geographic information describing the boundaries that it will service.
2011_dot_WEB,The Core2Core Subsystem shall identify the services that it will offer.
2011_dot_WEB,The Core2Core Subsystem shall provide information describing the communications that the Core System provides.
2011_dot_WEB,The Core2Core Subsystem shall accept a request from System Users for the geographic coverage area over which the Core System is servicing.
2011_dot_WEB,The Core2Core Subsystem shall send a response to a System User's request for the geographic coverage area over which the Core System is servicing.
2011_dot_WEB,The Core2Core Subsystems shall send status to the Service Monitor Subsystem.
2011_dot_WEB,The Core2Core Subsystem shall accept the time of day from the Time Subsystem.
2011_dot_WEB,The Core2Core Subsystem shall transition to degraded mode of operations when a hardware failure within the Core2Core Subsystem is detected.
2011_dot_WEB,The Core2Core Subsystem shall transition to degraded mode of operations when a software failure within the Core2Core Subsystem is detected.
2011_dot_WEB,The Core2Core Subsystem shall transition to the requested mode of operation when commanded by an authorized System Operator.
2011_dot_WEB,The Core2Core Subsystem shall transition to the requested state when commanded by an authorized System Operator.
2011_dot_WEB,The Core2Core Subsystem shall compare Software versions from its local Service Monitor to its interfacing Core Systems for compatibility.
