source,reqs
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for scientific consensus on performance specification of the operational system.
2012_d51_web,Development of the SICCI system shall comply with all high level ESA CCI system requirements.
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for availability of input data from EO archives.
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for quality of input data from EO archives.
2012_d51_web,"Development of the SICCI system shall be undertaken with apt consideration for availability of associated metadata, cal/val data and documentation."
2012_d51_web,"Development of the SICCI system shall be undertaken with apt consideration for quality of associated metadata, cal/val data and documentation."
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for compatibility of data from different missions.
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for compatibility of data from different sensors.
2012_d51_web,"Development of the SICCI system shall be undertaken with apt consideration for trade-off between cost, complexity and impact of new algorithms to be developed and validated during the project."
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for advance planning for data from new missions to be integrated during the project.
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for end-to-end throughput of ECV production systems.
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for re-use of existing capabilities within Europe.
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for compliance of ESA standards.
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for availability of external validation data.
2012_d51_web,Development of the SICCI system shall be undertaken with apt consideration for avoidance of duplication of activities covered by existing operational projects.
2012_d51_web,The SICCI system shall be cost effective.
2012_d51_web,The pan-ECV systems must be cost effective as a whole
2012_d51_web,Full advantage shall be taken of the latest developments in computing architectures in the development of the system.
2012_d51_web,Full advantage shall be taken of the latest developments in data management in development of the system.
2012_d51_web,Full advantage shall be taken of the latest developments in communications technology in development of the system.
2012_d51_web,The SICCI system development should include cooperation with other consortia producing ECV products.
2012_d51_web,The SICCI system shall have provision for future data set updates.
2012_d51_web,The SICCI system shall allow algorithm change.
2012_d51_web,The SICCI system shall have an archiving facility.
2012_d51_web,"The SICCI system shall be designed to allow amenable interfacing to a higher level system responsible for pan-ECV collaboration, namely the Central Information System."
2012_d51_web,The design of the system shall be as similar as possible to external systems associated with parallel ECV projects
2012_d51_web,The SICCI system shall be designed to be data driven wherever possible
2012_d51_web,The design of the system shall incorporate proven and scalable Off The Shelf (OTS) systems where possible
2012_d51_web,The design of the system shall identify particularly critical components of the system.
2012_d51_web,The SICCI system shall be provisioned with increased redundancy for identified critical components.
