source,reqs
2012_marcopolo_WEB,The spacecraft lifetime shall be 8 years in space and 2 years for pre-launch ground activities (AIT/AIV/storage) in a controlled environment and all space-based elements shall be designed and sized for this duration.
2012_marcopolo_WEB,"The space segment shall be sized for the mission scenario which is most demanding (i.e. worst case ?V, launch mass, thermal and sun illumination environment) as defined in [RD1], covering the full launch window as defined in [AD13]/R-DV-4."
2012_marcopolo_WEB,"In this assessment study, the mission design shall follow the margin philosophy defined in [AD13]. The margin philosophy and margin depletion scheme will be firmly defined at a later stage."
2012_marcopolo_WEB,The space segment shall cope with the integration procedures on a Soyuz-Fregat 2-1 b from CSG in Kourou.
2012_marcopolo_WEB,The space segment shall be composed of 2 modules: Sampling spacecraft + Earth Re-entry Capsule (ERC).
2012_marcopolo_WEB,"All spacecraft shall be designed according to [RD4], [RD5], [RD6] and [RD7] unless otherwise specified in this document."
2012_marcopolo_WEB,"The spacecraft system shall accommodate all necessary equipments and sub- systems, including mass and volume margins as defined in [AD13] and compatible with launch windows as defined in [RD1]."
2012_marcopolo_WEB,"The maximum spacecraft dry mass, respectively wet mass shall be TBD kg, TBD kg."
2012_marcopolo_WEB,The sampling spacecraft shall accommodate the science payload and enable fulfilling all primary science measurements.
2012_marcopolo_WEB,A design-to-cost and risk minimization mission design approach shall be followed.
2012_marcopolo_WEB,The sampling spacecraft shall accommodate and transport the ERC throughout the whole mission until release upon arrival at Earth.
2012_marcopolo_WEB,The sampling spacecraft should take images of the separated ERC after release.
2012_marcopolo_WEB,The design of the sampling spacecraft and ERC shall be robust against damage due to debris and dust encountered during all proximity operations.
2012_marcopolo_WEB,The S/C shall be designed to withstand the predicted micro-meteorite environment throughout the mission with a probability larger than 0.998.
2012_marcopolo_WEB,"The main spacecraft shall allow for commissioning and calibration of the orbital science instruments during the transfer to the NEA, including during fly-bys."
2012_marcopolo_WEB,"During the touch and go sampling operations, the sampling spacecraft shall approach the surface with a maximum horizontal velocity of 5 cm.s-1 (TBC) at touchdown."
2012_marcopolo_WEB,"During the touch and go sampling operations, the sampling spacecraft shall approach the surface with a maximum vertical velocity of 10 cm.s-1 (TBC) at touchdown."
2012_marcopolo_WEB,The sampling spacecraft shall have a maximum attitude of +/-10o with respect to the local surface at touchdown (TBC).
