source,reqs
2012_sst_srd_WEB,"The SST CCI system shall provide: L2P SST- skin and SST-20cm, for the sensors of ATSR series, AVHRR GAC series, AVHRR Metop series at full global resolution, SLSTR, VIIRS; L2P SST-subskin and SST-20cm, for the sensors of AMSRE-E, TMI, AMSR-2, WindSat SST."
2012_sst_srd_WEB,The SST CCI system shall provide daily (day and night separate) 0.05 deg L3C SST-skin (or sub-skin) and time-adjusted SST-20cm for all sensors in constellation
2012_sst_srd_WEB,"The SST CCI system shall provide L3U 0.05 deg SST-skin, time-adjusted SST-20cm and clear-sky brightness temperatures for ATSRs and SLSTR"
2012_sst_srd_WEB,"The SST CCI system shall provide daily L4 satellite-only analyses at 0.05 deg of SST-skin, SST-20cm and SST-foundation for both the full- archive IR analysis (AVHRR GAC, AVHRR Metop, ATSRs, SLSTR, VIIRS) and for the best- coverage analysis (all sensors including PMWs), with enhanced error covariance information."
2012_sst_srd_WEB,The SST CCI system shall provide diurnally resolved (3 hourly) L4 analyses of time-adjusted SST-skin and SST-20cm
2012_sst_srd_WEB,The SST CCI system shall format and name its output products according to the PSD (which may evolve over time).
2012_sst_srd_WEB,The SST CCI system shall document the degree of compliance of its outputs with features re- quired by the URD. The URD is maintained by the development team. The system shall support the collection of new requirements and feedback by users.
2012_sst_srd_WEB,The SST CCI system shall include (A)ATSR L1b products since 1991.
2012_sst_srd_WEB,The SST CCI system shall include AVHRR GAC L1b products since 1981.
2012_sst_srd_WEB,The SST CCI system shall include full resolution L1B AVHRR METOP products since 2006.
2012_sst_srd_WEB,The SST CCI system shall include PMW L2 and optionally L1 products since 1999.
2012_sst_srd_WEB,The SST CCI system shall include SLSTR L1b products starting from the beginning of the operational phase of the Sentinel 3 mission.
2012_sst_srd_WEB,The SST CCI system shall include VIIRS L1b products starting from the beginning of the operational phase of the mission.
2012_sst_srd_WEB,The SST CCI system shall optionally subset SLSTR L1B inputs to the resolution and channels used for SST CCI and store these subsets to save space.
2012_sst_srd_WEB,The SST CCI system shall optionally subset VIIRS L1B inputs to the resolution and channels used for SST CCI and store these subsets to save space.
2012_sst_srd_WEB,The SST CCI system shall include auxiliary data required for processing as specified in the DARD. Note that the DARD can be expected to be updated for Phase 2. The system has to adapt to such updates. Example: For short-delay mode processing operational or forecast NWP data will be required in addition to ERA-interim.
2012_sst_srd_WEB,The SST CCI system shall include validation datasets as specified in the DARD. Note that the DARD can be expected to be up- dated for Phase 2. The system has to adapt to such updates.
2012_sst_srd_WEB,"The SST CCI system shall have an interface to ingest its input data. Depending on how the data are accessed or provided, this may include the use of interfaces of data providers."
2012_sst_srd_WEB,"The SST CCI system shall preserve its output products specified in the PSD. For the prototype (long-term time series) these are the L3U ((A)ATSR), L2P (AVHRR), and analysis (L4) output products."
2012_sst_srd_WEB,"The SST CCI system shall store its inputs and outputs in a structured way, e.g. by archiving rules using type, version, year, month, day."
2012_sst_srd_WEB,The SST CCI system shall ingest new versions of its input data to replace the previous version. It shall provide some overlap in time to continue the online extension of the former version of the output until the new version is completely reprocessed.
2012_sst_srd_WEB,The SST CCI system shall reprocess a new version of its outputs after ingesting new versions of its input data.
2012_sst_srd_WEB,The SST CCI system shall be able to store several versions of its output product. At least one version shall be consistent and complete at any given time.
2012_sst_srd_WEB,The SST CCI system shall ensure that all validated and released CDRs are preserved with long-term stewardship.
2012_sst_srd_WEB,The SST CCI system shall perform SST retrieval by (a) processor(s) that implement(s) the algorithms specified in the SST ATBD. The ATBD is maintained by the development team. Incremental versions are provided when the system is frozen for a new CDR version.
2012_sst_srd_WEB,The SST CCI system shall perform error and uncertainty estimation by (a) processor(s) that implement(s) the algorithms specified in the SST ATBD.
2012_sst_srd_WEB,The SST CCI system shall perform level 3 projection and compositing by a processor that implements the algorithm specified in the SST ATBD.
2012_sst_srd_WEB,The SST CCI system shall perform sensor merging to generate L4 analysis products by a processor that implements the algorithm specified in the SST ATBD.
2012_sst_srd_WEB,"The SST CCI system with its processing chain shall generate the SST output products specified in the PSD [AD 5], including their specified temporal and spatial resolution, accuracy and other features. The PSD is maintained by the development team. Incremental versions are provided when the system is frozen for a new CDR version. Note: See requirement SST-SR-1365 on system level documentation in section 3.2.5 below"
2012_sst_srd_WEB,The SST CCI system shall quality-check its outputs for formal errors and invalid content. It shall generate quality reports for single products and as a summary.
2012_sst_srd_WEB,The SST CCI system shall systematically perform matchup extraction for its output products against in-situ and reference validation datasets and generate validation reports and reference statistics.
2012_sst_srd_WEB,The SST CCI system shall systematically perform time series generation from its output products and generate trend reports and temporal statistics.
2012_sst_srd_WEB,The SST CCI system shall support versioning of processors. This includes the parameterisation. The versions shall be under configuration control. Note: The algorithms required by the ATBD will change over time. The system has to be able to adapt to such changes.
2012_sst_srd_WEB,The SST CCI system shall support the concurrent use of processor versions for different requests. The versions shall co-exist in the system.
2012_sst_srd_WEB,"The SST CCI system shall provide a processor framework to allow for different implementations (i.e. implementation language, calling conventions, data access) of processors to be integrated into the system."
2012_sst_srd_WEB,The SST CCI system and its processor framework shall at least support the integration of executables as processors (much of the prototype is fortran and python). Dependent on algorithm implementation and selection (which may change over time (Java for level 3 in the prototype) other interfaces shall be supported. Note: see requirement SST-SR-1295 on proces- sor documentation in section 3.2.5 below
2012_sst_srd_WEB,"The SST CCI system shall orchestrate the processors to process inputs in their respective processing chain. The types of chains shown in section 2.7.3 Processing chain shall be orchestrated, but with the respective SST Phase 2 processors and workflows, The orchestration may change."
2012_sst_srd_WEB,"The SST CCI system shall orchestrate the production workflow for bulk reprocessing. It shall do so in chunks of selectable size, e.g. in months of input data."
2012_sst_srd_WEB,The SST CCI system shall ingest new input data to extend the time series for its input products.
2012_sst_srd_WEB,"The SST CCI system shall ingest new auxiliary data required for processing. Note: The auxiliary data required by the DARD may change for different algorithms or versions over time. The system has to be able to adapt to such changes, e.g. by versioning auxiliary data.. Example: For short-delay mode processing operational or forecast NWP data will be required in addition to ERA-interim."
2012_sst_srd_WEB,"The SST CCI system shall ingest new validation data to keep track with new input data that extends the time series. Note: The validation data required by the DARD may change over time. The system has to be able to adapt to such changes, e.g. by versioning validation data."
2012_sst_srd_WEB,The SST CCI system shall continuously and automatically process new available input data in a data-driven way with the current operational processing chain version(s).
2012_sst_srd_WEB,"The SST CCI system shall process newly ingested data only after all required high quality inputs (e.g. ancillary data, if used for processing) are available."
2012_sst_srd_WEB,The SST CCI system shall extend the CDR by the newly processed outputs.
2012_sst_srd_WEB,"The SST CCI system shall have an operator that initiates, monitors and controls production"
