source,reqs
2012_stequest_mrd_web,The spacecraft shall be compatible with a launch on Soyuz Fregat from Kourou. Note: No backup launcher/launch site is foreseen within the M3 missions.
2012_stequest_mrd_web,"The mission shall be compatible with a launch date in 2022 (study baseline), with a launch in 2024 as study backup . Note: The M3 mission is intended as a backup candidate for the 2022 launch slot, depending on JUICE schedule. Although in the science programme the baseline launch slot for M3 is 2024, all current study planning should remain compatible with a 2022 launch. The final decision on the nominal launch date will be made following JUICE mission adoption."
2012_stequest_mrd_web,The operational orbit shall be reached with direct insertion. Note: insertion correction manoeuvres are allowed.
2012_stequest_mrd_web,The gravity-gradient at perigee shall not be larger than 2.5 x 10-6 s-2 after LEOP.
2012_stequest_mrd_web,The mission phases shall be defined as follows:
2012_stequest_mrd_web,Pre-launch s/c state shall support vacuum maintenance for instruments.
2012_stequest_mrd_web,"The spacecraft systems shall be compatible with a shelf lifetime of 2 years. Note: In case of launch delays, the dry spacecraft will be stored in an appropriate clean-room."
2012_stequest_mrd_web,"During launch and until a safe attitude is acquired, all payload systems shall be switched off with the exception of vacuum systems and the spacecraft in a minimal power stage using s/c batteries."
2012_stequest_mrd_web,LEOP shall last no longer than 3 days.
2012_stequest_mrd_web,"Spacecraft Science commissioning phase (2.2) shall last no longer than 6 (TBC) months. Note: during science commissioning phase, the spacecraft shall be fully operational following the operational commissioning running in parallel for the first month max."
2012_stequest_mrd_web,Consumables shall be calculated for 6 years.
2012_stequest_mrd_web,Spacecraft operational commissioning phase (2.1) shall last no longer than 1 month.
2012_stequest_mrd_web,"Nominal operations phase shall last at least 4.5 years. Note: for the purpose of SR-OP-01, nominal performance levels shall already be reached in science commissioning phase"
2012_stequest_mrd_web,"During nominal operations phase, the s/c shall fulfil all science performance requirements in section 5. Note,: does not apply during AOCS/mode transitioning operations."
2012_stequest_mrd_web,Extended operations shall start at 5 years from launch.
2012_stequest_mrd_web,"Design and operations of the space segment shall comply with the rules and procedures put forth in [AD 10] with the exact measures towards compliance to be traded and subsequently agreed upon. Note: Currently, only active, controlled de-orbit is believed to fulfil the requirements"
2012_stequest_mrd_web,Consumables for de-orbiting shall be calculated for the worst case required delta-V within Phase 4 with margins according to R-MISD-070.
2012_stequest_mrd_web,The mission shall be designed for a lifetime of 5 years.
2012_stequest_mrd_web,The mission shall be designed for an extended lifetime of 6 years total lifetime.
2012_stequest_mrd_web,"The spacecraft shall distinguish between nominal modes for science operations and manoeuvring/transitional modes. Note: Definitions for nominal modes shall be defined by the contractor. E.g., two main nominal modes can be foreseen: perigee mode (below 3000km); apogee mode (remainder of orbit, except transitional modes)."
2012_stequest_mrd_web,"During nominal modes, no spacecraft re-orientations and/or orbit maintenance manoeuvres shall be performed."
2012_stequest_mrd_web,Manoeuvring/transitional modes shall not last longer than 60 min (TBC) per orbit.
