source,reqs
2013_echo_mrd_WEB,"The EChO S/C shall be compatible with a Soyuz Fregat-MT launch from Kourou, French Guiana."
2013_echo_mrd_WEB,"The EChO mission shall be compatible with a launch date in 2022 (study baseline), with a launch in 2024 as study back-up."
2013_echo_mrd_WEB,The baseline injection strategy shall be to place the EChO S/C in an eclipse-free (Earth and Moon) direct transfer trajectory to the Sun-Earth L2 point.
2013_echo_mrd_WEB,"The science operations orbit shall be an eclipse-free (Earth and Moon) orbit around the Sun-Earth L2 point, with an amplitude no larger than 1.5 million km in all directions, restricting the Sun-S/C-Earth angle to ?45 degrees."
2013_echo_mrd_WEB,"The launch window shall ensure that between fairing jettisoning and S/C– LV separation, the Sun does not remain above the PLM (i.e. in the +ZEChO hemisphere) for more than 10 minutes"
2013_echo_mrd_WEB,"The launch window shall ensure that between fairing jettisoning and S/C– LV separation, the Sun does not remain in the exclusion angles defined in R-PERF-030 for more than 25 minutes"
2013_echo_mrd_WEB,"The LEOP phase shall be from launch to the end of the 1st manoeuvre for launcher dispersion correction, occurring no later than 2 days after the LV – S/C separation."
2013_echo_mrd_WEB,"From LV separation until Sun acquisition, the S/C shall be in a power mode using on-board batteries with all instruments switched off."
2013_echo_mrd_WEB,The S/C shall autonomously detect separation from the LV.
2013_echo_mrd_WEB,"After separation from the LV, the S/C shall autonomously activate one of its transmitting channels and its 2 receiving channels to allow the ESA ground station network to establish the first contact."
2013_echo_mrd_WEB,The transfer phase shall be from the end of LEOP to the insertion into the science operations orbit as defined in MR-MIS-040.
2013_echo_mrd_WEB,"The commissioning phase can be started during the transfer phase, and shall be completed within 3 months of the LV – S/C separation."
2013_echo_mrd_WEB,The instrument performance verification and science demonstration phase shall be completed within 6 months of the LV – S/C separation.
2013_echo_mrd_WEB,The LEOP and transfer phases shall be completed within 3 months of the LV – S/C separation.
2013_echo_mrd_WEB,"During the commissioning phase, check-out of the spacecraft functions and verification of all subsystems’ performances shall be performed."
2013_echo_mrd_WEB,"During the instrument performance verification and science demonstration phase, check-out and verification of the science instrument’s performance shall be performed."
2013_echo_mrd_WEB,The nominal science operations phase shall start from the end of the instrument performance verification and science demonstration phase.
2013_echo_mrd_WEB,The extended science operations phase shall start from the end of the nominal science operation phase.
2013_echo_mrd_WEB,"The post operations phase shall start from the end of the extended science operations phase and last for 2 years (TBC). In the case that there is no extended science operations phase, the post operations phase shall start at the end of the nominal science operations phases."
2013_echo_mrd_WEB,The decommissioning phase shall ensure compliance with the Space Debris Mitigation for Agency Projects [AD10].
2013_echo_mrd_WEB,"The nominal mission lifetime, from LV (upper-stage) separation to the end of the nominal science operations phase, shall have a duration of 4 years."
2013_echo_mrd_WEB,"The extended mission lifetime (the extended science operations phase), shall have a duration of at least 2 year."
2013_echo_mrd_WEB,"During the nominal mission lifetime, all science performance requirements shall be fully met and include all specified margins."
2013_echo_mrd_WEB,"During the extended mission lifetime, all science performance requirements should be fully met, without margins."
2013_echo_mrd_WEB,All S/C consumables and radiation-sensitive units shall be sized to last from launch till the end of the extended mission lifetime.
2013_echo_mrd_WEB,The ground lifetime of units which degrade with usage or storage shall include a 50% margin (TBC).
2013_echo_mrd_WEB,All S/C units shall be designed to include a ground lifetime margin of 1 year (TBC) in addition to MR-MIS-240.
2013_echo_mrd_WEB,"The S/C shall be compatible with the operational space environment, as described in [AD9]."
2013_echo_mrd_WEB,"After a major on-board failure or a violation of the attitude constraints defined in MR-PERF-020, 030 and 040, the S/C shall enter and maintain a safe mode that keeps only the minimum number of units that are necessary to the S/C survival switched on and allows a continuous and sufficient supply of power for S/C survival."
2013_echo_mrd_WEB,The pointing stability between the instrument LoS and the science target with the FGS in the control loop shall be controlled to ensure compliance with the noise and photometric stability requirement MR-PERF-350.
2013_echo_mrd_WEB,A coarse pointing mode shall allow observing secondary science targets without the FGS in the control loop. The maximum angular motion of these targets is 10 arcsec/min.
2013_echo_mrd_WEB,A de-contamination mode shall ensure out-gassing and moisture release does not degrade the mission performance at any point during the mission.
2013_echo_mrd_WEB,"During phases 4 and 5, the EChO S/C shall have the ability to make a full 360 degrees rotation around ZECHO and observe a target from any of those attitudes."
2013_echo_mrd_WEB,"During phases 4 and 5, the EChO S/C shall have the ability to make a rotation of 72 degrees around YECHO and observe a target from any of those attitudes."
2013_echo_mrd_WEB,"During phases 4 and 5, the EChO S/C shall have the ability to make a rotation of 2 degrees around XECHO and observe a target from any of those attitudes."
2013_echo_mrd_WEB,The overall observing efficiency of the EChO S/C during science operation phases 4 and 5 shall be ? 85%.
2013_echo_mrd_WEB,Corruption or loss of science data during a science observation shall be deducted from the observation efficiency budget with a degradation factor of 2.
2013_echo_mrd_WEB,"An average observation shall be defined as the observation of a single science target for 3.7 hours, separated by 90 degrees from the previous and the next science targets (TBC)."
2013_echo_mrd_WEB,Periodic calibration of the science instrument shall not be deducted from the observation efficiency budget (TBC).
