source,reqs
2013_loft_mrd_web,The LAD Nominal Field of Regard (FoR) shall be at least 35% of the sky at the end of the Nominal Operations Phase.
2013_loft_mrd_web,The LAD Nominal Field of Regard (FoR) should be at least 75% of the sky at the beginning of the Nominal Operations Phase.
2013_loft_mrd_web,The LAD Nominal Field of Regard (FoR) should be at least 50% of the sky at the end of the Nominal Operations Phase.
2013_loft_mrd_web,The LAD Degraded Field of Regard (FoR) shall be at least 50% of the sky at the end of the Nominal Operations Phase.
2013_loft_mrd_web,The LAD Degraded Field of Regard (FoR) should be at least 75% of the sky at the beginning of the Nominal Operations Phase.
2013_loft_mrd_web,The LAD Degraded Field of Regard (FoR) should be at least 75% of the sky at the end of the Nominal Operations Phase.
2013_loft_mrd_web,The LAD Degraded Field of Regard shall contain a single point located within the Galactic Centre area for at least 35% of the nominal mission duration.
2013_loft_mrd_web,The LAD Degraded Field of Regard should contain a single point located within the Galactic Centre area for at least 65% of nominal mission duration.
2013_loft_mrd_web,"During the Nominal and Extended Operations Phases, for each Solar eclipse period, it shall be possible to perform a slew manoeuvre to point the LAD to any source in the sky not occulted by the Earth, observe it for at least 10 minutes (TBC), and slew back to the previous source upon eclipse egress."
2013_loft_mrd_web,The maximum slew angle for the slew manoeuvres defined in [G-PERF- 020] shall be 60° (TBC).
2013_loft_mrd_web,The overall observation availability of the LAD instrument (taking into account [AD 11]) during the Nominal Operation Phase shall be at least 40%.
2013_loft_mrd_web,5% of the net observing time during the Nominal Operations Phase shall be considered for the calibration of the instruments when calculating the overall observation availability of LOFT (TBC).
2013_loft_mrd_web,During normal working hours LOFT shall be able to observe with the LAD any target of opportunity located within the accessible sky within 12 hours after notification to the SOC.
2013_loft_mrd_web,During normal working hours LOFT shall be able to observe with the LAD any target of opportunity located within the accessible sky within 8 hours after notification to the SOC.
2013_loft_mrd_web,Outside working hours LOFT shall be able to observe with the LAD any target of opportunity located within the accessible sky within 24 hours after notification to the SOC.
2013_loft_mrd_web,The accuracy of absolute time of the measurements reconstructed on- ground shall be better than 1 ?s.
2013_loft_mrd_web,The LAD instrument shall have an effective area of 9.5m^2 at 8 keV.
2013_loft_mrd_web,The LAD instrument should have an effective area of 10.0m^2 at 8 keV.
2013_loft_mrd_web,"During science operations within the Nominal FoR, the energy resolution of the LAD detectors throughout the mission to the end of the Nominal Operations Phase for 2 anode events, shall be better than 260 eV (FWHM) at 6 keV."
2013_loft_mrd_web,"During science operations within the Degraded FoR, the energy resolution of the LAD detectors throughout the mission to the end of the Nominal Operations Phase for 2 anode events, shall be better than 400 eV (FWHM) at 6 keV."
2013_loft_mrd_web,The response (effective area) stability of the LAD shall be constrained according to the requirements in the following table.
2013_loft_mrd_web,The response (effective area) stability of the LAD should be constrained according to the goals in the following table.
2013_loft_mrd_web,"The energy resolution of the WFM detectors throughout the mission to the end of the Nominal Operations Phase, for 6-anode events, shall be better than 500eV (FWHM) at 6 keV (ENC=12e-)."
2013_loft_mrd_web,It shall be possible to downlink the science data generated by the WFM with a maximum delay of 2 orbits in duration with a probability of 99% (TBC).
2013_loft_mrd_web,The time and position of triggered events detected by the WFM shall be broadcast to end users within 30s for 65% of events.
2013_loft_mrd_web,The time and position of triggered events detected by the WFM should be broadcast to end users within 20s for 75% of events.
2013_loft_mrd_web,The WFM shall be able to localise x-ray sources down to 1 arcminute accuracy.
2013_loft_mrd_web,The WFM should be able to localise x-ray sources down to 30 arcseconds accuracy.
2013_loft_mrd_web,The spacecraft shall be compatible with a launch on Soyuz-Fregat 2-1b from Kourou.
2013_loft_mrd_web,"The mission shall be compatible with a launch date in 2022 (study baseline), with a launch in 2024 as study back-up."
2013_loft_mrd_web,"The orbit for nominal science operations shall be a circular LEO with the following characteristics of Altitude <= 600 km, Eccentricity <= 0.002, and Inclination <= 5.24°."
2013_loft_mrd_web,The S/C shall autonomously detect separation from the launcher.
2013_loft_mrd_web,"After separation from the launcher, the S/C shall autonomously activate its TT&C system with at least one Tx and Rx channel active to enable ground to establish contact."
2013_loft_mrd_web,"After separation from the launcher, the S/C shall command the deployment of the solar arrays, and acquire a safe attitude, defined as solar arrays pointed such that power generation is possible and sufficient for operation and battery charging such that the temperature of the P/L is within its non-operating temperature range."
2013_loft_mrd_web,"During the Commissioning Phase, the payload instruments on-board shall be deployed, calibrated and tested."
2013_loft_mrd_web,The Commissioning Phase shall last no longer than 3 months.
2013_loft_mrd_web,The Nominal Operations Phase (NOP) shall last 4 years.
2013_loft_mrd_web,"During the Nominal Operations Phase, all science performance requirements shall be fully met and include all specified margins."
2013_loft_mrd_web,The Extended Operations Phase (EOP) beginning after the end of the Nominal Operations Phase should have a duration of 1 year.
2013_loft_mrd_web,"During the Extended Operations Phase, all science performance requirements should be fully met and include all specified margins."
2013_loft_mrd_web,The Decommissioning Phase (DP) shall not last longer than 2 months.
2013_loft_mrd_web,Design and operations of the space segment shall comply with the rules and procedures put forth in [AD 8].
2013_loft_mrd_web,The spacecraft shall be dimensioned for a 5.25-year lifetime (corresponding to 5 years in the operational orbit after the Commissioning Phase lasting up to three months).
2013_loft_mrd_web,The Space Segment shall be compatible with a ground storage duration of 2 years (TBC).
2013_loft_mrd_web,All S/C consumables and radiation sensitive units shall be sized to last from launch till the end of the Extended Operations Phase.
2013_loft_mrd_web,"The SI international system of units shall be used. Radians, degrees, arcminutes and arcseconds are acceptable as angle units. All (sub)- multiples by factors of 10 of any of the above mentioned units are also acceptable."
2013_loft_mrd_web,"For the initial phases of the study, the margin policy described in [AD 4] shall be applied."
2013_loft_mrd_web,A launcher performance margin of 5% shall be considered.
2013_loft_mrd_web,"The published list of ESA approved standards [AD 7], including approved ECSS standards, shall apply throughout the LOFT assessment study."
2013_loft_mrd_web,All reference frames shall be right-handed orthonormal triads.
2013_loft_mrd_web,The LOFT spacecraft reference frame shall be defined with:
2013_loft_mrd_web,The LOFT spacecraft reference frame shall be defined with the origin in the geometrical centre of the separation plane between the launch adapter and the spacecraft.
2013_loft_mrd_web,The LOFT spacecraft reference frame shall be defined with the +ZSC (roll axis) coincident with the launcher symmetry axis and skywards
2013_loft_mrd_web,"The LOFT spacecraft reference frame shall be defined with the +XSC in the separation plane between the launcher adapter and the S/C, oriented so that during science operations the Sun lies in the XZ plane, positive towards the Sun."
2013_loft_mrd_web,The LOFT spacecraft reference frame shall be defined with the +YSC completing the system.
2013_loft_mrd_web,"The spacecraft wet total mass including all applicable margins shall not exceed the launcher performance derived for the operational orbit from [AD 10], and considering the performance margin defined in [R-SYS-025]."
2013_loft_mrd_web,The spacecraft shall accommodate the LAD and WFM payloads as described in the LAD EID-B [AD 2] and WFM EID-B [AD 3].
2013_loft_mrd_web,The spacecraft shall accommodate at least 121 LAD Modules.
2013_loft_mrd_web,The spacecraft should accommodate at least 128 LAD Modules.
2013_loft_mrd_web,The FWHM FoV of the LAD (1.1°) shall be un-obscured by other spacecraft or WFM structures.
2013_loft_mrd_web,The spacecraft shall accommodate the Next Generation Radiation Monitor as specified in [AD 15].
2013_loft_mrd_web,"At all times during operation, the WFM shall be shielded from direct solar flux by a sunshield."
2013_loft_mrd_web,"The FoV of the WFM at zero-response, as defined in the following table, shall not be obscured by other spacecraft structures by more than 10% (TBC)."
2013_loft_mrd_web,"The reference axis of the WFM global reference frame, shall be aligned with the FoV of the LAD to within an accuracy of 1° (TBC)."
2013_loft_mrd_web,The overall reliability of the spacecraft (inc. payload) shall be ? 85% from launcher separation to the end of the Nominal Operations Phase.
2013_loft_mrd_web,The spacecraft design shall eliminate or prevent single-point failures with a severity of catastrophic or critical as per [RD 4].
2013_loft_mrd_web,Non-compliance to [R-SYS-090] above shall be subjected to formal approval by ESA and an issued waiver.
2013_loft_mrd_web,No failure of any single component at unit level shall lead to failure of or damage to another component or subsystem.
2013_loft_mrd_web,No failure of any instrument shall lead to failure of or damage to other instruments or subsystems.
2013_loft_mrd_web,Individual or multiple failures of instruments and/or instrument subsystems shall not lead to a transition into safe-mode on spacecraft level.
2013_loft_mrd_web,Degradation or delayed loss of the spacecraft caused by failures of either instruments or spacecraft subsystems on any level shall be prevented or protected against by design.
2013_loft_mrd_web,The spacecraft shall have a safe-mode which assures spacecraft and payload survival.
2013_loft_mrd_web,The spacecraft shall enter safe-mode in case of anomalies or failures from which it cannot recover autonomously.
