source,reqs
2005_skal1_WEB,"The SKA1_Low shall utilise dual, orthogonal, polarization log-periodic antennas."
2005_skal1_WEB,The SKA1_Low shall have an array resolution of better than 5 arc minutes at 100 MHz (centre of the EoR frequency range).
2005_skal1_WEB,SKA1_Low shall be able to measure electromagnetic radiation in a frequency range from 50 MHz to 350 MHz.
2005_skal1_WEB,"The spectral stability, on a time scale of 600 sec.,of the station beam bandpass, post station calibration and RFI- mitigation, shall be within 1.3 %, 0.4 %, 0.6 % and 1.1 % at 50 MHz, 100 MHz, 160 MHz, and 220 MHz respectively compared to the full polarization, parameterized beam model."
2005_skal1_WEB,The SKA1_Low array shall have sensitivity per polarization at zenith greater than 72 m2K-1 at 50MHz when assuming a sky noise temperature following the law 60.lamda2.
2005_skal1_WEB,The SKA1_Low array shall have a sensitivity per polarization at zenith greater than 380 m2K-1 at 100 MHz when assuming a sky noise temperature following the law 60.lambda^2.55
2005_skal1_WEB,The SKA1_Low array shall have a sensitivity per polarization at zenith of greater than 535 m2K-1 at 160 MHz when assuming a sky noise temperature following the law 60.lambda^2.55
2005_skal1_WEB,The SKA1_Low array shall have a sensitivity per polarization at zenith of greater than 530 m2K-1 at 220 MHz when assuming a sky noise temperature following the law 60.lambda^2.55.
2005_skal1_WEB,The SKA1_Low array shall have a sensitivity per polarization at zenith greater than 500 m^2/K at 280 MHz when assuming a sky noise temperature following the law 60.lambda^2.55
2005_skal1_WEB,The SKA1_Low array shall have a sensitivity per polarization at zenith greater than 453 m^2/K at 340 MHz when assuming a sky noise temperature following the law 60.lambda^2.55
2005_skal1_WEB,"The SKA1_low receptor has an off-zenith beam response defined by the receptor, a log-periodic dipole antenna,in the Baseline Design."
2005_skal1_WEB,The SKA1_Low shall comprise of stations each containing 256 antennas.
2005_skal1_WEB,"The station diameter will be 35 metres, which is consistent with being able to provide a single, circularly symmetric, beam of 5 degrees at the half-power points at 100 MHz (centre of the EoR frequency range) while meeting the sensitivity requirements with 256 antennas per station evenly distributed in an irregular- random configuration."
2005_skal1_WEB,The SKA1_Low shall comprise of 512 stations.
2005_skal1_WEB,The SKA1_Low shall have a configuration as specified in TBD.
2005_skal1_WEB,The maximum distance between station centres shall be approximately 80 km
2005_skal1_WEB,The SKA1_Low shall be capable of simultaneously processing 300 MHz of bandwidth.
2005_skal1_WEB,The SKA1_Low core shall be located at a minimum distance of 10km from the ASKAP core.
