source,reqs
2017_s45_mrtd_web,Observations in the solar spectral range shall be made whenever the solar zenith angle (SZA) at the observed ground pixels is less than 92°; observations in the thermal spectral range shall be made continuously.
2017_s45_mrtd_web,"The geographical coverage and revisit time of the Sentinel-4/-5 system shall satisfy the requirements listed in Table 5.1. For observations in the solar spectral range, these requirements shall be met for SZA < 80°. For LEO, global coverage within one day is required. For GEO, an area over Europe and a revisit time are specified in Table 5.1 and MR-GEO-SYS-10, MR-GEO-SYS-20, MR-GEO-SYS-30."
2017_s45_mrtd_web,The nominal operational lifetime of the Sentinel-4/-5 system shall be at least 15 years.
2017_s45_mrtd_web,Level-1b data contain radiometrically and spectrally calibrated and geo-located radiance and irradiance data.
2017_s45_mrtd_web,The ground segment of each mission shall allow reprocessing of the respective Level-1b and Level-2 data on a yearly basis.
2017_s45_mrtd_web,"A Sentinel-5 Precursor mission is required to bridge the gap between contemporary missions and EPS-SG, and to provide a smooth transition to operational applications. The operational lifetime of the precursor mission shall extend from 2017 to 2024."
2017_s45_mrtd_web,"During the nominal operational phase (i.e. after commissioning), the system shall provide an availability of the Level-1b data of at least 95%."
2017_s45_mrtd_web,The geo-location knowledge shall be better than 0.1 spatial sampling distance (SSD) for all spatial samples.
2017_s45_mrtd_web,"The SSD at SSP in the UV-VIS-NIR and SWIR shall be smaller than or equal to 15 km (T) / 7 km (B) / 5 km (G) for ?>300 nm, except for band UV-1 (see Table 6.2) where it can be smaller than or equal to 50 km (T) / 15 km (G)."
2017_s45_mrtd_web,"The SSD shall be identical within 5% in all spectral channels of the UV- 2 (for definition of UV-1 and UV-2 see Table 6.2), VIS, NIR, and SWIR. The SSD in channels in the UV-1 shall be identical to an integer multiple of the SSD in channels of the other bands, within 5%."
2017_s45_mrtd_web,"The SSD in across-track direction shall be equal to or better than the nominal SSD at SSP for all viewing angles (goal). As breakthrough, the off-nadir SSD in across-track direction between spatial samples up to 1000 km away from the SSP shall be equal or better than the nominal SSD at SSP. As threshold, the off-nadir SSD in across-track direction shall be obtained by maintaining a regular angular sampling of SSA."
2017_s45_mrtd_web,The SSD in along-track direction at off-nadir spatial samples shall be identical to the SSD at SSP in along-track direction.
2017_s45_mrtd_web,"Radiance data with an along-track SSD smaller than 0.2 (G) / 0.33 (T) times the nominal along-track SSD shall be available on-ground for the spectral samples located in the (TBS) spectral ranges (e.g. 310-315 nm, 338-343 nm, 415-420 nm, 460-465 nm, 750-755 nm, 760-763 nm, 770-775 nm, and 2310-2315 nm). Note that all other geometric, spectral, and radiometric requirements apply to the nominal along-track SSD defined by MR-LEO-SYS-015 and MR-LEO-SYS-36."
2017_s45_mrtd_web,Intra-band spatial co-registration shall be better than the values specified in Table 6.1.
2017_s45_mrtd_web,"Inter-band spatial co-registration between bands shall be better than the values specified in Table 6.1. In case of different SSDs, the larger one applies. More specifically, the co-registration with UV-1 shall be done with the center of the composite grid (red in Fig 6.1) of smaller SSDs fitting in the UV-1 SSD (green in Fig 6.1)."
2017_s45_mrtd_web,The nadir System Integrated Energy (SIE) shall be between 66% and 83% over an area of dimension 1.0 SSD along track by 1.0 SSD across track
2017_s45_mrtd_web,The nadir System Integrated Energy (SIE) shall be larger than 90% over an area of dimension 1.5 SSD along track by 1.5 SSD across track.
2017_s45_mrtd_web,"At nadir, the SIE over an area of dimension 1.0 SSD along track by 1.0 SSD across track shall vary by less than 10 percent points over the spectral range containing the UV-2, Vis, NIR-1, and the NIR-2."
2017_s45_mrtd_web,"At nadir, the SIE over an area of dimension 1.0 SSD along track by 1.0 SSD across track shall vary by less than 10 percent points over the spectral range containing the NIR-2, SWIR-1, and SWIR-3."
2017_s45_mrtd_web,"For any spatial sample, the Instrument Integrated Energy (IIE) over an area of dimension 1.0 SSD along track by 1.0 SSD across track shall vary by less than 10 percent points over the spectral range containing the UV, Vis, NIR-1, and the NIR-2."
2017_s45_mrtd_web,"For any spatial sample, the IIE over an area of dimension 1.0 SSD along track by 1.0 SSD across track shall vary by less than 10 percent points over the spectral range containing the NIR-2, SWIR-1, and SWIR-3."
2017_s45_mrtd_web,The temporal co-registration of measurements of the same spatial sample between any pair of spectral channels within the UVNS shall be better than 5 seconds.
