source,reqs
2019_jpss_dps,The data products shall be produced in NetCDF format unless otherwise specified.
2019_jpss_dps,The data products shall include attribute metadata that are compatible with the NetCDF Climate and Forecast Metadata Conventions.
2019_jpss_dps,The data products shall provide geolocation data that are compatible with the NetCDF Climate and Forecast Metadata Conventions.
2019_jpss_dps,"The calibrated sensor data products shall maintain a long-term relative accuracy not to exceed 2%, for climate monitoring."
2019_jpss_dps,"The ATMS RDR product shall aggregate spacecraft and sensor data necessary for sensor data calibration and geolocation, from downlinked spacecraft and sensor application packets, for archiving and for input to calibration & geolocation algorithms."
2019_jpss_dps,"The ATMS TDR product shall provide antenna temperatures calibrated from ATMS RDRs, for all ATMS earth scene measurements, at the refresh rates of the instrument."
2019_jpss_dps,"The ATMS BUFR TDR product shall provide geolocated antenna temperatures, converted from ATMS TDRs, in the BUFR format."
2019_jpss_dps,"The ATMS SDR product shall provide scene brightness temperatures calibrated from ATMS TDRs, for all ATMS earth scene measurements, at the refresh rates of the instrument."
2019_jpss_dps,"The ATMS BUFR SDR product shall provide geolocated scene brightness temperatures, converted from ATMS SDRs, in the BUFR format."
2019_jpss_dps,"The ATMS TDR and SDR products shall conform with the ATMS instrument requirement MMSS-227 of the Multi-Mission System Specification, reproduced below for reference."
2019_jpss_dps,"The ATMS Geolocation Data product shall have a 3- sigma geolocation uncertainty in the along- scan direction, over all scan angles, not to exceed 1/2 the along-scan footprint size of the 3 dB (FWHM) beam."
2019_jpss_dps,"The ATMS Geolocation Data product shall have a 3- sigma geolocation uncertainty in the along- track direction, over all scan angles, not to exceed 1/2 the along-track footprint size of the 3 dB (FWHM) beam."
2019_jpss_dps,"The ATMS Geolocation Data product shall provide WGS84 ellipsoid- referenced geolocation data for all beam positions, calibrated from ATMS instrument and spacecraft RDRs, for all ATMS earth scene measurements, at the refresh rates of the instrument."
2019_jpss_dps,"The ATMS Imagery product shall provide a mapping projection of calibrated ATMS data, in all bands, globally day and night, under all weather conditions, at the native resolution of the instrument, at the refresh rates of the instrument."
2019_jpss_dps,"The CrIS RDR product shall aggregate spacecraft and sensor data necessary for sensor data calibration and geolocation, from downlinked spacecraft and sensor application packets, for archiving and for input to calibration & geolocation algorithms."
2019_jpss_dps,"The CrIS SDR product shall provide complex spectral radiances, calibrated from CrIS interferogram RDRs, for all CrIS earth scene measurements, at the refresh rates of the instrument."
2019_jpss_dps,"The CrIS BUFR product shall provide geolocated complex spectral radiances, converted from CrIS SDRs, in the BUFR format."
2019_jpss_dps,"The CrIS SDR product shall provide complex spectral radiances binned into three bands denoted SW (short wave), MW (mid wave), and LW (long wave)."
2019_jpss_dps,"The CrIS SDR product shall conform with the CrIS instrument requirement MMSS-235 of the Multi- Mission Systems Specification, reproduced below for reference."
2019_jpss_dps,"The CrIS Geolocation Data product shall provide WGS84 ellipsoid- referenced geolocation data for all fields of view, calibrated from CrIS instrument and spacecraft RDRs, for all CrIS earth scene measurements, at the refresh rates of the instrument."
2019_jpss_dps,"The CrIS Geolocation Data product shall have a 3- sigma geolocation uncertainty in the along- scan direction, over all scan angles, not to exceed 1/4 the along-scan footprint size of the 3 dB (FWHM) beam of each FOV."
2019_jpss_dps,"The CrIS Geolocation Data product shall have a 3- sigma geolocation uncertainty in the along- track direction, over all scan angles, not to exceed 1/4 the along-track footprint size of the 3 dB (FWHM) beam of each FOV."
2019_jpss_dps,"The VIIRS RDR product shall aggregate spacecraft and sensor data necessary for sensor data calibration and geolocation, from downlinked spacecraft and sensor application packets, for archiving and for input to calibration & geolocation algorithms, for all VIIRS bands."
2019_jpss_dps,"The VIIRS emissive band SDR product shall provide radiances and brightness temperatures for emissive M-bands and I-bands, calibrated from RDRs, for all emissive-band earth scene measurements, at the refresh rates of the instrument."
2019_jpss_dps,"The VIIRS emissive band BUFR product shall provide geolocated radiances and brightness temperatures for emissive M-bands and I-bands, converted from emissive- band VIIRS SDRs, in the BUFR format."
2019_jpss_dps,"The VIIRS reflective band SDR product shall provide reflectances and radiances for reflective I-bands and M-bands, calibrated from RDRs, for all daytime reflective-band earth scene measurements, at the refresh rates of the instrument."
