source,reqs
2019_jpss_l1rds_web,"The JPSS Ground System shall provide communication services for the S-NPP, JPSS-1, and JPSS-2 missions."
2019_jpss_l1rds_web,"The JPSS Ground System shall generate and distribute JPSS data (including ancillary data) and products from the S-NPP, JPSS, and GCOM missions in accordance with Tables 2.2 and 2.3."
2019_jpss_l1rds_web,"The JPSS Ground System shall distribute the Application Packets (APs), AMSR2 APID Sorted Data (ASD) files, Raw Data Records (RDRs), SDRs, Temperature Data Records (TDRs) and EDRs identified in Tables 2.2 and 2.3 as soon as they are generated, not to exceed the maximum latency."
2019_jpss_l1rds_web,"The ESPC systems which support JPSS functionality shall generate and distribute data (including ancillary data) and products from the S-NPP, JPSS, and GCOM missions in accordance with Tables 2.2 and 2.3."
2019_jpss_l1rds_web,"The ESPC systems which support JPSS functionality shall distribute the SDRs, TDRs, and EDRs identified in Tables 2.2 and 2.3 as soon as they are generated, not to exceed the maximum latency."
2019_jpss_l1rds_web,The JPSS shall support modifications to ESPC blended products.
2019_jpss_l1rds_web,The JPSS Ground Segment shall generate and make available each of the JPSS products specified in Table 2.2.
2019_jpss_l1rds_web,The JPSS Ground Segment shall meet the latency requirements specified in Table 2.2.
2019_jpss_l1rds_web,The JPSS Ground Segment shall “pass-through” those JPSS products specified in Table 2.2
2019_jpss_l1rds_web,The JPSS Ground Segment shall “reformat” those JPSS products specified in Table 2.2.
2019_jpss_l1rds_web,"All S-NPP and JPSS data products shall include, or point to the location of, associated metadata."
2019_jpss_l1rds_web,The Alternate Processing Center shall be capable of performing backup operations within 12 hours of the decision to perform failover from the primary Mission Management Center (MMC) to the backup.
2019_jpss_l1rds_web,The Alternate Processing Center shall be capable of sustaining backup operations for at least 30 consecutive days during each failover event.
2019_jpss_l1rds_web,The Alternate Processing Center functionality shall be remotely operable from the NSOF.
2019_jpss_l1rds_web,"The Alternate Processing Center shall operate without on-site operations staff, except in the case of Continuity Of Operations deployments."
2019_jpss_l1rds_web,JPSS shall make the data products listed in Table 2.3 available to AFWA from the APC.
2019_jpss_l1rds_web,JPSS shall make USN releasable Application Packets (listed in Table 2.3) available to the Fleet Numerical Meteorology and Oceanography Center (FNMOC) and the Naval Oceanographic Office (NAVOCEANO) from the APC.
2019_jpss_l1rds_web,The JPSS Ground System shall provide specifications for the real-time data receipt and processing hardware framework that is required to receive and process the JPSS Direct Broadcast.
2019_jpss_l1rds_web,The JPSS Ground System shall provide a description of the science algorithms needed to process the JPSS Direct Broadcast data.
2019_jpss_l1rds_web,The JPSS Ground System shall monitor the quality of the HRD Direct Broadcast downlinks during at least 3 passes per day for each of the JPSS managed satellites. (Monitoring consists of ensuring that the downlink is functioning properly and that application packets generated on the spacecraft are arriving in good condition at the ground system monitoring point.  This support does not include monitoring the scientific quality of any products generated by the user’s field terminal.)
2019_jpss_l1rds_web,The JPSS Ground System shall provide ancillary and auxiliary data required by the field terminal software in order for local users to acquire satellite signals and generate high quality products.
2019_jpss_l1rds_web,"The JPSS Ground System shall provide Metop data routing services to/from the NASA-Metop interface at McMurdo Ground Station (MGS) and the Metop Service Delivery Point at Darmstadt, Germany.  (NOAA Funded Negotiated Service)"
