source,reqs
2019_jpss_l2_WEB,"The NESDIS ESPC shall be capable of IPv6, per IETF RFC 2460."
2019_jpss_l2_WEB,"The NESDIS ESPC shall make available metadata with delivered data products that are compatible with the ISO 19115 and 19115-2 metadata standards, with extensions as necessary to support NOAA user needs."
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate xDR products from HDF5 to Georeferenced Tagged Image File Format (GeoTIFF)
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate xDR products from HDF5 to GRIdded Binary Format 2 (GRIB2)
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate xDR products from HDF5 to Network Common Data Format 4 (NetCDF4)
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate the following xDR products from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate ATMS radiances (SDR/TDR) from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate CrIS Radiances (SDR) from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate VIIRS Radiances (SDR) from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate VIIRS Polar Winds from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate Sea Surface Temperature from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate Total Column Ozone from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate Nadir Profile Ozone from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate Aerosol Optical Thickness from HDF5 to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate AMSR-2 Sea Surface Temperature from NetCDF to BUFR.
2019_jpss_l2_WEB,The NESDIS ESPC shall provide functionality to translate AMSR-2 Sensor Calibrated Data from NetCDF to BUFR.
2019_jpss_l2_WEB,"The NESDIS ESPC shall provide functionality to tailor xDR products that can be tailored to the following projections: Plate carrée, Mercator, Polar Stereographic."
2019_jpss_l2_WEB,"The NESDIS ESPC shall provide functionality to compress data, including in the following formats: GZIP, ZIP, ZLIB, JPEG."
2019_jpss_l2_WEB,The NESDIS ESPC shall be capable of converting ASD files into raw APID files.
2019_jpss_l2_WEB,The NESDIS ESPC shall be capable of applying WMO headers to any JPSS product as requested by the user.
2019_jpss_l2_WEB,The NESDIS ESPC new components supporting JPSS functions shall have a design life through at least FY2025.
2019_jpss_l2_WEB,The NESDIS ESPC shall make all system status information including detected hardware and software anomaly information accessible to the designated authority for queries and report generation.
2019_jpss_l2_WEB,The NESDIS ESPC shall make performance measurements accessible to the designated authority for queries and report generation.
2019_jpss_l2_WEB,"The ESPC shall monitor performance, for all systems providing JPSS functionality, including but not limited to: data availability, data integrity, resource utilization, storage system I/O operations, communications, data latency."
2019_jpss_l2_WEB,The ESPC shall make data integrity status available to operators.
2019_jpss_l2_WEB,The NESDIS ESPC shall make JPSS data availability and JPSS latency information accessible to the designated authority for queries and report generation.
2019_jpss_l2_WEB,"The NESDIS ESPC shall have sufficient capacity to ingest either S-NPP, JPSS-1, and GCOM-W or JPSS-1, JPSS-2, and GCOM-W missions data streams (as specified in Appendix A)."
2019_jpss_l2_WEB,"The NESDIS ESPC shall have sufficient capacity for data product generation of two JPSS missions (S-NPP and JPSS-1, or JPSS-1 and JPSS-2), and GCOM-W missions data (as specified in Appendix A)."
