source,reqs
2019_sss_srd_WEB,CCI+ Salinity shall directly address GCOS Action O11 to maintain and grow a global ocean salinity observing system for the assessment of ocean salinity and freshwater content change and its contribution to the global hydrological cycle.
2019_sss_srd_WEB,CCI+ Salinity shall directly address GCOS Action O32 to ensure continuity of space-based SSS measurements.
2019_sss_srd_WEB,"In Phase 1 the CCI+ Salinity project shall develop an initial data set in the modern satellite era to capitalise on the rich satellite in situ and other data holdings available during that period. The focus shall be on the development, testing and improvement of dedicated sea surface salinity retrieval algorithms with respect to climate science user requirements, as compiled at high level by GCOS."
2019_sss_srd_WEB,The CCI+ Salinity project shall develop and deliver Sea Surface Salinity ECV products primarily derived from microwave satellite measurements.
2019_sss_srd_WEB,The CCI+ Salinity project shall deliver validated prototype products using agreed validation methods and metrics developed within a research environment to climate users for assessment and feedback.
2019_sss_srd_WEB,The CCI+ Salinity project shall acquire the L1 Data specified in DARD §3.1 as input to the ECV Data Products production process
2019_sss_srd_WEB,The CCI+ Salinity project shall acquire the Ancillary data (In-situ & Inter-comparison) specified in DARD §3.2 & 3.3 as input to the ECV Data Products production process
2019_sss_srd_WEB,The CCI+ Salinity project shall acquire the Ancillary specified in DARD §3.4 as input to the ECV Data Products validation and inter-comparison processes.
2019_sss_srd_WEB,"According with the requirements that will be provided by the Retrieval Algorithm team, the system shall include a pre-processing module to allow for the employment of L1 data files into existing L2 data processors for all the sources under consideration."
2019_sss_srd_WEB,"The platform shall be capable of ingesting information about auxiliary parameters required for the L2 retrieval from data sources not necessarily matching the nominal ones used by the official algorithms. To enable this capability, a set of pre-processors shall be put in place able to produce AUX data files under the format and specifications associated to these L2 algorithms. This module shall also cover the potential need of pre-processing any data set necessary for L4 applications, whenever they are related to L4 SSS ECV datasets or derived variables."
2019_sss_srd_WEB,"The pre-processing modules shall generate logging reports of the activities, to be used for monitoring and problem analysis purposes. A data QC report shall be generated."
2019_sss_srd_WEB,"The system shall be able to produce any Look-Up Table (LUT) that is not externally provided and that is required to be generated within the activities of the Systems Engineering component of the project. LUTs are a useful way to optimize computation times, what increases the performance of the data production. Due to that, they are commonly put in place in EO systems. The Systems Engineering team contemplates the possibility of those LUTs and the potential to support their development and compilation. It is worth to mention that LUTs shall be defined by the Retrieval Algorithm team, which shall address the requirement to Task 3 by means of an associated Table Generation Requirement Document, in which the procedure and requirements for the LUTs are indicated. The module shall generate logging reports of the activities, to be used for monitoring and problem analysis purposes. A data QC report shall be generated."
2019_sss_srd_WEB,"The System shall have Processor Module(s) implementing the Processing Algorithms for the production of SSS ECV at L2, by ingesting L1 data previously pre-processed. The module shall be coordinated with the Auxiliary Data Pre-processing Module to ensure the availability of any auxiliary data file required by the L2 components for the performance of their activities. The module shall generate logging reports of the activities, to be used for monitoring and problem analysis purposes. A data QC report shall be generated."
2019_sss_srd_WEB,"The System shall have Processor Module(s) implementing the Processing Algorithms for the production of SSS ECV at L3, by ingesting L2 data previously processed. Because most L3 data processing is separated at various stages, design shall be as modular as possible, as well as being able to delimit specific times and areas. The aim of this is being able to produce both global and regional products. Retrieval Algorithm team envisages the possibility of generating some regional products of interest. Its generation shall be covered following this strategy. The module shall generate logging reports of the activities, to be used for monitoring and problem analysis purposes. A data QC report shall be generated."
2019_sss_srd_WEB,"The System shall have Processor Module(s) implementing the Processing Algorithms for the production of synoptic SSS ECV products, based in SSS from various data sources and/or the derivation of L4 variables, which shall be defined by the Retrieval Algorithm team. The module shall ensure the ingestion of the required auxiliary information and the incorporation of any data level produced by the system and necessary for the L4 data production. The module shall generate logging reports of the activities, to be used for monitoring and problem analysis purposes. A data QC report shall be generated."
