source,reqs
2021_gmt_oad_web,The Observatory service life shall be at least 50 years except for instruments and the adaptive optics subsystems.
2021_gmt_oad_web,The Observatory adaptive optics subsystems service life shall be at least 20 years.
2021_gmt_oad_web,GMT subsystems shall provide the spaces and equipment listed in GMT-REF-03725.
2021_gmt_oad_web,The GMT shall be an aplanatic Gregorian telescope with segmented primary and secondary mirrors as specified in GMT-DOC-00010.
2021_gmt_oad_web,The GMT shall have a Corrector and Atmospheric Dispersion Compensator that provides wide-field aberration correction over a 20 arcmin diameter field of view and atmospheric dispersion compensation over the wavelength range 0.350 to 1.3 ?m at the Direct Gregorian focus.
2021_gmt_oad_web,The GMT Mount shall provide a deployment mechanism for inserting and removing the C-ADC first lens group (L1 and ADC) into the Direct Gregorian beam.
2021_gmt_oad_web,The GMT Mount shall provide a deployment mechanism for inserting and removing a second wide-field corrector and/or atmospheric dispersion compensator into the Direct Gregorian beam.
2021_gmt_oad_web,Any Instrument operating in the Direct Gregorian Wide Field optical layout shall provide a C-ADC field lens (L2).
2021_gmt_oad_web,"The GMT shall have a flat tertiary mirror (M3) to direct an optical beam perpendicular to the Reference Optical Axis to instruments located at Folded Port, Auxiliary Port, or Instrument Platform Port."
2021_gmt_oad_web,The M3 shall reflect an unvignetted field of view of at least 3.0 arcmin diameter.
2021_gmt_oad_web,The M3 shall vignette no more than 48% of the 20 arcmin diameter Direct Gregorian field when deployed.
2021_gmt_oad_web,The M3 shall provide a deployment mechanism for inserting and removing M3 onto the Reference Optical Axis.
2021_gmt_oad_web,The Mount shall provide a common instrument rotator on the OSS to deliver a non-rotating field of view to DG and FP Science Instruments mounted on the rotator.
2021_gmt_oad_web,The Mount GIR shall have a static position mode with rotation angle accuracy of less than ±36.5 micro radians RMS.
2021_gmt_oad_web,"The Mount shall provide three instrument bays on the GIR, each adjacent to the DG Deployed Instrument Bay and each of which can hold one DG instrument."
2021_gmt_oad_web,The Mount shall provide mechanisms for moving installed DG Instruments between their stowed positions and the DG focal station.
2021_gmt_oad_web,"The M3 shall provide a mechanism to rotate M3 about the Reference Optical Axis (ROA) and direct the Folded Gregorian beam to the Folded Port, Auxiliary Port, and Instrument Platform focal stations."
