source,reqs
2021_gmt_ord_web,"The GMT Observatory shall be located on the summit of Las Campanas (Chile) at WGS84 (UTM) coordinates 6785453 N, 336216 E, Zone 19 at an altitude of 2514 meters."
2021_gmt_ord_web,The GMT summit layout shall not preclude the deployment of a second 25-m class telescope on the Cerro Las Campanas summit.
2021_gmt_ord_web,The GMT shall provide and support a Base Facility in La Serena on the Las Campanas Observatory's El Pino campus.
2021_gmt_ord_web,The GMT Observatory shall be insensitive to ground motion up to and including the level defined by an RLE event.
2021_gmt_ord_web,The GMT Observatory shall be capable of resuming all normal operations using available resources following ground motions up to and including the level defined for an OLE.
2021_gmt_ord_web,The GMT Observatory shall protect personnel and onerous-to-replace equipment from ground motions up to and including the level defined for an SLE event.
2021_gmt_ord_web,Subsystems or components sensitive to condensation shall either be protected from condensing conditions (e.g. in a building or enclosure that is environmentally controlled) or placed into a safe state (e.g. powered off) during condensing conditions.
2021_gmt_ord_web,"No part of the Observatory shall be exposed to any precipitation (rain, snow, or hail), except the components providing environmental protection for the rest of the Observatory (e.g. building or enclosure)."
2021_gmt_ord_web,"The GMT Observatory shall meet all functional and performance requirements, with the exception of image quality,"
2021_gmt_ord_web,"The GMT Observatory shall meet all functional and performance requirements, with the exception of image quality, under external air temperature range of -3 °C to +19.5 °C."
2021_gmt_ord_web,"The GMT Observatory shall meet all functional and performance requirements, with the exception of image quality, under external air temperature change over 30 minutes of –1.45 °C to +1.62 °C [1% and 99% points in the CDF as per data in GMT Environmental Conditions document (GMT-SE-REF-00144)]."
2021_gmt_ord_web,"The GMT Observatory shall meet all functional and performance requirements, with the exception of image quality, under external air pressure of 743 mbar to 758 mbar."
2021_gmt_ord_web,"The GMT Observatory shall meet all functional and performance requirements, with the exception of image quality, under external maximum wind speed (1 minute average @ M1 height) of up to 17.0 m/s."
2021_gmt_ord_web,The GMT Observatory shall meet all functional requirements under external air temperature range of –4 °C to +20.5 °C.
2021_gmt_ord_web,The GMT Observatory shall meet all functional requirements under external air temperature change over 30 minutes of –2.20 °C to +2.37 °C.
2021_gmt_ord_web,The GMT Observatory shall meet all functional requirements under external air pressure of 743 mbar to 758 mbar.
2021_gmt_ord_web,The GMT Observatory shall survive repeated exposure to external air temperature range of –8 °C to +27.7 °C.
2021_gmt_ord_web,The GMT Observatory shall survive repeated exposure to external air temperature change over 30 minutes of –4.8 °C to +4.3 °C.
2021_gmt_ord_web,The GMT Observatory shall survive repeated exposure to external air pressure of 740 mbar to 758 mbar.
