source,reqs,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The government shall provide any external interfaces necessary to enable communications between the JPSS NSOF/JPSS Ground System GSE and external networks (i.e. the non-Northrop Grumman side of the interface). This includes routers, switches, firewalls, backbone data circuits, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Spacecraft shall comply with National Telecommunications and Information Administration (NTIA) Spectrum Standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Spacecraft shall comply with National Telecommunications and Information Administration (NTIA) and International Telecommunications Union (ITU) and Space Frequency Coordination Group (SFCG).,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Spacecraft shall be compliant with ITU Radio communications Sector Radio Regulations, RR Article 21.16, Table 21-4",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"A Space Packet shall encompass the major fields, positioned contiguously, in the following sequence: Packet Primary Header (6 octets), Packet Data Field (up to 65527 octets).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Packet Primary Header shall consist of four fields, positioned contiguously, in the following sequence: Packet Version Number (3 bits), Packet Identification Field (13 bits), Packet Sequence Control Field (16 bits), Packet Data Length (16 bits).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 0-2 of the Packet Primary Header shall contain the (binary encoded) Packet Version Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For S-band telemetry, the Packet Version Number shall be set to '000'. This identifies the data unit as a Space Packet.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 3-15 of the Packet Primary Header shall contain the Packet Identification Field.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Packet Identification field shall be sub-divided into three sub-fields as follows: Packet Type (1 bit), Secondary Header Flag (1 bit), Application Process Identifier (11 bits).",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bit 3 of the Packet Primary Header shall contain the Packet Type.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"For telemetry, the Packet Type bit shall be set to '0'.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bit 4 of the Packet Primary Header shall contain the Secondary Header Flag.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,The Secondary Header Flag shall indicate the presence or absence of the Packet Secondary Header within this Space Packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,"The Secondary Header Flag shall be set to '1' if a Packet Secondary Header is present, and '0' if a Packet Secondary Header is not present.",,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_jpss2_web,Bits 5-15 of the Packet Primary Header shall contain the APID.,,,,,,,,,,,,,,,,,,,,,,,,,,,
