source,reqs
2021_tmt_oad_WEB,All sub-systems shall meet their Observing and Facility Performance requirements over the ambient air pressure range 600-618hPa.
2021_tmt_oad_WEB,All sub-systems shall meet their Component Functional requirements over the ambient air pressure range 600-1015hPa.
2021_tmt_oad_WEB,All sub-systems shall meet their Survival requirements over the ambient air pressure range 590 -1025hPa.
2021_tmt_oad_WEB,All sub-systems shall meet their Survival requirements when in an unpowered state.
2021_tmt_oad_WEB,All sub-systems shall meet their Observing and Facility Performance requirements when equipment is continually exposed to ozone concentrations of 50 parts per billion.
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet its observing performance requirements over the range -5°C to +9°C.
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet its facility performance requirements over the range -10°C to +13°C.
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet its component functional requirements over the range -13°C to +25°C.
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet its survival requirements over the range -16°C to +30°C.
2021_tmt_oad_WEB,"The enclosure and unprotected equipment shall meet Observing Performance, Facility Performance, and Component Functional requirements when the absolute temperature variation is within the 99.9% values defined in Table: Temporal Temperature Gradients Inside and Outside Enclosure."
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet Survival requirements at temperature gradients up to the maximum level stated in Table: Temporal Temperature Gradients Inside and Outside Enclosure.
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet its Observing Performance requirements when relative humidity is between 0 and 95% at temperatures between -5 to +9 ?C.
2021_tmt_oad_WEB,"The enclosure and unprotected equipment shall meet its Facility Performance, Component Functional, and Survival requirements over the relative humidity range 0-100% (condensing conditions) at temperatures between -10?C to +13?C."
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet its Observing Performance requirements at wind speeds up to 18m/s (1 minute average velocity at 20m elevation).
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet its Facility Performance requirements at wind speeds up to 30m/s (3s gust at 20m elevation).
2021_tmt_oad_WEB,The enclosure and unprotected equipment shall meet its Survival requirements at external wind speeds up to 83.7m/s (3s gust at 20m elevation).
