source,reqs,
2021_tmt_ord_WEB,The TMT Observatory shall provide allocation process tools to be used by the partners.,
2021_tmt_ord_WEB,The TMT Observatory shall provide partner-share time accounting tools to be used by the partners.,
2021_tmt_ord_WEB,The TMT Observatory shall create and manage a master schedule based on output from partner-based TAC processes.,
2021_tmt_ord_WEB,The TMT observatory shall support service observing and proposal process.,
2021_tmt_ord_WEB,The TMT Observatory shall implement and manage a telescope scheduling process.,
2021_tmt_ord_WEB,The TMT Observatory shall implement a time accounting process for each schedule program.,
2021_tmt_ord_WEB,The TMT Observatory shall implement a proposal submission process that accommodates multi-partner collaborations and allows shared observing programs.,
2021_tmt_ord_WEB,The TMT Observatory at the first light stage shall provide as a minimum two observing modes: Visitor Observing Mode and Service Observing Mode.,
2021_tmt_ord_WEB,The TMT Observatory in Visitor Observing Mode shall assign specific blocks of time that are no shorter than one half night.,
2021_tmt_ord_WEB,The TMT Observatory shall provide the following 2 observing scenarios:,
2021_tmt_ord_WEB,The TMT Observatory shall provide remote observing (from sea-level headquarters (HQ) or other physical location (TBC).,
2021_tmt_ord_WEB,"The TMT Observatory shall provide a physical presence, only when physical presence at the summit is essential (in commissioning or AIVs).",
2021_tmt_ord_WEB,The TMT Observatory shall support remote observing using hardware and software systems certified by TMT.,
2021_tmt_ord_WEB,The TMT Observatory shall execute service observing on behalf of PIs from a combined list of observing blocks from all partners via a scheduling process over six month periods.,
2021_tmt_ord_WEB,The TMT Observatory shall implement an adaptive scheduling process for all partners.,
2021_tmt_ord_WEB,The TMT Observatory shall implement an eavesdropping mode that allows the PI to connect remotely during their observation window.,
2021_tmt_ord_WEB,The TMT Observatory shall provide a service observing mode that includes synoptic and cadence observations.,
2021_tmt_ord_WEB,The TMT Observatory in Visitor and Service Observing Modes shall implement a Target of Opportunity Observation process.,
2021_tmt_ord_WEB,The TMT Observatory shall enable real-time selection and execution of observations with flexibility in response to changing conditions and ongoing observations.,
2021_tmt_ord_WEB,"The TMT Observatory shall provide the means to coordinate, schedule, and execute observations.",
2021_tmt_ord_WEB,The TMT Observatory shall implement a process that allows an OB to be verified offline and prior to observing to determine that it is executable and compliant with standard TMT procedures.,
2021_tmt_ord_WEB,The TMT Observatory shall implement an observing backup process to prepare and execute backup programs for visitor observing modes in the event that weather conditions or technical failures prevent the planned observation from taking place.,
2021_tmt_ord_WEB,TMT Observatory shall acquire an object from anywhere on the sky within five (5) minutes.,
2021_tmt_ord_WEB,The TMT Observatory shall acquire the field on an instrument focal plane within 3 minutes once the telescope is in position.,
2021_tmt_ord_WEB,"The TMT Observatory shall change from one instrument to another instrument already installed on the telescope, or perform a major instrument reconfiguration, in less than 10 minutes, starting from the end of an observation in one instrument to the start of an observation in the other.",
2021_tmt_ord_WEB,The TMT Observatory shall develop an automated target acquisition and system configuration process tailored for each instrument.,
2021_tmt_ord_WEB,The TMT Observatory shall track and record times of target acquisition and system configuration.,
2021_tmt_ord_WEB,"The TMT Observatory, in steady-state operations, shall have no more than 3% (equivalent to 91 hours per year) unscheduled technical downtime between the end of evening nautical twilight and the start of morning nautical twilight during hours scheduled for science operations.",
2021_tmt_ord_WEB,The TMT Observatory available science time on the telescope for observing planning purposes shall be assumed to be 50% of time for seeing limited observations and 50% of the time for diffraction limited observations (using AO).,
2021_tmt_ord_WEB,"Unless undergoing maintenance or commissioning, TMT Observatory instruments shall be ready for use, including being powered and with their operating parameters including temperature in the required ranges.",
2021_tmt_ord_WEB,The TMT Observatory shall monitor operational metrics to identify potential improvements and monitor observing efficiency and other telescope performance metrics.,
2021_tmt_ord_WEB,The TMT Observatory shall monitor the delivered data quality and system throughput in focal plane of the science instruments as well as at other locations related to wavefront sensors and guiding units.,
2021_tmt_ord_WEB,TMT shall operate with segments missing from the primary mirror or segments removed from the overall control loop.,
2021_tmt_ord_WEB,"The TMT Observatory shall provide a proposal and observation process that at a minimum includes instrument simulators; exposure time calculators (including overheads); multi-object mask definition tool; data reduction software, calibration plan and AO simulator support.",
2021_tmt_ord_WEB,The TMT Observatory shall implement a Web portal for the purposes of organizing all information the observatory wishes to present to its user community.,
2021_tmt_ord_WEB,The TMT Observatory shall develop and maintain an electronic user helpdesk with the primary goal of helping users prepare and execute observations.,
2021_tmt_ord_WEB,The TMT Observatory Helpdesk shall include at a minimum:,
2021_tmt_ord_WEB,The TMT Observatory Helpdesk shall include a method for submitting questions to the TMT Observatory.,
2021_tmt_ord_WEB,The TMT Observatory Helpdesk shall include a system for managing and responding to questions submitted by users,
2021_tmt_ord_WEB,"The TMT Observatory Helpdesk shall include a Web-based, user-driven but staff monitored forum (discussion group) section",
2021_tmt_ord_WEB,The TMT Observatory Helpdesk shall include a Frequently Asked Questions (FAQ) area.,
2021_tmt_ord_WEB,The TMT observatory shall provide Graphical user interfaces (GUIs) for all normal scientific and technical operations.,
2021_tmt_ord_WEB,The TMT observatory shall provide observer interfaces that are as simple as possible.,
2021_tmt_ord_WEB,The TMT observatory in steady operations shall not allow observers to modify low-level technical settings.,
2021_tmt_ord_WEB,The TMT observatory shall provide a master monitor that shows TMT subsystem status and alarms.,
2021_tmt_ord_WEB,The TMT observatory shall digitally encode and record data delivered to the surface of the science detectors.,
2021_tmt_ord_WEB,"The TMT Observatory shall store science data in a searchable repository of raw observations, calibrations, headers and metadata, and made available on-line.",
2021_tmt_ord_WEB,The TMT observatory storage systems shall provide sufficient storage to retain the science data and associated calibration data for the life of the observatory.,
