source,reqs
2021_tmt_srd_WEB,The site shall have a high fraction of clear nights.
2021_tmt_srd_WEB,"The site shall have excellent image quality (large r0, easier to achieve AO performance)."
2021_tmt_srd_WEB,The site shall have a large isoplanatic angle (larger field of view for AO).
2021_tmt_srd_WEB,The site shall have long coherence time of atmosphere (easier for AO).
2021_tmt_srd_WEB,"The site shall have smaller outer scale (L0, improved image quality, easier AO)."
2021_tmt_srd_WEB,The site shall have high fraction of spectroscopic nights.
2021_tmt_srd_WEB,The site shall have low precipitable water vapor distribution (lower IR absorption).
2021_tmt_srd_WEB,The site shall have low typical temperatures (lower thermal background).
2021_tmt_srd_WEB,"The site shall have high altitude (transparency, low water vapor, low temperature, smaller atmosphere dispersion)."
2021_tmt_srd_WEB,The site shall have low wind speed distribution to limit telescope buffeting.
2021_tmt_srd_WEB,The site shall have minimal change of temperature during the night (telescope and instrument athermalization).
2021_tmt_srd_WEB,The site shall have minimal seasonal temperature variations.
2021_tmt_srd_WEB,The site shall have minimal day-night temperature variations.
2021_tmt_srd_WEB,The site shall have a latitude (science opportunities) complementary with existing or future observatories.
2021_tmt_srd_WEB,The site shall have easy physical access for minimizing construction costs. [REQ-0-SRD-0485] The site shall have good human access for minimizing operating costs. [REQ-0-SRD-0490] Unrestricted access to the chosen site shall be available.
2021_tmt_srd_WEB,The site shall have a high mechanical integrity of soil.
2021_tmt_srd_WEB,The site shall have a low seismicity.
2021_tmt_srd_WEB,The enclosure opening shall not vignette light from the science field or from laser guide stars.
2021_tmt_srd_WEB,The enclosure motion shall follow motion of the telescope precisely enough that the science field and laser guide stars are not vignetted by the dome.
2021_tmt_srd_WEB,Enclosure motions shall not delay the beginning of scientific observations.
2021_tmt_srd_WEB,The enclosure shall protect the telescope from wind buffeting.
2021_tmt_srd_WEB,The telescope shall meet its image quality specification when integrating over the wind speed probability distribution.
2021_tmt_srd_WEB,The enclosure shall minimize the amplitude and temporal frequency of wind forces.
2021_tmt_srd_WEB,"Thermally induced seeing degradation caused by temperature differences shall be minimized by a suitable combination of natural ventilation, insulation, surface emissivity, daytime air conditioning, limiting daytime air leakage, and minimizing thermal inertia of the enclosure interior. The goal is to allow the interior to follow the night-time ambient air temperature as closely as practical."
2021_tmt_srd_WEB,The enclosure shall protect the telescope against adverse weather and daytime air leakage.
2021_tmt_srd_WEB,"At night, the enclosure shall be operable at all times in good weather."
2021_tmt_srd_WEB,The enclosure shall minimize the buildup of snow and ice and provide for easy removal of snow and ice to allow for observing after storms.
2021_tmt_srd_WEB,The enclosure shall minimize daytime heat infiltration.
2021_tmt_srd_WEB,The observatory shall protect against accumulation of dust on the telescope and subsystems.
2021_tmt_srd_WEB,The enclosure shall open or close in under 2 minutes to protect against sudden changes in weather.
2021_tmt_srd_WEB,"The observatory shall provide suitable servicing facilities for the telescope, optics, AO, and instruments."
2021_tmt_srd_WEB,"The observatory shall enable science over the wavelength range of 0.34 µm - 28 µm, with a goal of 0.31 µm."
2021_tmt_srd_WEB,"The observatory shall provide seeing-limited observations for 50% of the time, and diffraction-limited observations (using AO) for 50% of the time."
2021_tmt_srd_WEB,The telescope shall have a segmented primary mirror with entrance pupil equivalent to 30 m diameter.
2021_tmt_srd_WEB,"The telescope optics shall be aplanatic with 20 arcmin field of view, 15 arcmin unvignetted."
2021_tmt_srd_WEB,The telescope shall provide multiple Nasmyth foci on two large Nasmyth platforms with size at least 350 m2 each and ability to place multiple instruments per platform.
2021_tmt_srd_WEB,The telescope image quality shall not degrade the science capability by more than 20% compared to a perfect telescope at the same site.
2021_tmt_srd_WEB,The telescope wavefront errors shall be smooth and small compared to the site median atmosphere.
2021_tmt_srd_WEB,Image blur shall degrade with zenith angle at a rate up to (sec(z))3/5.
2021_tmt_srd_WEB,Wavefront errors shall degrade with zenith angle at a rate up to (sec(z))1/2.
2021_tmt_srd_WEB,"The observatory shall provide atmospheric dispersion compensation, applied either by the AO system or instrument, as agreed."
2021_tmt_srd_WEB,Mirror reflectivity shall be as good as any broadband coatings available.
2021_tmt_srd_WEB,Blockage of the full aperture by structure only shall be ? 2.5%.
2021_tmt_srd_WEB,"To the extent practical, blockages shall be simple in shape so they can be masked out by cold pupil stops."
2021_tmt_srd_WEB,"Baffling shall be provided by the instruments and AO systems as required by the science cases, and in addition small baffles shall be provided around the clear aperture of the M2 and M3."
2021_tmt_srd_WEB,"Thermal background radiation from the telescope and their primary, secondary, and tertiary mirrors shall be ? 7% of a blackbody at the average ambient night-time temperature for fresh coatings."
2021_tmt_srd_WEB,The observatory shall provide means for re-coating of the telescope optics to maintain throughput and minimize thermal emission.
2021_tmt_srd_WEB,The secondary support structure optical cross section shall be minimized to reduce thermal background.
2021_tmt_srd_WEB,The observatory shall move from any point in the sky to any other and be ready to begin observing in less than 3 minutes.
2021_tmt_srd_WEB,The observatory shall quickly perform accurate acquisition offsets without guider feedback to support the efficient acquisition of science objects.
2021_tmt_srd_WEB,The observatory shall perform accurate acquisition offsets of up to 1 degree on the sky to support the efficient acquisition of science objects.
2021_tmt_srd_WEB,The telescope shall point to within 1 arcsec rms with a goal of 0.5 arcsec rms over the whole accessible sky.
2021_tmt_srd_WEB,The telescope shall perform accurate guider offsets of up to 5 arcminutes on the sky.
2021_tmt_srd_WEB,The observatory shall guide/track at any rate up to 1.1 times the sidereal rate and with an error contained within the overall image blur specification in [REQ-0-SRD-0070].
2021_tmt_srd_WEB,"Observatory instruments and adaptive optics systems shall implement hardware, including cameras or wavefront sensors, to provide acquiistion or guiding error feedback and perform guider offsetting."
2021_tmt_srd_WEB,The observatory shall observe anywhere on the sky from 1° to 65° zenith angle.
2021_tmt_srd_WEB,The range and mid-point of telescope azimuth motion shall be sufficient to continuously track any sidereal celestial object across the sky between elevation axis horizon limits.
2021_tmt_srd_WEB,"The observatory shall provide telescope nod capability, spending at least 80% of the cycle at the end points on average."
2021_tmt_srd_WEB,Telescope position errors at nod end points of less than 10 arsec shall be no more than 0.05 arcsec rms for seeing-limited observations.
2021_tmt_srd_WEB,Telescope position errors at nod end points shall be no more than ?/10D for diffraction-limited observations.
2021_tmt_srd_WEB,"The telescope shall provide nod capability with amplitude of at least ±1 arcsec, a half period of at least 10 seconds, and integration time at least 80%."
2021_tmt_srd_WEB,"The telescope shall provide nod capability with amplitude of at least ±10 arcsec, a half period of at least 20 seconds, and integration time at least 80%."
2021_tmt_srd_WEB,"The observatory shall provide telescope dither capability, supporting a pattern of non-redundant dithers, extending over a period of 4 hours with a time interval between two consecutive dithers as short as 20 seconds."
