source,reqs
2021_wv_srd_WEB,"The WV_cci system shall control production according to the processing workflows for pre-processing, TCWV and VRWV retrieval."
2021_wv_srd_WEB,The WV_cci system shall integrate the processors required for TCWV retrieval.
2021_wv_srd_WEB,The WV_cci system shall integrate the processors required for VRWV retrieval.
2021_wv_srd_WEB,The WV_cci system shall provide means to ensure the stability and quality of its outputs.
2021_wv_srd_WEB,The WV_cci system shall provide means to do quality checks and manual inspection of intermediate results during processing.
2021_wv_srd_WEB,The WV_cci system shall provide means to distribute the generated WV products to the user community and to the Open Data Portal.
2021_wv_srd_WEB,The WV_cci system shall be designed in a way that allows its continuous evolution and improvement.
2021_wv_srd_WEB,The WV_cci TCWV processing system shall provide a processor for conversion of MERIS and OLCI TOA radiance to TOA reflectance.
2021_wv_srd_WEB,"The WV_cci TCWV processing system shall integrate the IdePIx processor for pixel classification of MERIS, MODIS and OLCI L1b products."
2021_wv_srd_WEB,The WV_cci VRWV processing system shall provide a processor which combines VRWV profiles from all input data with the DMPs from reanalyses (CDR-4 only).
2021_wv_srd_WEB,The WV_cci TCWV processing system shall provide a processor which generates a TCWV L2 product from the final pre- processed colocation product.
2021_wv_srd_WEB,The WV_cci TCWV processing system shall provide a processor which generates a TCWV L3 daily aggregation product from the
2021_wv_srd_WEB,The WV_cci TCWV processing system shall provide a processor to merge TCWV L3 products obtained from the different sensors.
2021_wv_srd_WEB,The WV_cci VRWV processing system shall provide a processor which generates bias-corrected VRWV L3 products from the input VRWV L3 data (CDR-3) using a chemistry–climate model as transfer function. The WV_cci VRWV processing system shall provide a processor which generates a VRWV L3 monthly aggregation product from the VRWV L2 products (CDR-4).
2021_wv_srd_WEB,The WV_cci VRWV processing system shall provide a processor which generates a VRWV L3 monthly aggregation product from the VRWV L2 products (CDR-4).
2021_wv_srd_WEB,The WV_cci VRWV processing system shall provide a processor to merge VRWV L3 products obtained from the different sensors.
2021_wv_srd_WEB,The WV_cci system shall support the validation of output products by the validation team and the re-integration of the validation results into the system (i.e. processor updates).
2021_wv_srd_WEB,The WV_cci validation system shall assess to what extent the products meet all GCOS requirements for the WV ECV.
